goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,4,0.2357332706451416,82,AML,Strasbourg,Metz,2,1,2026-01-18,29698,2025,764708,0.06296084821224213,0,1,1,0.2357332706451416,0.2442089170217514,0
0,1,0.06871549785137177,69,AML,Nice,Strasbourg,1,1,2026-01-03,29688,2025,761279,0,0,0,0,0.06871549785137177,0.10201861709356308,0.033303119242191315
0,0,0,15,Sub,Strasbourg,Lorient,0,0,2025-12-14,29680,2025,758430,0,0,0,0,0,0.060302939265966415,0.060302939265966415
0,0,0,2,Sub,Toulouse,Strasbourg,1,0,2025-12-06,29672,2025,756336,0,0,0,0,0,0,0
0,1,0.05330006405711174,27,Sub,Strasbourg,Brest,1,2,2025-11-30,29663,2025,754660,0,0,0,0,0.05330006405711174,0,0
0,0,0,1,Sub,Strasbourg,Lille,2,0,2025-11-09,29645,2025,751136,0,0,0,0,0,0,0
0,1,0.03393321856856346,5,Sub,Rennes,Strasbourg,4,1,2025-11-02,29635,2025,749076,0,0,0,0,0.03393321856856346,0.03393321856856346,0
0,2,0.6719894409179688,90,AMC,Strasbourg,Auxerre,3,0,2025-10-29,29627,2025,747810,0,0,0,0,0.6719894409179688,1.1540298461914062,0.4820403754711151
0,0,0,1,Sub,Lyon,Strasbourg,2,1,2025-10-26,29616,2025,747180,0,0,0,0,0,0,0
0,0,0,16,Sub,Paris Saint Germain,Strasbourg,3,3,2025-10-17,29608,2025,743725,0.04241777956485748,0,1,0,0,0.04241777956485748,0
2,3,1.2253504991531372,75,AMC,Strasbourg,Angers,5,0,2025-10-05,29600,2025,743332,0,0,0,2,1.2253504991531372,1.8215997219085693,0.5962492227554321
0,0,0,65,ML,Paris FC,Strasbourg,2,3,2025-09-21,29582,2025,739333,0,0,0,0,0,0.3986758887767792,0.3986758887767792
0,1,0.04029260575771332,6,Sub,Strasbourg,Le Havre,1,0,2025-09-14,29573,2025,737790,0,0,0,0,0.04029260575771332,0.04029260575771332,0
0,0,0,4,Sub,Fulham,Everton,1,3,2025-05-10,26953,2024,725722,0.08341337740421295,0,1,0,0,0.08341337740421295,0
0,0,0,12,Sub,Fulham,Southampton,0,0,2024-12-22,26763,2024,695644,0,0,0,0,0,0,0
