goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.019649259746074677,90,DC,Real Betis,Villarreal,2,0,2026-01-17,29352,2025,764566,0,0,0,0,0.019649259746074677,1.062909722328186,1.0432604551315308
0,0,0,90,DC,Villarreal,Alaves,3,1,2026-01-10,29341,2025,762910,0,0,0,0,0,0.7853128910064697,0.7853128910064697
0,1,0.03418828547000885,38,DC,Villarreal,Barcelona,0,2,2025-12-21,29325,2025,759610,0,0,0,0,0.03418828547000885,0,0
0,2,0.04164446145296097,90,DC,Villarreal,Getafe,2,0,2025-12-06,29304,2025,755661,0,0,0,0,0.04164446145296097,0.1277024894952774,0.08605803549289703
0,0,0,90,DC,Villarreal,Mallorca,2,1,2025-11-22,29287,2025,752393,0,0,0,0,0,0.4377707242965698,0.4377707242965698
0,0,0,90,DC,Espanyol,Villarreal,0,2,2025-11-08,29271,2025,750516,0,0,0,0,0,0.25461724400520325,0.25461724400520325
0,0,0,90,DC,Villarreal,Rayo Vallecano,4,0,2025-11-01,29267,2025,747992,0,0,0,0,0,0.2661797106266022,0.2661797106266022
0,1,0.03430556878447533,90,DC,Valencia,Villarreal,0,2,2025-10-25,29251,2025,746257,0,0,0,0,0.03430556878447533,0,0
0,0,0,90,DC,Villarreal,Real Betis,2,2,2025-10-18,29245,2025,744407,0,0,0,0,0,0.08700884133577347,0.08700884133577347
0,0,0,90,DC,Real Madrid,Villarreal,3,1,2025-10-04,29231,2025,742786,0,0,0,0,0,0.057079583406448364,0.057079583406448364
0,0,0,90,DC,Villarreal,Athletic Club,1,0,2025-09-27,29225,2025,741064,0,0,0,0,0,0.5944401025772095,0.5944401025772095
0,1,0.010824895463883877,90,DC,Sevilla,Villarreal,1,2,2025-09-23,29211,2025,740011,0,0,0,0,0.010824895463883877,1.3768221139907837,1.3768221139907837
0,1,0.018553340807557106,18,Sub,Villarreal,Osasuna,2,1,2025-09-20,29207,2025,738815,0.026899155229330063,0,1,0,0.018553340807557106,1.3931210041046143,1.3476685285568237
0,1,0.020641392096877098,90,DC,Atletico Madrid,Villarreal,2,0,2025-09-13,29193,2025,737323,0,0,0,0,0.020641392096877098,0.020641392096877098,0
0,0,0,4,Sub,Celta Vigo,Villarreal,1,1,2025-08-31,29185,2025,735804,0,0,0,0,0,0,0
0,0,0,39,Sub,Villarreal,Girona,5,0,2025-08-24,29173,2025,734244,0,0,0,0,0,0.1737743616104126,0.1737743616104126
0,1,0.07113282382488251,41,Sub,Venezia,Juventus,2,3,2025-05-25,27732,2024,730307,0,0,0,0,0.07113282382488251,0.1841152012348175,0.1841152012348175
0,3,0.06009228900074959,90,DC,Juventus,Udinese,2,0,2025-05-18,27731,2024,729000,0,0,0,0,0.06009228900074959,0.17425772547721863,0.1351170837879181
0,1,0.04140039160847664,90,DC,Lazio,Juventus,1,1,2025-05-10,27716,2024,725883,0,0,0,0,0.04140039160847664,0.5731748342514038,0.5731748342514038
0,0,0,90,DC,Bologna,Juventus,1,1,2025-05-04,27702,2024,725138,0,0,0,0,0,0,0
0,0,0,90,DC,Juventus,Monza,2,0,2025-04-27,27692,2024,723361,0.039737433195114136,1,2,0,0,0.5933788418769836,0.573981761932373
0,0,0,90,DC,Parma Calcio 1913,Juventus,1,0,2025-04-23,27689,2024,721853,0,0,0,0,0,0.10234848409891129,0.10234848409891129
0,1,0.05534043535590172,90,DC,Juventus,Lecce,2,1,2025-04-12,27673,2024,718965,0,0,0,0,0.05534043535590172,0.45176979899406433,0.45176979899406433
0,1,0.06901570409536362,90,DC,Roma,Juventus,1,1,2025-04-06,27662,2024,717959,0,0,0,0,0.06901570409536362,0.3344109356403351,0.3344109356403351
0,1,0.35664689540863037,90,DC,Juventus,Genoa,1,0,2025-03-29,27659,2024,714966,0,0,0,0,0.35664689540863037,0,0
0,2,0.09088101238012314,60,DC,Fiorentina,Juventus,3,0,2025-03-16,27644,2024,714164,0,0,0,0,0.09088101238012314,0.0261838436126709,0.0261838436126709
