goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,8,Sub,Strasbourg,Metz,2,1,2026-01-18,29698,2025,764713,0,0,0,0,0,0,0
0,1,0.034313421696424484,21,Sub,Nice,Strasbourg,1,1,2026-01-03,29688,2025,761284,0,0,0,0,0.034313421696424484,0.10844603180885315,0.07413260638713837
0,0,0,90,DMR,Strasbourg,Lorient,0,0,2025-12-14,29680,2025,758420,0.06541326642036438,0,1,0,0,0.6039878726005554,0.6039878726005554
0,0,0,14,Sub,Toulouse,Strasbourg,1,0,2025-12-06,29672,2025,756337,0,0,0,0,0,0,0
1,1,0.25798332691192627,59,DMR,Strasbourg,Brest,1,2,2025-11-30,29663,2025,754650,0,0,0,1,0.25798332691192627,0.38813135027885437,0.1301479935646057
0,0,0,1,Sub,Lens,Strasbourg,1,0,2025-11-22,29648,2025,752142,0,0,0,0,0,0,0
0,1,0.2865245044231415,54,AMC,Rennes,Strasbourg,4,1,2025-11-02,29635,2025,749070,0.0980297103524208,0,2,0,0.2865245044231415,0.8652669787406921,0.48071280121803284
0,1,0.0267404206097126,41,Sub,Strasbourg,Auxerre,3,0,2025-10-29,29627,2025,747816,0,0,0,0,0.0267404206097126,0.0267404206097126,0
0,0,0,15,Sub,Strasbourg,Angers,5,0,2025-10-05,29600,2025,743338,0,0,0,0,0,0.03439994156360626,0.03439994156360626
0,0,0,42,Sub,Strasbourg,Marseille,1,2,2025-09-26,29590,2025,740262,0,0,0,0,0,0.6457347273826599,0.6457347273826599
0,1,0.0204607043415308,42,Sub,Strasbourg,Le Havre,1,0,2025-09-14,29573,2025,737791,0.37825098633766174,0,2,0,0.0204607043415308,0.34815508127212524,0
0,1,0.07395993173122406,14,Sub,Monaco,Strasbourg,3,2,2025-08-31,29563,2025,735930,0.019591400399804115,1,1,0,0.07395993173122406,0.1796906441450119,0.08613930642604828
0,0,0,82,DR,Metz,Strasbourg,0,1,2025-08-17,29545,2025,732440,0,0,0,0,0,0.033410247415304184,0.033410247415304184
0,0,0,13,Sub,Strasbourg,Le Havre,2,3,2025-05-17,28345,2024,728200,0,0,0,0,0,0,0
0,1,0.06382071226835251,86,AMC,Angers,Strasbourg,2,1,2025-05-10,28338,2024,726232,0.13091270625591278,0,2,0,0.06382071226835251,0.30830565094947815,0.11357223987579346
0,1,0.03567976877093315,6,Sub,Strasbourg,Paris Saint Germain,2,1,2025-05-03,28328,2024,724184,0,0,0,0,0.03567976877093315,0.03567976877093315,0
0,0,0,3,Sub,Strasbourg,Saint-Etienne,3,1,2025-04-26,28319,2024,722721,0,0,0,0,0,0,0
0,0,0,9,Sub,Monaco,Strasbourg,0,0,2025-04-19,28316,2024,720758,0.14514286816120148,0,1,0,0,0.14514286816120148,0
1,2,0.14113959670066833,70,AMC,Strasbourg,Nice,2,2,2025-04-12,28304,2024,719004,0,0,0,1,0.14113959670066833,0.48497146368026733,0.343831866979599
0,1,0.1206330880522728,19,Sub,Reims,Strasbourg,0,1,2025-04-06,28298,2024,717727,0,0,0,0,0.1206330880522728,0.1603354662656784,0.03970237448811531
1,2,0.524893581867218,19,Sub,Strasbourg,Lyon,4,2,2025-03-28,28285,2024,714504,0,0,0,1,0.524893581867218,0.524893581867218,0
0,2,0.13024450838565826,81,DMR,Strasbourg,Toulouse,2,1,2025-03-16,28279,2024,714026,0.12090711295604706,0,1,0,0.13024450838565826,0.8806177377700806,0.6294661164283752
0,0,0,16,Sub,Aston Villa,Southampton,1,0,2024-12-07,26742,2024,692190,0,0,0,0,0,0,0
0,1,0.032747477293014526,5,Sub,Newcastle United,Southampton,1,0,2024-08-17,26606,2024,666383,0.039343107491731644,0,1,0,0.032747477293014526,0.07209058851003647,0
0,0,0,1,Sub,Southampton,Liverpool,4,4,2023-05-28,18581,2022,601105,0.02505393885076046,0,1,0,0,0.02505393885076046,0.02505393885076046
