goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Espanyol,Girona,0,2,2026-01-16,29355,2025,763865,0,0,0,0,0,0.12071690708398819,0.12071690708398819
0,0,0,90,DC,Girona,Osasuna,1,0,2026-01-10,29340,2025,762847,0,0,0,0,0,0.07853548228740692,0.07853548228740692
0,0,0,90,DC,Mallorca,Girona,1,2,2026-01-04,29336,2025,761881,0.042320482432842255,1,1,0,0,0.042320482432842255,0.042320482432842255
0,1,0.07282660156488419,90,DC,Girona,Atletico Madrid,0,3,2025-12-21,29324,2025,759518,0.02077741175889969,0,1,0,0.07282660156488419,0.06351228803396225,0.04273488000035286
0,0,0,90,DC,Real Sociedad,Girona,1,2,2025-12-12,29316,2025,757382,0.05268217250704765,0,1,0,0,0.2025405764579773,0.14985841512680054
0,0,0,90,DC,Elche,Girona,3,0,2025-12-07,29300,2025,756546,0,0,0,0,0,0.5401874780654907,0.5401874780654907
0,1,0.1584821343421936,90,DC,Girona,Real Madrid,1,1,2025-11-30,29290,2025,754740,0,0,0,0,0.1584821343421936,0.14174184203147888,0.14174184203147888
0,0,0,90,DC,Real Betis,Girona,1,1,2025-11-23,29279,2025,752751,0,0,0,0,0,0.8407419323921204,0.8407419323921204
0,0,0,90,DC,Girona,Alaves,1,0,2025-11-08,29273,2025,749887,0,0,0,0,0,0.5291398167610168,0.5291398167610168
0,0,0,90,DC,Getafe,Girona,2,1,2025-10-31,29262,2025,747976,0,0,0,0,0,0,0
0,0,0,90,DC,Girona,Real Oviedo,3,3,2025-10-25,29249,2025,745616,0,0,0,0,0,0.370430052280426,0.370430052280426
0,0,0,90,DC,Barcelona,Girona,2,1,2025-10-18,29240,2025,744298,0.5097411274909973,0,1,0,0,0.8185529708862305,0.8185529708862305
0,0,0,90,DC,Girona,Valencia,2,1,2025-10-04,29230,2025,742461,0,0,0,0,0,0.2747369706630707,0.2747369706630707
0,0,0,90,DC,Girona,Espanyol,0,0,2025-09-26,29227,2025,740280,0,0,0,0,0,0.10070516914129257,0.10070516914129257
0,0,0,52,DC,Girona,Levante,0,4,2025-09-20,29202,2025,738338,0,0,0,0,0,0,0
0,0,0,90,DC,Celta Vigo,Girona,1,1,2025-09-14,29192,2025,737448,0,0,0,0,0,0.173214390873909,0.173214390873909
0,3,0.11322631686925888,90,DC,Girona,Sevilla,0,2,2025-08-30,29183,2025,735409,0.13900376856327057,0,1,0,0.11322631686925888,0.15241467952728271,0.14449867606163025
0,0,0,90,DC,Villarreal,Girona,5,0,2025-08-24,29173,2025,734250,0,0,0,0,0,0,0
0,0,0,25,Sub,Girona,Rayo Vallecano,1,3,2025-08-15,29158,2025,731612,0,0,0,0,0,0,0
0,0,0,1,Sub,Manchester City,Leicester,2,0,2025-04-02,26898,2024,716122,0,0,0,0,0,0,0
