id,isResult,side,h,a,goals,xG,datetime,forecast,result
26607,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '1'}","{'h': '1.24405', 'a': '1.90915'}",2024-08-17 14:00:00,"{'w': 0.24788132820933229, 'd': 0.22290274421387415, 'l': 0.5292159254730009}",d
26620,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '1'}","{'h': '2.53513', 'a': '1.89287'}",2024-08-25 13:00:00,"{'w': 0.5227127163304653, 'd': 0.18800812718153528, 'l': 0.28927907209459536}",d
26624,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '3'}","{'h': '2.55629', 'a': '2.95688'}",2024-08-31 14:00:00,"{'w': 0.34781554446264895, 'd': 0.1719821896578958, 'l': 0.48020161272548484}",w
26639,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '1.53731', 'a': '0.932726'}",2024-09-14 19:00:00,"{'w': 0.5140761559194202, 'd': 0.25692302625102836, 'l': 0.22900081771439434}",l
26645,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '0'}","{'h': '2.43731', 'a': '1.46979'}",2024-09-21 14:00:00,"{'w': 0.5885707452176593, 'd': 0.18890585218687117, 'l': 0.22252335245639224}",l
26661,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '1.44215', 'a': '0.696068'}",2024-09-30 19:00:00,"{'w': 0.5504101559020103, 'd': 0.26940209959726275, 'l': 0.18018774445251745}",w
26663,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '0'}","{'h': '0.912063', 'a': '1.94963'}",2024-10-05 14:00:00,"{'w': 0.1697543647153532, 'd': 0.21402339299517437, 'l': 0.6162222395222845}",l
26680,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '0'}","{'h': '2.18419', 'a': '0.740758'}",2024-10-19 16:30:00,"{'w': 0.704631878917367, 'd': 0.1826173654618793, 'l': 0.11275074339140241}",w
26684,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '1'}","{'h': '1.974', 'a': '0.328651'}",2024-10-26 14:00:00,"{'w': 0.7716637735612975, 'd': 0.17617628570647362, 'l': 0.052159937473060566}",d
26692,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '1'}","{'h': '2.4493', 'a': '2.3527'}",2024-11-02 15:00:00,"{'w': 0.4234117232435773, 'd': 0.18738253242520572, 'l': 0.3892056591414371}",w
26702,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '2'}","{'h': '1.56474', 'a': '2.49234'}",2024-11-09 15:00:00,"{'w': 0.23341159242816384, 'd': 0.18720205037312268, 'l': 0.5793862905393772}",l
26712,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '2'}","{'h': '1.91157', 'a': '1.23059'}",2024-11-23 15:00:00,"{'w': 0.5327932901474296, 'd': 0.22267795318841993, 'l': 0.24452875452581202}",l
26731,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '4'}","{'h': '0.866034', 'a': '3.07901'}",2024-11-30 15:00:00,"{'w': 0.07266414331567318, 'd': 0.11743066413862396, 'l': 0.8099042722576344}",w
26732,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '0'}","{'h': '3.27716', 'a': '0.623934'}",2024-12-05 20:15:00,"{'w': 0.8721381851318103, 'd': 0.08816649923376572, 'l': 0.039693362845434337}",w
26750,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '1.5668', 'a': '3.49127'}",2024-12-08 14:00:00,"{'w': 0.13311888101464325, 'd': 0.1300160958629181, 'l': 0.736860882412942}",w
26754,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '2.04842', 'a': '1.81827'}",2024-12-16 20:00:00,"{'w': 0.4401939649687614, 'd': 0.2096396530614325, 'l': 0.35016637557332303}",d
26769,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '3'}","{'h': '2.28533', 'a': '1.82831'}",2024-12-22 14:00:00,"{'w': 0.48673640321254985, 'd': 0.19941245473147468, 'l': 0.31385111892194945}",w
26772,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '0'}","{'h': '1.20189', 'a': '0.500066'}",2024-12-26 15:00:00,"{'w': 0.5363026737151793, 'd': 0.3095165835907021, 'l': 0.15418074269019882}",d
26786,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '0.961566', 'a': '1.70692'}",2024-12-29 15:00:00,"{'w': 0.21163422677552615, 'd': 0.23935728655529456, 'l': 0.5490084861969091}",d
26792,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '2.61852', 'a': '0.561015'}",2025-01-04 15:00:00,"{'w': 0.8131673041130001, 'd': 0.12919112919833406, 'l': 0.057641442577199296}",w
26809,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '2.53808', 'a': '1.14845'}",2025-01-14 19:30:00,"{'w': 0.6748272413731923, 'd': 0.1721062041476533, 'l': 0.15306647073373106}",d
26819,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '4'}","{'h': '0.837801', 'a': '2.70174'}",2025-01-18 12:30:00,"{'w': 0.09078857228246622, 'd': 0.142710039587845, 'l': 0.7665012044237258}",w
26822,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '5', 'a': '0'}","{'h': '2.8254', 'a': '0.996166'}",2025-01-25 15:00:00,"{'w': 0.751837143532056, 'd': 0.14310878627428383, 'l': 0.10505374963296099}",w
26832,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '1.65273', 'a': '2.7219'}",2025-02-01 15:00:00,"{'w': 0.2210148065949141, 'd': 0.17558370745129018, 'l': 0.6034012840720389}",l
26849,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '3'}","{'h': '0.974418', 'a': '2.08722'}",2025-02-15 15:00:00,"{'w': 0.16725774774401145, 'd': 0.20287346500993375, 'l': 0.629868780474008}",w
26852,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '0.629691', 'a': '2.10124'}",2025-02-22 15:00:00,"{'w': 0.09887432749397876, 'd': 0.18444825591278247, 'l': 0.7166774092029968}",l
26863,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '1'}","{'h': '2.57927', 'a': '1.70169'}",2025-02-25 19:30:00,"{'w': 0.5680760286369554, 'd': 0.18429647699268284, 'l': 0.24762739129731817}",l
26879,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '1.35053', 'a': '2.22536'}",2025-03-09 14:00:00,"{'w': 0.2264972878696533, 'd': 0.20091020123606407, 'l': 0.5725924952992123}",d
26882,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '2'}","{'h': '2.02714', 'a': '1.60321'}",2025-03-15 17:30:00,"{'w': 0.4780880706201959, 'd': 0.2137842013781612, 'l': 0.3081277231780052}",l
26896,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '2'}","{'h': '1.99637', 'a': '1.41263'}",2025-04-02 19:45:00,"{'w': 0.5113105431644456, 'd': 0.2167909735078513, 'l': 0.2718984795114653}",l
26911,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '0.907832', 'a': '1.94869'}",2025-04-05 14:00:00,"{'w': 0.16895634825357195, 'd': 0.2139866943581927, 'l': 0.6170569546385948}",d
26912,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '0'}","{'h': '1.8577', 'a': '1.07203'}",2025-04-14 19:00:00,"{'w': 0.557401080673407, 'd': 0.226040091591432, 'l': 0.21655882627381082}",w
