id,isResult,side,h,a,goals,xG,datetime,forecast,result
26609,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '1'}","{'h': '1.38064', 'a': '1.14757'}",2024-08-18 13:00:00,"{'w': 0.4221116179860354, 'd': 0.2660661626583731, 'l': 0.3118222193269803}",w
26621,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '2.71877', 'a': '0.457239'}",2024-08-25 15:30:00,"{'w': 0.8466335891957896, 'd': 0.11219553665411137, 'l': 0.04117067544797813}",l
26623,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '3.86281', 'a': '1.64713'}",2024-08-31 14:00:00,"{'w': 0.7690465349597982, 'd': 0.11472763475839644, 'l': 0.11621243134033331}",w
26637,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.55279', 'a': '1.05094'}",2024-09-14 14:00:00,"{'w': 0.4892900120709871, 'd': 0.25392278642403704, 'l': 0.25678720137258665}",l
26648,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '3.89481', 'a': '0.893565'}",2024-09-21 14:00:00,"{'w': 0.8827408692635323, 'd': 0.07470989761932012, 'l': 0.04253450987072272}",l
26656,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '0.370222', 'a': '0.878617'}",2024-09-28 14:00:00,"{'w': 0.14919278303824376, 'd': 0.3880085223607437, 'l': 0.46279869460096457}",d
26667,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '5', 'a': '3'}","{'h': '4.13513', 'a': '0.696254'}",2024-10-05 14:00:00,"{'w': 0.9220624991687179, 'd': 0.053822746499689024, 'l': 0.02408578207990112}",w
26675,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.76555', 'a': '0.892843'}",2024-10-19 14:00:00,"{'w': 0.5799119257093698, 'd': 0.23244892165073514, 'l': 0.18763915189796193}",l
26685,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '3'}","{'h': '4.09663', 'a': '1.65698'}",2024-10-26 14:00:00,"{'w': 0.7931314177741557, 'd': 0.10433699161074438, 'l': 0.10250550313264019}",w
26693,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.43017', 'a': '0.739231'}",2024-11-04 20:00:00,"{'w': 0.5355786829703714, 'd': 0.2709625461936587, 'l': 0.1934587707929505}",l
