id,isResult,side,h,a,goals,xG,datetime,forecast,result
26610,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '1.06123', 'a': '1.18038'}",2024-08-18 15:30:00,"{'w': 0.32656320778533976, 'd': 0.2874046376014036, 'l': 0.38603215460951557}",l
26619,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '6'}","{'h': '2.4181', 'a': '2.02935'}",2024-08-25 13:00:00,"{'w': 0.4747852050168356, 'd': 0.19253048701010525, 'l': 0.3326842580139879}",w
26630,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '2.97743', 'a': '0.459708'}",2024-09-01 12:30:00,"{'w': 0.8727304401017653, 'd': 0.09372961658190507, 'l': 0.03353933209127953}",d
26639,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '1.53731', 'a': '0.932726'}",2024-09-14 19:00:00,"{'w': 0.5140761559194202, 'd': 0.25692302625102836, 'l': 0.22900081771439434}",w
26642,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '3'}","{'h': '0.758267', 'a': '2.39727'}",2024-09-21 11:30:00,"{'w': 0.09940059826007847, 'd': 0.16326406515397449, 'l': 0.7373352960475777}",w
26657,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '4', 'a': '2'}","{'h': '3.65839', 'a': '1.20712'}",2024-09-28 14:00:00,"{'w': 0.8159434030246555, 'd': 0.10387607390231843, 'l': 0.08017336672732504}",w
26668,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '1', 'a': '1'}","{'h': '2.27752', 'a': '1.66654'}",2024-10-06 13:00:00,"{'w': 0.5170804416426117, 'd': 0.20022856112528634, 'l': 0.282690975884475}",d
26679,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '1'}","{'h': '2.22517', 'a': '1.33904'}",2024-10-20 15:30:00,"{'w': 0.5750446514251364, 'd': 0.20074065066167757, 'l': 0.22421468233747927}",l
26688,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '2', 'a': '1'}","{'h': '1.61794', 'a': '1.74225'}",2024-10-27 14:00:00,"{'w': 0.36029484044651283, 'd': 0.22749090736930527, 'l': 0.4122142513332667}",w
26697,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '1'}","{'h': '2.1605', 'a': '1.21071'}",2024-11-03 16:30:00,"{'w': 0.5902842038627668, 'd': 0.20312868724533362, 'l': 0.2065870982725484}",d
26705,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '1'}","{'h': '1.24067', 'a': '1.9605'}",2024-11-10 16:30:00,"{'w': 0.23970533409595224, 'd': 0.21897195337030073, 'l': 0.5413227095501384}",d
26719,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '2'}","{'h': '0.967987', 'a': '2.81658'}",2024-11-23 12:30:00,"{'w': 0.10165236288338182, 'd': 0.14210375936871195, 'l': 0.7562435693648857}",w
26724,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '0'}","{'h': '1.94939', 'a': '0.875443'}",2024-12-01 13:30:00,"{'w': 0.6251690339704407, 'd': 0.21286626716109144, 'l': 0.16196469610580422}",w
26741,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '5'}","{'h': '1.91014', 'a': '5.8331'}",2024-12-04 19:30:00,"{'w': 0.04869959173964909, 'd': 0.05420022566008587, 'l': 0.8960326557004011}",w
26745,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '4'}","{'h': '3.25488', 'a': '2.57326'}",2024-12-08 16:30:00,"{'w': 0.5273275475802639, 'd': 0.16318253845022254, 'l': 0.3094880148001478}",w
26757,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '2.59146', 'a': '1.65861'}",2024-12-15 19:00:00,"{'w': 0.5788507961821755, 'd': 0.18300347259972619, 'l': 0.23814562199450529}",w
26764,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '1.07081', 'a': '1.51591'}",2024-12-22 14:00:00,"{'w': 0.2678988721230795, 'd': 0.25693513319865596, 'l': 0.47516599458237596}",d
26775,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '2'}","{'h': '1.55626', 'a': '1.77929'}",2024-12-26 15:00:00,"{'w': 0.33960088171707414, 'd': 0.22745198704305528, 'l': 0.43294713028127135}",l
26787,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '0'}","{'h': '1.50093', 'a': '1.60622'}",2024-12-30 19:45:00,"{'w': 0.35828961166419754, 'd': 0.23785410146515434, 'l': 0.4038562865792779}",l
26795,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '1'}","{'h': '1.2766', 'a': '1.51541'}",2025-01-04 15:00:00,"{'w': 0.3203138242537464, 'd': 0.2511765349017351, 'l': 0.42850964074080544}",d
