id,isResult,side,h,a,goals,xG,datetime,forecast,result
26602,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '0'}","{'h': '2.04268', 'a': '0.418711'}",2024-08-16 19:00:00,"{'w': 0.7599266049776225, 'd': 0.17545404953666516, 'l': 0.06461934037866433}",l
26614,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '1.96218', 'a': '0.857005'}",2024-08-24 14:00:00,"{'w': 0.6324332791286383, 'd': 0.21090807694589575, 'l': 0.15665864091411663}",w
26625,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '1'}","{'h': '0.707048', 'a': '1.18883'}",2024-08-31 14:00:00,"{'w': 0.21975849125577931, 'd': 0.30556755572572336, 'l': 0.4746739530151272}",d
26634,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '2.88601', 'a': '0.682719'}",2024-09-14 14:00:00,"{'w': 0.8216234903369464, 'd': 0.11788944031389463, 'l': 0.060486652671030004}",d
26646,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '3.21141', 'a': '1.09768'}",2024-09-21 14:00:00,"{'w': 0.783794802177279, 'd': 0.12314084148193605, 'l': 0.09306282518274302}",w
26653,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '0', 'a': '1'}","{'h': '0.614351', 'a': '1.43592'}",2024-09-28 14:00:00,"{'w': 0.15892991672061316, 'd': 0.2698670617064881, 'l': 0.5712030215274587}",w
26664,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '2'}","{'h': '1.36684', 'a': '2.75846'}",2024-10-05 14:00:00,"{'w': 0.1681754163446507, 'd': 0.16518827594864835, 'l': 0.6666360696472966}",l
26673,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '3'}","{'h': '2.63074', 'a': '1.43595'}",2024-10-19 14:00:00,"{'w': 0.6308242891047378, 'd': 0.1757207435248189, 'l': 0.1934548357352919}",l
26687,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '1'}","{'h': '0.884845', 'a': '1.49531'}",2024-10-26 16:30:00,"{'w': 0.2228832147097761, 'd': 0.26194530571256275, 'l': 0.5151714794986467}",d
26693,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.43017', 'a': '0.739231'}",2024-11-04 20:00:00,"{'w': 0.5355786829703714, 'd': 0.2709625461936587, 'l': 0.1934587707929505}",w
