id,isResult,side,h,a,goals,xG,datetime,forecast,result
26603,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '0.342601', 'a': '3.92906'}",2024-08-17 11:30:00,"{'w': 0.010204967229888718, 'd': 0.0401011556044078, 'l': 0.9496776089317593}",l
26615,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '1'}","{'h': '3.07818', 'a': '0.479999'}",2024-08-24 14:00:00,"{'w': 0.8783930014407301, 'd': 0.08893855651238164, 'l': 0.03266752476901414}",l
26625,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '1'}","{'h': '0.707048', 'a': '1.18883'}",2024-08-31 14:00:00,"{'w': 0.21975849125577931, 'd': 0.30556755572572336, 'l': 0.4746739530151272}",d
26633,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '0', 'a': '0'}","{'h': '1.75696', 'a': '0.721323'}",2024-09-14 14:00:00,"{'w': 0.6219415743551409, 'd': 0.2290225022969164, 'l': 0.14903592265286736}",d
26643,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '1'}","{'h': '2.89813', 'a': '1.645'}",2024-09-21 14:00:00,"{'w': 0.6349584779523365, 'd': 0.16547693271719788, 'l': 0.19956415028282673}",d
26659,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '2'}","{'h': '1.84608', 'a': '1.14494'}",2024-09-29 13:00:00,"{'w': 0.5376704178010348, 'd': 0.2275994871850109, 'l': 0.23473009366815023}",d
26665,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '1'}","{'h': '4.39402', 'a': '1.18463'}",2024-10-05 14:00:00,"{'w': 0.8822330783164078, 'd': 0.06980920826194957, 'l': 0.04790092816026083}",l
26674,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '2'}","{'h': '1.174', 'a': '1.60804'}",2024-10-19 14:00:00,"{'w': 0.27854785414694083, 'd': 0.2469996628996579, 'l': 0.4744524827390876}",l
26685,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '3'}","{'h': '4.09663', 'a': '1.65698'}",2024-10-26 14:00:00,"{'w': 0.7931314177741557, 'd': 0.10433699161074438, 'l': 0.10250550313264019}",l
26695,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '1.33617', 'a': '2.33858'}",2024-11-02 15:00:00,"{'w': 0.20928514161994816, 'd': 0.19273806744974542, 'l': 0.5979767613974366}",d
26709,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '2'}","{'h': '1.75088', 'a': '2.18392'}",2024-11-10 14:00:00,"{'w': 0.31403920705691607, 'd': 0.20461746653931318, 'l': 0.4813433135304185}",w
26718,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '1.98714', 'a': '1.26912'}",2024-11-24 16:30:00,"{'w': 0.540749230293762, 'd': 0.21714135582343078, 'l': 0.2421094103180049}",d
26728,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '0'}","{'h': '1.76587', 'a': '0.462771'}",2024-11-30 15:00:00,"{'w': 0.69403369322965, 'd': 0.21536050734564852, 'l': 0.09060579868103062}",l
26737,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '1'}","{'h': '0.471708', 'a': '1.65422'}",2024-12-03 19:30:00,"{'w': 0.10122056932970729, 'd': 0.23224764089424776, 'l': 0.6665317894662703}",l
26750,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '1.5668', 'a': '3.49127'}",2024-12-08 14:00:00,"{'w': 0.13311888101464325, 'd': 0.1300160958629181, 'l': 0.736860882412942}",l
26758,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '2'}","{'h': '1.23748', 'a': '1.73349'}",2024-12-14 15:00:00,"{'w': 0.2733587549706551, 'd': 0.23627414494435178, 'l': 0.49036709949847407}",w
26771,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '4'}","{'h': '1.06427', 'a': '3.23386'}",2024-12-21 15:00:00,"{'w': 0.08765702464388098, 'd': 0.11984491166145006, 'l': 0.7924963987910266}",l
26773,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '0'}","{'h': '2.16462', 'a': '0.0783327'}",2024-12-27 20:15:00,"{'w': 0.8656867485556724, 'd': 0.12492002938178337, 'l': 0.00939321118154161}",l
26787,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '0'}","{'h': '1.50093', 'a': '1.60622'}",2024-12-30 19:45:00,"{'w': 0.35828961166419754, 'd': 0.23785410146515434, 'l': 0.4038562865792779}",w
26796,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '2', 'a': '2'}","{'h': '2.65469', 'a': '1.4434'}",2025-01-05 14:00:00,"{'w': 0.6334980486702022, 'd': 0.17440289459550437, 'l': 0.19209890924483242}",d
26805,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '2'}","{'h': '0.268127', 'a': '1.06343'}",2025-01-16 19:30:00,"{'w': 0.09278983206853013, 'd': 0.34490035228862165, 'l': 0.5623098156421366}",l
26816,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '6'}","{'h': '0.795637', 'a': '3.20228'}",2025-01-19 16:30:00,"{'w': 0.05902297633573018, 'd': 0.10482503707985968, 'l': 0.8361505070042113}",l
26827,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '1'}","{'h': '2.16809', 'a': '0.804707'}",2025-01-25 15:00:00,"{'w': 0.6862472466959649, 'd': 0.18777944228342752, 'l': 0.1259732999108712}",l
26837,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '2'}","{'h': '1.94845', 'a': '1.17566'}",2025-02-01 15:00:00,"{'w': 0.5534583012176318, 'd': 0.21939345073776947, 'l': 0.2271482452966124}",l
26842,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '1'}","{'h': '2.89841', 'a': '0.332864'}",2025-02-15 15:00:00,"{'w': 0.8882195103666706, 'd': 0.08786319994545957, 'l': 0.02391685040516502}",d
26857,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '4'}","{'h': '1.15389', 'a': '1.58741'}",2025-02-22 15:00:00,"{'w': 0.2769997786642752, 'd': 0.249061847337072, 'l': 0.4739383738188012}",l
26871,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '3', 'a': '2'}","{'h': '1.40202', 'a': '1.04498'}",2025-02-26 19:30:00,"{'w': 0.4513489005525044, 'd': 0.26810104643702476, 'l': 0.28055005297714086}",l
26875,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '0'}","{'h': '3.13879', 'a': '1.63282'}",2025-03-08 15:00:00,"{'w': 0.6754190316261349, 'd': 0.15166745392640454, 'l': 0.17291235226242233}",l
26887,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '4'}","{'h': '0.520839', 'a': '1.30722'}",2025-03-15 15:00:00,"{'w': 0.14792304180281296, 'd': 0.2902522860855951, 'l': 0.5618246720990653}",l
26896,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '2'}","{'h': '1.99637', 'a': '1.41263'}",2025-04-02 19:45:00,"{'w': 0.5113105431644456, 'd': 0.2167909735078513, 'l': 0.2718984795114653}",w
26907,True,h,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '0.872356', 'a': '2.8096'}",2025-04-05 14:00:00,"{'w': 0.0887756960746485, 'd': 0.13671853954557503, 'l': 0.7745054653363412}",l
26915,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '2', 'a': '2'}","{'h': '2.90758', 'a': '1.60301'}",2025-04-13 13:00:00,"{'w': 0.6446057330638385, 'd': 0.16376115004668781, 'l': 0.19163265998300696}",d
