id,isResult,side,h,a,goals,xG,datetime,forecast,result
26611,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '1.02614', 'a': '1.40775'}",2024-08-19 19:00:00,"{'w': 0.2745022249667476, 'd': 0.2681692950377445, 'l': 0.4573284799604214}",d
26614,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '1.96218', 'a': '0.857005'}",2024-08-24 14:00:00,"{'w': 0.6324332791286383, 'd': 0.21090807694589575, 'l': 0.15665864091411663}",l
26626,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '0.774741', 'a': '2.16385'}",2024-08-31 14:00:00,"{'w': 0.12073631811437907, 'd': 0.18659172862848145, 'l': 0.6926719424262973}",l
26636,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '2'}","{'h': '2.88716', 'a': '1.65187'}",2024-09-14 14:00:00,"{'w': 0.6318159922631286, 'd': 0.1662761210429634, 'l': 0.20190746766051346}",d
26644,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '1.33793', 'a': '1.82377'}",2024-09-21 14:00:00,"{'w': 0.2822127984395505, 'd': 0.22871451517798624, 'l': 0.4890726852219532}",d
26655,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '4', 'a': '2'}","{'h': '6.05305', 'a': '0.337909'}",2024-09-28 14:00:00,"{'w': 0.9895836720172784, 'd': 0.007313518220443623, 'l': 0.0015799950226657513}",l
26663,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '0'}","{'h': '0.912063', 'a': '1.94963'}",2024-10-05 14:00:00,"{'w': 0.1697543647153532, 'd': 0.21402339299517437, 'l': 0.6162222395222845}",w
26678,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '3'}","{'h': '2.42776', 'a': '2.83826'}",2024-10-19 14:00:00,"{'w': 0.34270502477379255, 'd': 0.17599541871537328, 'l': 0.4812991697834792}",w
26682,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '1', 'a': '3'}","{'h': '0.832415', 'a': '2.54488'}",2024-10-25 19:00:00,"{'w': 0.10061790136997202, 'd': 0.15507861785492724, 'l': 0.7443033941505021}",l
26695,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '1.33617', 'a': '2.33858'}",2024-11-02 15:00:00,"{'w': 0.20928514161994816, 'd': 0.19273806744974542, 'l': 0.5979767613974366}",d
