id,isResult,side,h,a,goals,xG,datetime,forecast,result
26603,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '0.342601', 'a': '3.92906'}",2024-08-17 11:30:00,"{'w': 0.010204967229888718, 'd': 0.0401011556044078, 'l': 0.9496776089317593}",w
26621,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '2.71877', 'a': '0.457239'}",2024-08-25 15:30:00,"{'w': 0.8466335891957896, 'd': 0.11219553665411137, 'l': 0.04117067544797813}",w
26631,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '3'}","{'h': '1.50087', 'a': '2.10397'}",2024-09-01 15:00:00,"{'w': 0.2744948354709688, 'd': 0.20997051794042043, 'l': 0.5155346389890736}",w
26635,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '0', 'a': '1'}","{'h': '1.17044', 'a': '0.589532'}",2024-09-14 14:00:00,"{'w': 0.500953205175311, 'd': 0.3128846059799959, 'l': 0.18616218884198116}",l
26645,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '0'}","{'h': '2.43731', 'a': '1.46979'}",2024-09-21 14:00:00,"{'w': 0.5885707452176593, 'd': 0.18890585218687117, 'l': 0.22252335245639224}",w
26658,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '0.748925', 'a': '2.11724'}",2024-09-28 16:30:00,"{'w': 0.11991081292773989, 'd': 0.18991288012886237, 'l': 0.69017629878477}",w
26662,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '0.609481', 'a': '2.07332'}",2024-10-05 11:30:00,"{'w': 0.09720949212535789, 'd': 0.1862135604256858, 'l': 0.7165769412432736}",w
26679,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '1'}","{'h': '2.22517', 'a': '1.33904'}",2024-10-20 15:30:00,"{'w': 0.5750446514251364, 'd': 0.20074065066167757, 'l': 0.22421468233747927}",w
26691,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '2'}","{'h': '1.0883', 'a': '1.35346'}",2024-10-27 16:30:00,"{'w': 0.300938818642172, 'd': 0.270839650168996, 'l': 0.42822153116763945}",d
26696,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '1'}","{'h': '1.81037', 'a': '1.01568'}",2024-11-02 15:00:00,"{'w': 0.5600823783793235, 'd': 0.22976278072518516, 'l': 0.2101548398587307}",w
