id,isResult,side,h,a,goals,xG,datetime,forecast,result
26610,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '1.06123', 'a': '1.18038'}",2024-08-18 15:30:00,"{'w': 0.32656320778533976, 'd': 0.2874046376014036, 'l': 0.38603215460951557}",w
26615,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '4', 'a': '1'}","{'h': '3.07818', 'a': '0.479999'}",2024-08-24 14:00:00,"{'w': 0.8783930014407301, 'd': 0.08893855651238164, 'l': 0.03266752476901414}",w
26628,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '3'}","{'h': '0.947201', 'a': '3.19297'}",2024-08-31 16:30:00,"{'w': 0.0761630441502857, 'd': 0.11532452119930267, 'l': 0.8085110060538166}",w
26637,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.55279', 'a': '1.05094'}",2024-09-14 14:00:00,"{'w': 0.4892900120709871, 'd': 0.25392278642403704, 'l': 0.25678720137258665}",w
26651,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '2'}","{'h': '2.75588', 'a': '1.28411'}",2024-09-22 15:30:00,"{'w': 0.6829425244008924, 'd': 0.16217480965968428, 'l': 0.1548824306493554}",d
26652,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '1'}","{'h': '1.34344', 'a': '1.26516'}",2024-09-28 11:30:00,"{'w': 0.3867256197491864, 'd': 0.2631657125501566, 'l': 0.3501086676744332}",d
26664,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '2'}","{'h': '1.36684', 'a': '2.75846'}",2024-10-05 14:00:00,"{'w': 0.1681754163446507, 'd': 0.16518827594864835, 'l': 0.6666360696472966}",w
26681,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '2'}","{'h': '0.761217', 'a': '1.36569'}",2024-10-20 13:00:00,"{'w': 0.2086798848670019, 'd': 0.27930963742890375, 'l': 0.5120104776812215}",w
26683,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '3.16286', 'a': '0.369989'}",2024-10-26 14:00:00,"{'w': 0.9034151315520337, 'd': 0.07482197311100151, 'l': 0.02176162102093207}",w
26692,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '1'}","{'h': '2.4493', 'a': '2.3527'}",2024-11-02 15:00:00,"{'w': 0.4234117232435773, 'd': 0.18738253242520572, 'l': 0.3892056591414371}",l
26703,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '1'}","{'h': '2.87116', 'a': '2.60334'}",2024-11-09 17:30:00,"{'w': 0.4575601673264648, 'd': 0.17388021163775835, 'l': 0.3685591146868248}",l
26720,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '4'}","{'h': '2.15899', 'a': '3.30449'}",2024-11-23 17:30:00,"{'w': 0.23683059621057787, 'd': 0.15693403475592882, 'l': 0.6062332018163044}",l
26726,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '0'}","{'h': '3.70054', 'a': '0.745015'}",2024-12-01 16:00:00,"{'w': 0.8883666018300808, 'd': 0.07450693479727008, 'l': 0.03711828932356208}",l
26739,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '3', 'a': '0'}","{'h': '3.20169', 'a': '0.802155'}",2024-12-04 19:30:00,"{'w': 0.8349592636877161, 'd': 0.10530596227956149, 'l': 0.05973329773128148}",w
26747,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '2'}","{'h': '1.21476', 'a': '1.5846'}",2024-12-07 15:00:00,"{'w': 0.2926042836485104, 'd': 0.24796691150453035, 'l': 0.45942880466899355}",d
26753,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '0.638103', 'a': '2.04662'}",2024-12-15 16:30:00,"{'w': 0.10465173631230552, 'd': 0.19104001042525007, 'l': 0.7043082480248443}",l
26762,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '1'}","{'h': '2.05988', 'a': '1.09627'}",2024-12-21 12:30:00,"{'w': 0.5956535032760037, 'd': 0.20879013638953112, 'l': 0.19555635463371251}",l
26777,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '2.51965', 'a': '0.653289'}",2024-12-26 12:30:00,"{'w': 0.7797188017847274, 'd': 0.14494579683677092, 'l': 0.0753353250127906}",d
26788,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '1.84208', 'a': '1.58002'}",2024-12-29 14:30:00,"{'w': 0.442308117038709, 'd': 0.22372492230300545, 'l': 0.333966959185882}",w
26798,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '4', 'a': '1'}","{'h': '1.97986', 'a': '1.53286'}",2025-01-04 15:00:00,"{'w': 0.4823511156829895, 'd': 0.2170768810486224, 'l': 0.30057199976894944}",w
26803,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '2'}","{'h': '2.39088', 'a': '2.65315'}",2025-01-14 19:30:00,"{'w': 0.36391377094795213, 'd': 0.18157395052613884, 'l': 0.45451209297508954}",d
26816,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '6'}","{'h': '0.795637', 'a': '3.20228'}",2025-01-19 16:30:00,"{'w': 0.05902297633573018, 'd': 0.10482503707985968, 'l': 0.8361505070042113}",w
26828,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '1'}","{'h': '2.23213', 'a': '1.49843'}",2025-01-25 17:30:00,"{'w': 0.5424566587147162, 'd': 0.20214689144715786, 'l': 0.2553964335575408}",w
26833,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '5', 'a': '1'}","{'h': '1.53202', 'a': '0.743191'}",2025-02-02 16:30:00,"{'w': 0.5614386837785281, 'd': 0.2576299545892354, 'l': 0.18093136152244452}",l
26848,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '4', 'a': '0'}","{'h': '2.12004', 'a': '0.157211'}",2025-02-15 15:00:00,"{'w': 0.8398392783589429, 'd': 0.13970636906295844, 'l': 0.020454344277752532}",w
26859,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '0.58248', 'a': '0.807058'}",2025-02-23 16:30:00,"{'w': 0.24204150418245612, 'd': 0.38084133998459896, 'l': 0.37711715583293015}",l
26865,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '1'}","{'h': '1.28426', 'a': '2.38641'}",2025-02-26 19:30:00,"{'w': 0.19368806580520073, 'd': 0.18804978842162107, 'l': 0.6182621075103578}",w
26878,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '0'}","{'h': '0.501476', 'a': '0.721234'}",2025-03-08 12:30:00,"{'w': 0.2253942177885574, 'd': 0.4109462237477347, 'l': 0.3636595584637049}",l
26889,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '2'}","{'h': '2.02642', 'a': '2.11119'}",2025-03-15 15:00:00,"{'w': 0.3823734402307006, 'd': 0.20306940325797534, 'l': 0.414557144052326}",d
26898,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '0'}","{'h': '2.07165', 'a': '0.104741'}",2025-04-02 19:45:00,"{'w': 0.8466528480391861, 'd': 0.13943546296009568, 'l': 0.013911682860066834}",w
26909,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '0'}","{'h': '1.23317', 'a': '0.687894'}",2025-04-06 15:30:00,"{'w': 0.49320458352165, 'd': 0.29964996717707054, 'l': 0.20714544929568093}",d
26917,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '5', 'a': '2'}","{'h': '4.59724', 'a': '1.33808'}",2025-04-12 11:30:00,"{'w': 0.8784371164903988, 'd': 0.06953200765932582, 'l': 0.051938031544720556}",w
26925,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '0.81683', 'a': '1.87989'}",2025-04-19 14:00:00,"{'w': 0.1569976004880022, 'd': 0.21818315500765606, 'l': 0.624819242794687}",w
26937,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '1'}","{'h': '1.36232', 'a': '1.85906'}",2025-04-22 19:00:00,"{'w': 0.2821195334631151, 'd': 0.22609879183654882, 'l': 0.49178167320342464}",w
26942,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '0.859463', 'a': '0.622455'}",2025-05-02 19:00:00,"{'w': 0.38659241894578394, 'd': 0.36600469071694375, 'l': 0.2474028903372367}",w
26959,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '0'}","{'h': '0.136995', 'a': '1.58463'}",2025-05-10 14:00:00,"{'w': 0.029133649805378553, 'd': 0.21974287237926235, 'l': 0.7511234776418924}",d
26970,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '1'}","{'h': '1.59779', 'a': '0.962014'}",2025-05-20 19:00:00,"{'w': 0.522174046324532, 'd': 0.25043566082539476, 'l': 0.22739029265591412}",w
26981,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '2.21797', 'a': '2.45923'}",2025-05-25 15:00:00,"{'w': 0.3622315851378186, 'd': 0.18916328783892195, 'l': 0.4486050559826163}",w
