id,isResult,side,h,a,goals,xG,datetime,forecast,result
26606,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '0.433489', 'a': '1.95483'}",2024-08-17 14:00:00,"{'w': 0.07224175595279221, 'd': 0.18767473141042318, 'l': 0.7400835097707766}",w
26620,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '1'}","{'h': '2.53513', 'a': '1.89287'}",2024-08-25 13:00:00,"{'w': 0.5227127163304653, 'd': 0.18800812718153528, 'l': 0.28927907209459536}",d
26629,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '1.58694', 'a': '1.63304'}",2024-09-01 12:30:00,"{'w': 0.3734880220404305, 'd': 0.23338472096612167, 'l': 0.39312725655611486}",w
26641,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '2'}","{'h': '1.46969', 'a': '1.48343'}",2024-09-15 15:30:00,"{'w': 0.3743628270830111, 'd': 0.24518847365237398, 'l': 0.38044869913137663}",w
26646,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '3.21141', 'a': '1.09768'}",2024-09-21 14:00:00,"{'w': 0.783794802177279, 'd': 0.12314084148193605, 'l': 0.09306282518274302}",l
26652,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '1'}","{'h': '1.34344', 'a': '1.26516'}",2024-09-28 11:30:00,"{'w': 0.3867256197491864, 'd': 0.2631657125501566, 'l': 0.3501086676744332}",d
26669,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '0'}","{'h': '0.692214', 'a': '1.79048'}",2024-10-05 16:30:00,"{'w': 0.1389290523505784, 'd': 0.2238791225674545, 'l': 0.6371918241874385}",d
26676,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '1'}","{'h': '1.93657', 'a': '1.6779'}",2024-10-19 14:00:00,"{'w': 0.44358307725469287, 'd': 0.21714905618827923, 'l': 0.33926786364969524}",l
26688,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '2', 'a': '1'}","{'h': '1.61794', 'a': '1.74225'}",2024-10-27 14:00:00,"{'w': 0.36029484044651283, 'd': 0.22749090736930527, 'l': 0.4122142513332667}",l
26694,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '0.859715', 'a': '0.911305'}",2024-11-02 12:30:00,"{'w': 0.3198251200350325, 'd': 0.33197225378543604, 'l': 0.3482026261794154}",w
26704,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '3'}","{'h': '1.17852', 'a': '1.86904'}",2024-11-10 14:00:00,"{'w': 0.23902833901141918, 'd': 0.22584833578199962, 'l': 0.5351233236202338}",w
26713,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '2'}","{'h': '1.49781', 'a': '0.942824'}",2024-11-25 20:00:00,"{'w': 0.5013455668638193, 'd': 0.26099155681551994, 'l': 0.23766287623975466}",l
26725,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '1'}","{'h': '2.29595', 'a': '0.020989'}",2024-11-30 15:00:00,"{'w': 0.8944758259923256, 'd': 0.10338269054128356, 'l': 0.0021414601640258445}",d
26740,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '3', 'a': '3'}","{'h': '1.52057', 'a': '2.22766'}",2024-12-04 19:30:00,"{'w': 0.2605088679582484, 'd': 0.20256475290749626, 'l': 0.5369263632501836}",d
26743,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '4', 'a': '2'}","{'h': '1.746', 'a': '1.95645'}",2024-12-07 15:00:00,"{'w': 0.35056095201104504, 'd': 0.21487336204862234, 'l': 0.4345656824035724}",l
