id,isResult,side,h,a,goals,xG,datetime,forecast,result
26606,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '0.433489', 'a': '1.95483'}",2024-08-17 14:00:00,"{'w': 0.07224175595279221, 'd': 0.18767473141042318, 'l': 0.7400835097707766}",l
26616,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '0', 'a': '1'}","{'h': '0.214952', 'a': '2.86475'}",2024-08-24 14:00:00,"{'w': 0.014644295940213943, 'd': 0.07895041707454163, 'l': 0.9064049066345968}",l
26623,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '3.86281', 'a': '1.64713'}",2024-08-31 14:00:00,"{'w': 0.7690465349597982, 'd': 0.11472763475839644, 'l': 0.11621243134033331}",l
26632,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '3'}","{'h': '1.35593', 'a': '3.02693'}",2024-09-14 11:30:00,"{'w': 0.14162502261309526, 'd': 0.14762338178612017, 'l': 0.7107508478945793}",l
26643,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'h': '1', 'a': '1'}","{'h': '2.89813', 'a': '1.645'}",2024-09-21 14:00:00,"{'w': 0.6349584779523365, 'd': 0.16547693271719788, 'l': 0.19956415028282673}",d
26661,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '1.44215', 'a': '0.696068'}",2024-09-30 19:00:00,"{'w': 0.5504101559020103, 'd': 0.26940209959726275, 'l': 0.18018774445251745}",l
26666,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '3.25165', 'a': '1.27313'}",2024-10-05 14:00:00,"{'w': 0.7573212437938077, 'd': 0.13004357943508568, 'l': 0.11263339853850568}",l
26678,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '3'}","{'h': '2.42776', 'a': '2.83826'}",2024-10-19 14:00:00,"{'w': 0.34270502477379255, 'd': 0.17599541871537328, 'l': 0.4812991697834792}",l
26683,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '3.16286', 'a': '0.369989'}",2024-10-26 14:00:00,"{'w': 0.9034151315520337, 'd': 0.07482197311100151, 'l': 0.02176162102093207}",l
26699,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '0.540345', 'a': '1.78581'}",2024-11-02 15:00:00,"{'w': 0.1058333262117371, 'd': 0.21724480261385862, 'l': 0.6769218703104952}",w
26711,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '0'}","{'h': '0.912781', 'a': '0.792655'}",2024-11-09 15:00:00,"{'w': 0.3640465097747585, 'd': 0.33893067639555435, 'l': 0.29702281382959345}",l
26721,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '3'}","{'h': '1.53985', 'a': '3.18835'}",2024-11-24 14:00:00,"{'w': 0.15450263213931947, 'd': 0.1455412714009547, 'l': 0.69995469245597}",l
26723,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '1'}","{'h': '1.86986', 'a': '0.934969'}",2024-11-29 20:00:00,"{'w': 0.5931911443510903, 'd': 0.22259424910087625, 'l': 0.184214604955318}",d
26741,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '5'}","{'h': '1.91014', 'a': '5.8331'}",2024-12-04 19:30:00,"{'w': 0.04869959173964909, 'd': 0.05420022566008587, 'l': 0.8960326557004011}",l
26742,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '2.51338', 'a': '0.385832'}",2024-12-07 15:00:00,"{'w': 0.8374197402333624, 'd': 0.12289602485815124, 'l': 0.03968416091500827}",l
26759,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '5'}","{'h': '1.27356', 'a': '3.89322'}",2024-12-15 19:00:00,"{'w': 0.07505541975856847, 'd': 0.0956916134257515, 'l': 0.8292383120157837}",l
26763,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '0'}","{'h': '1.25255', 'a': '0.280031'}",2024-12-22 14:00:00,"{'w': 0.6192068517020634, 'd': 0.2986396699300432, 'l': 0.0821534783609488}",d
26780,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '1'}","{'h': '2.19833', 'a': '1.90111'}",2024-12-26 15:00:00,"{'w': 0.455346223327807, 'd': 0.20234799326768774, 'l': 0.3423057681244831}",l
26784,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '1'}","{'h': '3.05417', 'a': '1.21853'}",2024-12-29 15:00:00,"{'w': 0.7408065535712401, 'd': 0.139498511066817, 'l': 0.11969410141580834}",l
26799,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '5'}","{'h': '0.249614', 'a': '5.54874'}",2025-01-04 15:00:00,"{'w': 0.0015752174758284576, 'd': 0.008931417722307381, 'l': 0.9888398014968051}",l
26811,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '3.10847', 'a': '1.36705'}",2025-01-16 20:00:00,"{'w': 0.7204996678944405, 'd': 0.14310216919896135, 'l': 0.13639712983002203}",l
26820,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '2'}","{'h': '2.36419', 'a': '1.25922'}",2025-01-19 14:00:00,"{'w': 0.619491267879434, 'd': 0.18896686932042697, 'l': 0.19154182885490884}",l
26829,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '3'}","{'h': '0.825621', 'a': '3.08319'}",2025-01-25 15:00:00,"{'w': 0.06776859462223937, 'd': 0.11445812937300916, 'l': 0.8177723404217604}",l
26837,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '2'}","{'h': '1.94845', 'a': '1.17566'}",2025-02-01 15:00:00,"{'w': 0.5534583012176318, 'd': 0.21939345073776947, 'l': 0.2271482452966124}",w
26849,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '3'}","{'h': '0.974418', 'a': '2.08722'}",2025-02-15 15:00:00,"{'w': 0.16725774774401145, 'd': 0.20287346500993375, 'l': 0.629868780474008}",l
26861,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '4'}","{'h': '0.154147', 'a': '5.12018'}",2025-02-22 15:00:00,"{'w': 0.0012272325264848138, 'd': 0.01003459852589036, 'l': 0.9884487115679381}",l
26869,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '4', 'a': '0'}","{'h': '2.98234', 'a': '0.845039'}",2025-02-25 20:15:00,"{'w': 0.8022182144514304, 'd': 0.12255207796869844, 'l': 0.07522908390036358}",l
26876,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '4.98996', 'a': '0.511566'}",2025-03-08 15:00:00,"{'w': 0.9689068000042175, 'd': 0.02336361237816325, 'l': 0.007508027589970001}",l
