first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,131,2970,26,33.4,481.2,0.0,6,531,51.5,15,0,1,35.8,60,GK,21.8
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK,0.0
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
Gabriel,dos Santos Magalhães,3,5,177,2345,19,109.2,725.4,225.0,25,607,105.8,14,0,4,44.5,71,DEF,24.9
William,Saliba,1,0,111,2254,20,169.7,474.0,76.0,9,473,71.9,11,0,1,14.5,61,DEF,18.2
Riccardo,Calafiori,1,2,93,1446,8,127.9,244.4,249.0,4,339,62.2,11,0,5,5.9,56,DEF,16.6
Jurriën,Timber,3,6,149,2452,20,402.6,499.0,352.0,9,532,125.7,13,0,5,20.2,61,DEF,24.4
Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,DEF,0.0
Myles,Lewis-Skelly,0,0,13,401,7,47.8,45.2,25.0,0,41,11.7,0,0,3,1.4,50,DEF,2.6
Benjamin,White,0,1,32,500,6,108.4,133.2,48.0,3,128,29.0,3,0,0,0.5,51,DEF,6.3
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,37,DEF,0.0
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,37,DEF,0.0
Bukayo,Saka,6,8,133,1995,16,725.9,538.8,762.0,14,497,202.9,10,0,1,6.9,98,MID,13.6
Martin,Ødegaard,1,6,64,1160,13,487.5,267.8,146.0,5,265,90.0,4,0,0,1.6,78,MID,8.2
Noni,Madueke,2,1,56,987,9,276.9,202.0,320.0,6,195,79.8,6,0,0,0.8,68,MID,8.2
Gabriel,Martinelli Silva,1,4,49,937,7,158.5,170.6,337.0,1,163,66.0,2,0,2,0.9,68,MID,7.2
Leandro,Trossard,5,5,101,1727,15,478.5,424.6,440.0,9,365,134.6,8,0,1,0.8,65,MID,15.5
Declan,Rice,4,9,169,2760,25,973.5,768.0,286.0,23,734,202.9,14,0,2,25.0,72,MID,23.5
Mikel,Merino Zazón,4,3,66,996,9,187.0,304.4,237.0,5,238,72.6,4,0,1,0.8,54,MID,12.2
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
