Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,1,,David Raya Martín
-1,2,,Kepa Arrizabalaga Revuelta
-1,3,,Karl Hein
-1,4,,Tommy Setford
-1,5,,Gabriel dos Santos Magalhães
-1,6,,William Saliba
-1,7,,Riccardo Calafiori
-1,8,,Jurriën Timber
-1,9,,Jakub Kiwior
-1,10,,Myles Lewis-Skelly
-1,11,,Benjamin White
-1,13,,Brayden Clarke
-1,14,,Maldini Kacurri
-1,15,,Josh Nichols
-1,16,,Bukayo Saka
-1,17,,Martin Ødegaard
-1,18,,Noni Madueke
-1,19,,Gabriel Martinelli Silva
-1,20,,Leandro Trossard
-1,21,,Declan Rice
-1,22,,Mikel Merino Zazón
-1,23,,Fábio Ferreira Vieira
-1,24,,Christian Nørgaard
-1,25,,Ethan Nwaneri
-1,26,,Martín Zubimendi Ibáñez
-1,28,,Ismeal Kabia
-1,29,,Albert Sambi Lokonga
-1,30,,Kai Havertz
-1,31,,Gabriel Fernando de Jesus
-1,266,,Eberechi Eze
-1,662,,Cristhian Mosquera
-1,666,,Viktor Gyökeres
-1,700,,Max Dowman
-1,711,,Andre Harriman-Annous
-1,725,,Piero Hincapié
-1,759,,Marli Salmon
-1,32,,Emiliano Martínez Romero
-1,33,,Marco Bizot
-1,34,,Joe Gauci
-1,35,,Filip Marschall
-1,36,,Matty Cash
-1,37,,Lucas Digne
-1,38,,Ezri Konsa Ngoyo
-1,39,,Ian Maatsen
-1,40,,Tyrone Mings
-1,41,,Pau Torres
-1,42,,Andrés García
-1,43,,Álex Moreno Lopera
-1,44,,Lamare Bogarde
-1,45,,Lino da Cruz Sousa
-1,46,,Yasin Özcan
-1,47,,Morgan Rogers
-1,48,,Youri Tielemans
-1,49,,Leon Bailey
-1,50,,Emiliano Buendía Stati
-1,51,,Samuel Iling-Junior
-1,53,,Donyell Malen
-1,54,,John McGinn
-1,55,,Ross Barkley
-1,56,,Enzo Barrenechea
-1,57,,Lewis Dobbin
-1,58,,Boubacar Kamara
-1,59,,Amadou Onana
-1,60,,Ben Broggio
-1,61,,Leander Dendoncker
-1,62,,Jamaldeen Jimoh-Aloba
-1,63,,Kadan Young
-1,64,,Ollie Watkins
-1,65,,Zépiqueno Redmond
-1,389,,Harvey Elliott
-1,456,,Jadon Sancho
-1,677,,Evann Guessand
-1,688,,James Wright
-1,701,,Triston Rowe
-1,702,,Bradley Burrowes
-1,703,,Sam Proctor
-1,710,,Travis Patterson
-1,719,,Victor Lindelöf
-1,754,,George Hemmings
-1,757,,Ronnie Hollingshead
-1,768,,Leon Routh
-1,781,,TJ Carroll
-1,792,,Alysson Edward Franco da Rocha dos Santos
-1,183,,Max Weiß
-1,184,,Etienne Green
-1,185,,Václav Hladký
-1,186,,Connor Roberts
-1,187,,Kyle Walker
-1,188,,Hannes Delcroix
-1,189,,Owen Dodgson
-1,190,,Hjalmar Ekdal
-1,191,,Maxime Estève
-1,192,,Quilindschy Hartman
-1,193,,Bashir Humphreys
-1,194,,Jordan Beyer
-1,195,,Lucas Pires Silva
-1,196,,Shurandy Sambo
-1,197,,Oliver Sonne
-1,198,,Axel Tuanzebe
-1,199,,Joe Worrall
-1,200,,Jaidon Anthony
-1,201,,Manuel Benson Hedilazio
-1,202,,Jacob Bruun Larsen
-1,203,,Enock Agyei
-1,204,,Darko Churlinov
-1,205,,Josh Cullen
-1,206,,Marcus Edwards
-1,207,,Hannibal Mejbri
-1,208,,Luca Koleosho
-1,209,,Josh Laurent
-1,210,,Loum Tchaouna
-1,211,,Aaron Ramsey
-1,212,,Oluwaseun Adewumi
-1,213,,Jaydon Banel
-1,214,,Mike Trésor Ndayishimiye
-1,215,,Zian Flemming
-1,216,,Zeki Amdouni
-1,217,,Lyle Foster
-1,218,,Ashley Barnes
-1,219,,Michael Obafemi
