goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,89,DR,Bournemouth,Aston Villa,1,1,2026-02-07,29018,2025,768589,0.04130294919013977,0,1,0,0,0.46498075127601624,0.42367780208587646
0,1,0.13278503715991974,87,AMR,Wolverhampton Wanderers,Bournemouth,0,2,2026-01-31,29017,2025,767186,0,0,0,0,0.13278503715991974,0.13278503715991974,0
1,2,0.43492066860198975,88,AMR,Bournemouth,Liverpool,3,2,2026-01-24,28998,2025,765784,0,0,0,1,0.43492066860198975,0.43492066860198975,0.32165125012397766
0,1,0.046402886509895325,90,DR,Brighton,Bournemouth,1,1,2026-01-19,28989,2025,765151,0.34246954321861267,0,2,0,0.046402886509895325,0.4523739218711853,0.0635014995932579
0,0,0,90,DR,Bournemouth,Tottenham,3,2,2026-01-07,28979,2025,762199,0,0,0,0,0,0.11432340741157532,0.11432340741157532
0,1,0.015483967959880829,90,DR,Bournemouth,Arsenal,2,3,2026-01-03,28971,2025,761194,0,0,0,0,0.015483967959880829,0.21125595271587372,0.21125595271587372
0,1,0.08042842894792557,90,DR,Chelsea,Bournemouth,2,2,2025-12-30,28961,2025,760544,0,0,0,0,0.08042842894792557,0.12958423793315887,0.04915580525994301
0,1,0.08650678396224976,90,AMR,Brentford,Bournemouth,4,1,2025-12-27,28949,2025,760094,0,0,0,0,0.08650678396224976,0.15866076946258545,0.07215399295091629
0,1,0.03016705811023712,90,DR,Bournemouth,Burnley,1,1,2025-12-20,28938,2025,759026,0.08964292705059052,0,1,0,0.03016705811023712,0.21644414961338043,0.12680122256278992
0,0,0,90,AMR,Manchester United,Bournemouth,4,4,2025-12-15,28934,2025,758682,0.34477972984313965,0,1,0,0,0.34477972984313965,0
0,2,0.05573684349656105,78,AMR,Bournemouth,Chelsea,0,0,2025-12-06,28918,2025,755915,0,0,0,0,0.05573684349656105,0.05573684349656105,0
0,1,0.06438634544610977,90,DR,Bournemouth,Everton,0,1,2025-12-02,28908,2025,754956,0,0,0,0,0.06438634544610977,0.06438634544610977,0
0,0,0,41,Sub,Bournemouth,West Ham,2,2,2025-11-22,28888,2025,751971,0,0,0,0,0,0.5316513776779175,0.5316513776779175
0,1,0.01407652348279953,44,Sub,Aston Villa,Bournemouth,4,0,2025-11-09,28878,2025,750745,0,0,0,0,0.01407652348279953,0.01407652348279953,0
0,0,0,67,DR,Manchester City,Bournemouth,3,1,2025-11-02,28873,2025,749312,0,0,0,0,0,0,0
0,0,0,90,DR,Bournemouth,Nottingham Forest,2,0,2025-10-26,28858,2025,746430,0.021970804780721664,0,1,0,0,0.1121034175157547,0.09013260900974274
0,0,0,77,DR,Crystal Palace,Bournemouth,3,3,2025-10-18,28850,2025,744171,0,0,0,0,0,0.07274179905653,0.07274179905653
0,0,0,25,Sub,Bournemouth,Fulham,3,1,2025-10-03,28838,2025,742043,0,0,0,0,0,0.07629428058862686,0.07629428058862686
0,0,0,75,DR,Leeds,Bournemouth,2,2,2025-09-27,28832,2025,740672,0.04596828296780586,0,1,0,0,0.07337167859077454,0.027403391897678375
0,2,0.049978502094745636,50,DR,Bournemouth,Newcastle United,0,0,2025-09-21,28823,2025,739217,0,0,0,0,0.049978502094745636,0.16191650927066803,0.12697994709014893
0,0,0,1,Sub,Bournemouth,Brighton,2,1,2025-09-13,28810,2025,736917,0,0,0,0,0,0,0
0,0,0,42,Sub,AC Milan,Cremonese,1,2,2025-08-23,29846,2025,733649,0.14040954411029816,0,2,0,0,0.38356098532676697,0.24315142631530762
0,1,0.02424263022840023,29,Sub,AC Milan,Monza,2,0,2025-05-24,27738,2024,729796,0,0,0,0,0.02424263022840023,0.07334636896848679,0.049103736877441406
0,3,0.46613022685050964,69,DML,Roma,AC Milan,3,1,2025-05-18,27730,2024,729049,0.3804248571395874,1,2,0,0.46613022685050964,1.1473641395568848,0.30080902576446533
0,1,0.04451537877321243,68,DMR,AC Milan,Bologna,3,1,2025-05-09,27717,2024,725428,0,0,0,0,0.04451537877321243,0.06797097623348236,0.06797097623348236
0,0,0,72,DMR,Genoa,AC Milan,1,2,2025-05-05,27705,2024,725292,0,0,0,0,0,0.6145855188369751,0.6145855188369751
0,0,0,73,DMR,Venezia,AC Milan,0,2,2025-04-27,27701,2024,722915,0,0,0,0,0,0.45164093375205994,0.45164093375205994
0,0,0,75,DMR,AC Milan,Atalanta,0,1,2025-04-20,27686,2024,721467,0.12932397425174713,0,1,0,0,0.14288567006587982,0.01356169581413269
0,1,0.014784807339310646,74,DMR,Udinese,AC Milan,0,4,2025-04-11,27681,2024,718207,0.02591489627957344,0,1,0,0.014784807339310646,0.17184077203273773,0.17184077203273773
0,0,0,9,Sub,Napoli,AC Milan,2,1,2025-03-30,27654,2024,715751,0.05560895800590515,0,1,0,0,0.7474508285522461,0.6918419003486633
0,0,0,43,Sub,AC Milan,Como,2,1,2025-03-15,27647,2024,713175,0,0,0,0,0,0.20531222224235535,0.20531222224235535
0,0,0,51,AMR,Lecce,AC Milan,2,3,2025-03-08,27639,2024,711532,0,0,0,0,0,0.12391559779644012,0.12391559779644012
0,1,0.09594903141260147,48,DR,AC Milan,Lazio,1,2,2025-03-02,27627,2024,710628,0,0,0,0,0.09594903141260147,0.18746860325336456,0.09151957184076309
0,0,0,85,DR,Bologna,AC Milan,2,1,2025-02-27,27442,2024,709285,0,0,0,0,0,0.039286285638809204,0.039286285638809204
0,2,0.053457390516996384,89,DR,Torino,AC Milan,2,1,2025-02-22,27618,2024,707992,0.05572289973497391,0,2,0,0.053457390516996384,0.26513218879699707,0.23553454875946045
0,0,0,42,Sub,AC Milan,Verona,1,0,2025-02-15,27608,2024,706527,0,0,0,0,0,0.6764090061187744,0.6764090061187744
0,0,0,50,AML,Empoli,AC Milan,0,2,2025-02-08,27594,2024,705551,0,0,0,0,0,0.025063462555408478,0.025063462555408478
0,0,0,42,Sub,AC Milan,Inter,1,1,2025-02-02,27588,2024,704265,0,0,0,0,0,0.10342982411384583,0.10342982411384583
0,0,0,26,Sub,Juventus,AC Milan,2,0,2025-01-18,27568,2024,700173,0,0,0,0,0,0.03700369969010353,0.03700369969010353
0,2,0.5030965805053711,43,Sub,Como,AC Milan,1,2,2025-01-14,27543,2024,698959,0,0,0,0,0.5030965805053711,0.5030965805053711,0
