goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,MC,Wolverhampton Wanderers,Newcastle United,0,0,2026-01-18,28997,2025,764677,0,0,0,0,0,0.10172770917415619,0.10172770917415619
0,0,0,43,Sub,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762195,0.07874172180891037,0,1,0,0,0.3170175850391388,0.23827585577964783
0,0,0,38,Sub,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761053,0.04154866933822632,0,1,0,0,0.04154866933822632,0
0,0,0,90,MC,Liverpool,Wolverhampton Wanderers,2,1,2025-12-27,28953,2025,760152,0.4454227387905121,0,2,0,0,0.08255645632743835,0.06567816436290741
0,1,0.1155807375907898,90,MC,Wolverhampton Wanderers,Brentford,0,2,2025-12-20,28947,2025,759124,0,0,0,0,0.1155807375907898,0.12268931418657303,0.12268931418657303
0,0,0,90,MC,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757948,0,0,0,0,0,0,0
0,2,0.03149096295237541,90,MC,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757183,0.04466287046670914,0,2,0,0.03149096295237541,0.17062479257583618,0.13913382589817047
0,0,0,90,MC,Wolverhampton Wanderers,Nottingham Forest,0,1,2025-12-03,28917,2025,755146,0.06980178505182266,0,1,0,0,0.7667043805122375,0.7667043805122375
0,0,0,90,MC,Aston Villa,Wolverhampton Wanderers,1,0,2025-11-30,28898,2025,754296,0.05590270459651947,0,2,0,0,0.3518916368484497,0.3518916368484497
0,0,0,90,MC,Wolverhampton Wanderers,Crystal Palace,0,2,2025-11-22,28897,2025,752056,0,0,0,0,0,0.6494839787483215,0.6494839787483215
0,0,0,90,MC,Chelsea,Wolverhampton Wanderers,3,0,2025-11-08,28880,2025,750552,0,0,0,0,0,0,0
0,0,0,9,Sub,Fulham,Wolverhampton Wanderers,3,0,2025-11-01,28871,2025,748395,0,0,0,0,0,0,0
0,0,0,73,MC,Wolverhampton Wanderers,Burnley,2,3,2025-10-26,28867,2025,746655,0.10960590094327927,0,1,0,0,0.6405298113822937,0.5309239029884338
0,1,0.01654295064508915,90,MC,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744270,0,0,0,0,0.01654295064508915,0.16126342117786407,0.14472046494483948
