goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,86,DMC,Wolverhampton Wanderers,Chelsea,1,3,2026-02-07,29027,2025,768718,0.09617359191179276,0,2,0,0,0.17046703398227692,0.07429344207048416
0,0,0,4,Sub,Angers,Marseille,2,5,2026-01-17,29691,2025,764610,0,0,0,0,0,0,0
0,1,0.028048256412148476,48,AMC,Marseille,Toulouse,2,2,2025-11-29,29659,2025,754066,0.016926953569054604,0,1,0,0.028048256412148476,0.028048256412148476,0
0,0,0,75,AMC,Nice,Marseille,1,5,2025-11-21,29651,2025,751575,0,0,0,0,0,0.46301767230033875,0.46301767230033875
1,3,0.6871529817581177,74,AMC,Marseille,Brest,3,0,2025-11-08,29641,2025,750292,0.17435145378112793,0,3,1,0.6871529817581177,0.8141006231307983,0.11542082577943802
1,1,0.5139652490615845,68,MC,Auxerre,Marseille,0,1,2025-11-01,29628,2025,748820,0.01443507894873619,0,1,1,0.5139652490615845,0.5139652490615845,0
0,1,0.03318261355161667,48,AMC,Marseille,Angers,2,2,2025-10-29,29620,2025,747686,0.051312219351530075,0,1,0,0.03318261355161667,0.08449482917785645,0
0,0,0,14,Sub,Lens,Marseille,2,1,2025-10-25,29612,2025,746332,0,0,0,0,0,0,0
0,1,0.3734818398952484,71,AMC,Marseille,Le Havre,6,2,2025-10-18,29604,2025,744627,0.05654645711183548,0,2,0,0.3734818398952484,0.8631484508514404,0.4896666407585144
0,2,0.3732644319534302,67,AMC,Metz,Marseille,0,3,2025-10-04,29597,2025,742546,0.020728088915348053,0,1,0,0.3732644319534302,1.3111567497253418,0.9298116564750671
0,0,0,90,AMC,Strasbourg,Marseille,1,2,2025-09-26,29590,2025,740271,0.033643241971731186,0,2,0,0,0.8159337639808655,0.801226794719696
1,1,0.025678696110844612,90,DMC,Marseille,Lorient,4,0,2025-09-12,29568,2025,736435,0.5937689542770386,0,3,1,0.025678696110844612,1.0549410581588745,0.5483922958374023
0,0,0,90,DMC,Lyon,Marseille,1,0,2025-08-31,29564,2025,736231,0,0,0,0,0,0.014295701868832111,0.014295701868832111
0,0,0,90,DMC,Marseille,Paris FC,5,2,2025-08-23,29548,2025,733329,0.021921323612332344,0,1,0,0,0.9046028256416321,0.9046028256416321
0,1,0.02501392737030983,90,DMC,Rennes,Marseille,1,0,2025-08-15,29538,2025,731686,0.08403834700584412,0,3,0,0.02501392737030983,0.6545923948287964,0.5665707588195801
0,0,0,49,AMC,Paris Saint Germain,Lille,4,1,2025-03-01,28255,2024,710098,0,0,0,0,0,0,0
0,0,0,49,AMC,Lille,Saint-Etienne,4,1,2025-02-01,28222,2024,703830,0,0,0,0,0,0.14537851512432098,0.14537851512432098
0,1,0.018435578793287277,7,Sub,Strasbourg,Lille,2,1,2025-01-25,28210,2024,701768,0,0,0,0,0.018435578793287277,0.5625525116920471,0.5625525116920471
0,1,0.018385743722319603,20,Sub,Auxerre,Lille,0,0,2025-01-10,28194,2024,697977,0.0501369871199131,0,1,0,0.018385743722319603,0.017394358292222023,0.017394358292222023
0,0,0,21,Sub,Nice,Lille,2,2,2024-11-10,28141,2024,687249,0.0380215123295784,0,1,0,0,0,0
0,2,0.4450056552886963,72,AMC,Lille,Lyon,1,1,2024-11-01,28136,2024,684600,0.03601851314306259,0,1,0,0.4450056552886963,1.0048725605010986,0.5746959447860718
