goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,8,Sub,Leeds,Fulham,1,0,2026-01-17,28991,2025,764226,0,0,0,0,0,0.4395431876182556,0.4395431876182556
0,0,0,1,Sub,Newcastle United,Leeds,4,3,2026-01-07,28986,2025,762502,0,0,0,0,0,0,0
0,0,0,9,Sub,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761421,0,0,0,0,0,0,0
0,0,0,1,Sub,Liverpool,Leeds,0,0,2026-01-01,28963,2025,760733,0,0,0,0,0,0,0
0,1,0.10995779931545258,60,Sub,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760342,0.13757091760635376,0,2,0,0.10995779931545258,1.7747544050216675,1.5272257328033447
0,0,0,9,Sub,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759403,0,0,0,0,0,0,0
0,1,0.02313769981265068,76,MC,Brentford,Leeds,1,1,2025-12-14,28929,2025,758468,0.44761958718299866,0,1,0,0.02313769981265068,0.4690808355808258,0.02146122232079506
1,2,0.5488231182098389,22,Sub,Leeds,Liverpool,3,3,2025-12-06,28923,2025,756228,0,0,0,1,0.5488231182098389,0.017974497750401497,0
1,4,0.20080165565013885,70,MC,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755240,0,0,0,1,0.20080165565013885,0.224422886967659,0.03827361762523651
0,0,0,90,MC,Manchester City,Leeds,3,2,2025-11-29,28903,2025,753678,0,0,0,0,0,0.4615236222743988,0.4615236222743988
0,0,0,55,Sub,Leeds,Aston Villa,1,2,2025-11-23,28893,2025,752589,0.14716552197933197,0,1,0,0,0.14716552197933197,0
0,0,0,62,MC,Brighton,Leeds,3,0,2025-11-01,28868,2025,748297,0,0,0,0,0,0,0
0,1,0.07628515362739563,85,MC,Leeds,West Ham,2,1,2025-10-24,28864,2025,745555,0,0,0,0,0.07628515362739563,0.6499871015548706,0.5737019777297974
0,0,0,8,Sub,Burnley,Leeds,2,0,2025-10-18,28849,2025,744155,0.036869823932647705,0,1,0,0,0.12905916571617126,0.09218934178352356
0,0,0,19,Sub,Leeds,Tottenham,1,2,2025-10-04,28844,2025,742134,0.03436124697327614,0,1,0,0,0.03436124697327614,0.03436124697327614
0,0,0,1,Sub,Leeds,Bournemouth,2,2,2025-09-27,28832,2025,740669,0,0,0,0,0,0,0
0,0,0,4,Sub,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738612,0,0,0,0,0,0,0
0,0,0,61,MC,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733408,0,0,0,0,0,0.024242989718914032,0.024242989718914032
0,2,0.1117604449391365,90,MC,Leeds,Everton,1,0,2025-08-18,28787,2025,732649,0.08181378990411758,0,2,0,0.1117604449391365,0.311256468296051,0.11768221855163574
