goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Manchester United,Manchester City,2,0,2026-01-17,28993,2025,763921,0,0,0,0,0,0,0
0,1,0.12626928091049194,63,DC,Burnley,Manchester United,2,2,2026-01-07,28982,2025,762459,0,0,0,0,0.12626928091049194,0.708659291267395,0.708659291267395
0,0,0,90,DC,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761426,0,0,0,0,0,0.5273628830909729,0.5273628830909729
0,1,0.07318644970655441,76,DC,Manchester United,Wolverhampton Wanderers,1,1,2025-12-30,28964,2025,760651,0,0,0,0,0.07318644970655441,0.40251216292381287,0.32932570576667786
0,0,0,90,DC,Manchester United,Newcastle United,1,0,2025-12-26,28954,2025,759893,0,0,0,0,0,0,0
0,0,0,90,DC,Aston Villa,Manchester United,2,1,2025-12-21,28939,2025,759655,0,0,0,0,0,0.40461334586143494,0.40461334586143494
0,0,0,90,DC,Manchester United,Bournemouth,4,4,2025-12-15,28934,2025,758661,0.020882152020931244,0,1,0,0,0.45846131443977356,0.4375791549682617
0,1,0.01559737790375948,71,DC,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757196,0,0,0,0,0.01559737790375948,0.45493876934051514,0.43934139609336853
0,0,0,47,DC,Manchester United,West Ham,1,1,2025-12-04,28915,2025,755358,0,0,0,0,0,0,0
0,0,0,24,Sub,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746099,0.34458863735198975,1,1,0,0,0.34458863735198975,0
0,0,0,1,Sub,Fulham,Manchester United,1,1,2025-08-24,28796,2025,734103,0,0,0,0,0,0,0
0,2,0.060109693557024,71,DC,Manchester United,Aston Villa,2,0,2025-05-25,26974,2024,730221,0.012095056474208832,0,1,0,0.060109693557024,0.25108399987220764,0.2389889359474182
0,0,0,4,Sub,Chelsea,Manchester United,1,0,2025-05-16,26966,2024,727561,0,0,0,0,0,0,0
0,0,0,52,DC,Leicester,Manchester United,0,3,2025-03-16,26888,2024,714289,0,0,0,0,0,0,0
0,0,0,40,Sub,Manchester United,Arsenal,1,1,2025-03-09,26877,2024,712194,0,0,0,0,0,0.05563142150640488,0.05563142150640488
