goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Crystal Palace,Aston Villa,0,0,2026-01-07,28983,2025,762364,0,0,0,0,0,0,0
0,0,0,1,Sub,Crystal Palace,Fulham,1,1,2026-01-01,28962,2025,760687,0,0,0,0,0,0,0
0,0,0,21,Sub,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759418,0.05682658404111862,0,1,0,0,0.05682658404111862,0
0,0,0,1,Sub,Arsenal,Crystal Palace,1,0,2025-10-26,28859,2025,746614,0,0,0,0,0,0,0
0,0,0,82,DL,Bologna,Torino,3,2,2025-02-14,27602,2024,705860,0,0,0,0,0,0.4349012076854706,0.4349012076854706
0,1,0.1203479915857315,73,DML,Torino,Genoa,1,1,2025-02-08,27599,2024,705437,0,0,0,0,0.1203479915857315,0.18199831247329712,0.06165032461285591
0,0,0,90,DL,Atalanta,Torino,1,1,2025-02-01,27584,2024,703528,0,0,0,0,0,0.14135533571243286,0.14135533571243286
0,0,0,78,DL,Torino,Cagliari,2,0,2025-01-24,27578,2024,701100,0.10727918148040771,0,2,0,0,0.41865018010139465,0.41865018010139465
0,0,0,64,DL,Fiorentina,Torino,1,1,2025-01-19,27565,2024,700397,0,0,0,0,0,0.038831256330013275,0.038831256330013275
0,0,0,90,DL,Torino,Juventus,1,1,2025-01-11,27555,2024,698295,0.025890028104186058,0,1,0,0,0.08889318257570267,0.08889318257570267
0,0,0,86,DML,Torino,Parma Calcio 1913,0,0,2025-01-05,27550,2024,697681,0.059460561722517014,0,1,0,0,0.07549036294221878,0.016029801219701767
0,0,0,86,DML,Udinese,Torino,2,2,2024-12-29,27541,2024,696571,0.06869634240865707,0,1,0,0,0.1670311987400055,0.09833486378192902
0,1,0.0682143121957779,90,DML,Torino,Bologna,0,2,2024-12-21,27527,2024,695074,0,0,0,0,0.0682143121957779,0.0682143121957779,0
0,0,0,90,DML,Empoli,Torino,0,1,2024-12-13,27513,2024,693436,0.5454992055892944,0,5,0,0,0.6405008435249329,0.13286791741847992
0,0,0,20,Sub,Genoa,Torino,0,0,2024-12-07,27505,2024,692000,0,0,0,0,0,0.058103371411561966,0.058103371411561966
0,0,0,14,Sub,Torino,Napoli,0,1,2024-12-01,27500,2024,690718,0,0,0,0,0,0,0
