goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.23905082046985626,90,FW,Sunderland,Manchester United,0,0,2026-05-09,29135,2025,788845,0.22736971080303192,0,3,0,0.23905082046985626,0.7940919995307922,0.5914925336837769
0,1,0.09355446696281433,76,FW,Wolverhampton Wanderers,Sunderland,1,1,2026-05-02,29127,2025,787211,0.08557350933551788,0,1,0,0.09355446696281433,0.17912797629833221,0
0,0,0,90,FW,Sunderland,Nottingham Forest,0,5,2026-04-24,29115,2025,785079,0.10827111452817917,0,1,0,0,0.015736864879727364,0.015736864879727364
0,1,0.06900599598884583,86,FW,Aston Villa,Sunderland,4,3,2026-04-19,29098,2025,783701,0,0,0,0,0.06900599598884583,0.06900599598884583,0
0,2,0.6613737940788269,90,FW,Sunderland,Tottenham,1,0,2026-04-12,29090,2025,782187,0,0,0,0,0.6613737940788269,0.872597873210907,0.29859989881515503
1,3,1.357412576675415,90,FW,Newcastle United,Sunderland,1,2,2026-03-22,29085,2025,779043,0.05769108980894089,0,2,1,1.357412576675415,1.5164005756378174,0.10129684954881668
0,1,0.05858844518661499,80,FW,Sunderland,Brighton,0,1,2026-03-14,29076,2025,776760,0.08946765959262848,0,1,0,0.05858844518661499,0.18610519170761108,0.038049083203077316
0,0,0,77,FW,Sunderland,Fulham,1,3,2026-02-22,29045,2025,772161,0.32610023021698,0,1,0,0,0.32610023021698,0
0,1,0.11521743983030319,90,FW,Sunderland,Liverpool,0,1,2026-02-11,29035,2025,769950,0,0,0,0,0.11521743983030319,0.1844104677438736,0.069193035364151
0,1,0.3507857620716095,89,FW,Arsenal,Sunderland,3,0,2026-02-07,29019,2025,768645,0.024202333763241768,0,1,0,0.3507857620716095,0.051571324467659,0.02736898884177208
0,1,0.1336154192686081,84,FW,Sunderland,Burnley,3,0,2026-02-02,29011,2025,768160,0.08965042978525162,0,1,0,0.1336154192686081,0.2943076193332672,0.07104179263114929
1,1,0.318635493516922,90,FW,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765371,0,0,0,1,0.318635493516922,0.318635493516922,0
1,2,0.17352810502052307,86,FW,Sunderland,Crystal Palace,2,1,2026-01-17,28995,2025,764198,0.31587913632392883,0,1,1,0.17352810502052307,0.4894072413444519,0
0,2,0.13650888204574585,90,FW,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762253,0,0,0,0,0.13650888204574585,0.22759069502353668,0.09108181297779083
1,3,0.16479401290416718,90,FW,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761586,0.04603342339396477,0,1,1,0.16479401290416718,0.21082744002342224,0
0,1,0.28205785155296326,63,FW,Sunderland,Manchester City,0,0,2026-01-01,28966,2025,760773,0.027973365038633347,0,1,0,0.28205785155296326,0.49534478783607483,0.18531356751918793
0,2,0.45432591438293457,73,FW,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760325,0,0,0,0,0.45432591438293457,0.45432591438293457,0
0,3,0.2496369630098343,75,FW,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759083,0,0,0,0,0.2496369630098343,0.2299475371837616,0.06454700976610184
0,0,0,73,FW,Sunderland,Newcastle United,1,0,2025-12-14,28936,2025,758150,0,0,0,0,0,0,0
0,0,0,31,Sub,Manchester City,Sunderland,3,0,2025-12-06,28924,2025,755994,0,0,0,0,0,0,0
0,0,0,63,FW,Liverpool,Sunderland,1,1,2025-12-03,28914,2025,755291,0,0,0,0,0,0,0
1,2,0.10091180354356766,19,Sub,Sunderland,Bournemouth,3,2,2025-11-29,28905,2025,753700,0,0,0,1,0.10091180354356766,0.06225531920790672,0
0,0,0,24,Sub,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752047,0,0,0,0,0,0,0
1,1,0.48943451046943665,18,Sub,Sunderland,Arsenal,2,2,2025-11-08,28885,2025,750392,0,0,0,1,0.48943451046943665,0.48943451046943665,0
0,0,0,5,Sub,Sunderland,Everton,1,1,2025-11-03,28875,2025,749599,0,0,0,0,0,0,0
0,0,0,12,Sub,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745924,0.11022110283374786,1,1,0,0,0.11022110283374786,0
0,0,0,25,Sub,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742457,0,0,0,0,0,0,0
0,0,0,3,Sub,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740899,0,0,0,0,0,0,0
0,0,0,17,Sub,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736959,0,0,0,0,0,0,0
0,2,0.17455899715423584,1,Sub,RasenBallsport Leipzig,Arminia Bielefeld,0,2,2021-12-18,17667,2021,503616,0.025962499901652336,0,1,0,0.17455899715423584,0.025962499901652336,0
0,0,0,4,Sub,Augsburg,RasenBallsport Leipzig,1,1,2021-12-15,17652,2021,503244,0,0,0,0,0,0,0
0,0,0,5,Sub,RasenBallsport Leipzig,Borussia M.Gladbach,4,1,2021-12-11,17649,2021,501565,0.5896940231323242,1,1,0,0,0.5896940231323242,0
0,1,0.09074769914150238,12,Sub,Union Berlin,RasenBallsport Leipzig,2,1,2021-12-03,17639,2021,499550,0,0,0,0,0.09074769914150238,0.09074769914150238,0
0,1,0.07406909763813019,42,FW,RasenBallsport Leipzig,Bayer Leverkusen,1,3,2021-11-28,17631,2021,498255,0,0,0,0,0.07406909763813019,0.07406909763813019,0
0,0,0,18,Sub,Hoffenheim,RasenBallsport Leipzig,2,0,2021-11-20,17618,2021,495613,0,0,0,0,0,0,0
0,0,0,22,Sub,RasenBallsport Leipzig,Hertha Berlin,6,0,2021-09-25,17565,2021,484624,0.1027820035815239,1,1,0,0,0.1027820035815239,0.1027820035815239
0,0,0,2,Sub,Wolfsburg,RasenBallsport Leipzig,1,0,2021-08-29,17542,2021,479681,0,0,0,0,0,0.05730289965867996,0.05730289965867996
0,0,0,5,Sub,Mainz 05,RasenBallsport Leipzig,1,0,2021-08-15,17523,2021,476167,0,0,0,0,0,0,0
