goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,2,Sub,Fulham,Brighton,2,1,2026-01-24,29004,2025,765653,0,0,0,0,0,0,0
1,1,0.07604788988828659,8,Sub,Brighton,Bournemouth,1,1,2026-01-19,28989,2025,765149,0,0,0,1,0.07604788988828659,0.147824227809906,0.07177634537220001
0,2,0.5496499538421631,73,FW,Brighton,Burnley,2,0,2026-01-03,28973,2025,761080,0.2964487075805664,1,1,0,0.5496499538421631,0.8460986614227295,0
0,0,0,1,Sub,West Ham,Brighton,2,2,2025-12-30,28967,2025,760613,0,0,0,0,0,0,0
0,0,0,1,Sub,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760068,0,0,0,0,0,0,0
0,1,0.050420310348272324,16,Sub,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759068,0.20255200564861298,0,2,0,0.050420310348272324,0.2529723048210144,0.050420310348272324
0,1,0.06413229554891586,5,Sub,Liverpool,Brighton,2,0,2025-12-13,28933,2025,757669,0,0,0,0,0.06413229554891586,0.10970403999090195,0.045571744441986084
0,4,0.49411579966545105,17,Sub,Brighton,West Ham,1,1,2025-12-07,28920,2025,756605,0.10208792984485626,0,1,0,0.49411579966545105,0.5639881491661072,0.05058755725622177
0,2,0.07959529012441635,5,Sub,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755181,0.07752572000026703,0,2,0,0.07959529012441635,0.15712101757526398,0
0,0,0,13,Sub,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750931,0,0,0,0,0,0.018019266426563263,0.018019266426563263
0,0,0,1,Sub,Brighton,Leeds,3,0,2025-11-01,28868,2025,748286,0,0,0,0,0,0,0
1,2,0.36812666058540344,10,Sub,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746112,0,0,0,1,0.36812666058540344,0.09042076766490936,0
0,0,0,1,Sub,Brighton,Newcastle United,2,1,2025-10-18,28848,2025,744199,0,0,0,0,0,0,0
