goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.015589778311550617,41,Sub,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765373,0.04128555208444595,0,1,0,0.015589778311550617,0.04128555208444595,0.04128555208444595
0,0,0,86,AML,Sunderland,Newcastle United,1,0,2025-12-14,28936,2025,758149,0,0,0,0,0,0,0
0,0,0,31,Sub,Manchester City,Sunderland,3,0,2025-12-06,28924,2025,755993,0.07362252473831177,0,2,0,0,0.07846180349588394,0.019344884902238846
1,2,0.0395301878452301,90,ML,Liverpool,Sunderland,1,1,2025-12-03,28914,2025,755289,0,0,0,1,0.0395301878452301,0.030875718221068382,0.012263569980859756
0,2,0.134673073887825,71,AML,Sunderland,Bournemouth,3,2,2025-11-29,28905,2025,753697,0,0,0,0,0.134673073887825,0.18265293538570404,0.04797986149787903
0,0,0,24,Sub,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752046,0,0,0,0,0,0,0
0,0,0,17,Sub,Sunderland,Arsenal,2,2,2025-11-08,28885,2025,750391,0,0,0,0,0,0,0
0,0,0,6,Sub,Sunderland,Everton,1,1,2025-11-03,28875,2025,749598,0,0,0,0,0,0,0
1,1,0.11022110283374786,22,Sub,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745923,0,0,0,1,0.11022110283374786,0.11022110283374786,0
0,0,0,23,Sub,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744261,0,0,0,0,0,0,0
0,2,0.3214682638645172,26,Sub,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742455,0.0658116266131401,0,1,0,0.3214682638645172,0.3872798979282379,0
0,1,0.03673868253827095,87,AMR,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740894,0,0,0,0,0.03673868253827095,0.08234591782093048,0.08234591782093048
0,2,0.040718063712120056,83,FWR,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739254,0.029756717383861542,0,1,0,0.040718063712120056,0.0704747810959816,0
0,1,0.10243286937475204,90,FWR,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736956,0.026251330971717834,0,1,0,0.10243286937475204,0.12868419289588928,0
0,1,0.10804285854101181,67,FWR,Sunderland,Brentford,2,1,2025-08-30,28801,2025,735076,0,0,0,0,0.10804285854101181,0,0
0,1,0.31338781118392944,67,FWR,Burnley,Sunderland,2,0,2025-08-23,28791,2025,733283,0.02128206007182598,0,1,0,0.31338781118392944,0.33466988801956177,0
0,0,0,90,FWR,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731792,0.09252168238162994,1,1,0,0,0.3971294164657593,0.30460771918296814
