goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Arsenal,Sunderland,3,0,2026-02-07,29019,2025,768638,0.3507857620716095,0,1,0,0,0,0
0,1,0.1031804159283638,90,DC,Sunderland,Burnley,3,0,2026-02-02,29011,2025,768154,0,0,0,0,0.1031804159283638,0.25421157479286194,0.25421157479286194
0,1,0.010150081478059292,90,DC,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765365,0,0,0,0,0.010150081478059292,0.04128555208444595,0.04128555208444595
0,2,0.6459027528762817,90,DC,Sunderland,Crystal Palace,2,1,2026-01-17,28995,2025,764191,0.03139617666602135,0,1,0,0.6459027528762817,1.0209097862243652,0.4000132083892822
0,1,0.026230396702885628,79,DC,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762246,0,0,0,0,0.026230396702885628,0.09108181297779083,0.09108181297779083
0,0,0,21,Sub,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761590,0,0,0,0,0,0.14127840101718903,0.14127840101718903
0,2,0.47071725130081177,90,DC,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759076,0,0,0,0,0.47071725130081177,0.6567182540893555,0.24549426138401031
0,1,0.41380420327186584,90,DC,Sunderland,Newcastle United,1,0,2025-12-14,28936,2025,758143,0,0,0,0,0.41380420327186584,0.4827118217945099,0.06890762597322464
0,0,0,90,DC,Manchester City,Sunderland,3,0,2025-12-06,28924,2025,755986,0,0,0,0,0,0.039601828902959824,0.039601828902959824
0,0,0,90,DC,Liverpool,Sunderland,1,1,2025-12-03,28914,2025,755284,0,0,0,0,0,0.012263569980859756,0.012263569980859756
0,0,0,90,DC,Sunderland,Bournemouth,3,2,2025-11-29,28905,2025,753691,0.01669955998659134,0,1,0,0,0.1477661281824112,0.13106656074523926
0,0,0,90,DC,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752039,0,0,0,0,0,0,0
1,1,0.42257362604141235,90,DC,Sunderland,Arsenal,2,2,2025-11-08,28885,2025,750384,0,0,0,1,0.42257362604141235,0.09464927017688751,0.09464927017688751
0,2,0.12582385540008545,90,DC,Sunderland,Everton,1,1,2025-11-03,28875,2025,749590,0.06001298129558563,0,1,0,0.12582385540008545,0.21096162497997284,0.15995573997497559
0,1,0.2097024917602539,90,DC,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745916,0,0,0,0,0.2097024917602539,0.19290471076965332,0.19290471076965332
0,1,0.07409484684467316,90,DC,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744253,0.3844984769821167,0,2,0,0.07409484684467316,0.4484158754348755,0.0639173835515976
0,1,0.2619534730911255,54,Sub,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742459,0,0,0,0,0.2619534730911255,0.2839544713497162,0.2839544713497162
0,1,0.537736713886261,13,Sub,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740902,0,0,0,0,0.537736713886261,0,0
0,1,0.007273717783391476,54,Sub,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739261,0.04233251512050629,0,1,0,0.007273717783391476,0.04233251512050629,0
0,0,0,8,DC,Burnley,Sunderland,2,0,2025-08-23,28791,2025,733278,0.5299577713012695,0,1,0,0,0,0
1,4,0.10792046040296555,90,DC,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731787,0,0,0,1,0.10792046040296555,0.03667960315942764,0.03667960315942764
