goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,Sub,Brighton,Crystal Palace,0,1,2026-02-08,29020,2025,769157,0,0,0,0,0,0,0
0,0,0,81,FWR,Fulham,Brighton,2,1,2026-01-24,29004,2025,765647,0,0,0,0,0,0.6892095804214478,0.6892095804214478
0,1,0.06316126137971878,71,AMC,Brighton,Bournemouth,1,1,2026-01-19,28989,2025,765142,0,0,0,0,0.06316126137971878,0.10338757932186127,0.04022631794214249
0,1,0.7569111585617065,81,AMC,Manchester City,Brighton,1,1,2026-01-07,28985,2025,762282,0.13406027853488922,0,1,0,0.7569111585617065,0.8909714221954346,0.13406027853488922
0,3,0.09141843765974045,82,DMC,Brighton,Burnley,2,0,2026-01-03,28973,2025,761075,0,0,0,0,0.09141843765974045,0.6612891554832458,0.5698707103729248
0,1,0.05829775705933571,80,AMC,West Ham,Brighton,2,2,2025-12-30,28967,2025,760608,0.060424160212278366,0,2,0,0.05829775705933571,0.30049124360084534,0.18176934123039246
1,1,0.31577229499816895,89,AMC,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760065,0,0,0,1,0.31577229499816895,0.31577229499816895,0
0,3,0.8771024942398071,90,AML,Liverpool,Brighton,2,0,2025-12-13,28933,2025,757667,0.05451952666044235,0,1,0,0.8771024942398071,0.9749073386192322,0.09780485928058624
0,3,0.1536443531513214,90,DMC,Brighton,West Ham,1,1,2025-12-07,28920,2025,756598,0.05923401191830635,0,2,0,0.1536443531513214,0.8927137851715088,0.7236305475234985
0,0,0,90,DMC,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755176,0,0,0,0,0,0.09376727789640427,0.09376727789640427
0,2,0.3216523230075836,86,DMC,Nottingham Forest,Brighton,0,2,2025-11-30,28904,2025,754475,0.09784771502017975,0,1,0,0.3216523230075836,0.47886303067207336,0.16788165271282196
0,1,0.02124582603573799,74,AML,Brighton,Brentford,2,1,2025-11-22,28890,2025,751998,0,0,0,0,0.02124582603573799,0.14020344614982605,0.11895762383937836
0,2,0.4545218348503113,87,AML,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750927,0.16449595987796783,0,4,0,0.4545218348503113,0.21009057760238647,0.028598682954907417
2,4,1.310936450958252,82,AML,Brighton,Leeds,3,0,2025-11-01,28868,2025,748283,0.33008113503456116,0,2,2,1.310936450958252,1.6410175561904907,0.01725221984088421
0,1,0.03356751799583435,29,Sub,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746113,0,0,0,0,0.03356751799583435,0.20033027231693268,0.16676275432109833
0,0,0,35,AML,Brighton,Newcastle United,2,1,2025-10-18,28848,2025,744195,0.08176365494728088,0,1,0,0,0.1024351492524147,0.020671498030424118
0,2,0.09775491803884506,79,AMC,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743133,0,0,0,0,0.09775491803884506,0.11211778223514557,0.014362865127623081
0,1,0.08320274949073792,87,AMC,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740618,0,0,0,0,0.08320274949073792,0.6123435497283936,0.6123435497283936
0,1,0.027654215693473816,41,Sub,Brighton,Tottenham,2,2,2025-09-20,28821,2025,738628,0.08411257714033127,0,1,0,0.027654215693473816,0.11176679283380508,0.08411257714033127
0,0,0,66,AMC,Brighton,Manchester City,2,1,2025-08-31,28805,2025,735691,0,0,0,0,0,0,0
0,0,0,21,Sub,Everton,Brighton,2,0,2025-08-24,28795,2025,733851,0,0,0,0,0,0.02659415453672409,0.02659415453672409
0,1,0.02465054765343666,20,Sub,Brighton,Fulham,1,1,2025-08-16,28780,2025,732714,0.3136118948459625,0,1,0,0.02465054765343666,0.3382624387741089,0
1,3,0.09699146449565887,43,Sub,Tottenham,Brighton,1,4,2025-05-25,26976,2024,730154,0.37559446692466736,0,3,1,0.09699146449565887,0.18390285968780518,0.09996059536933899
0,0,0,14,Sub,Brighton,Liverpool,3,2,2025-05-19,26965,2024,729261,0,0,0,0,0,0,0
0,0,0,4,Sub,Wolverhampton Wanderers,Brighton,0,2,2025-05-10,26961,2024,725830,0,0,0,0,0,0,0
0,1,0.3650991916656494,1,Sub,Brighton,Newcastle United,1,1,2025-05-04,26944,2024,724703,0,0,0,0,0.3650991916656494,0,0
0,0,0,7,Sub,Brighton,West Ham,3,2,2025-04-26,26934,2024,722693,0,0,0,0,0,0.48146140575408936,0.48146140575408936
0,2,0.07410695403814316,9,Sub,Brentford,Brighton,4,2,2025-04-19,26923,2024,720483,0,0,0,0,0.07410695403814316,0,0
0,0,0,15,Sub,Brighton,Leicester,2,2,2025-04-12,26914,2024,718697,0,0,0,0,0,0,0
0,0,0,73,DMC,Crystal Palace,Brighton,2,1,2025-04-05,26904,2024,716846,0.06664121150970459,0,2,0,0,0.06664121150970459,0.06664121150970459
0,0,0,73,DMC,Brighton,Aston Villa,0,3,2025-04-02,26893,2024,716176,0.029628170654177666,0,1,0,0,0.07283181697130203,0.07283181697130203
0,2,0.3015349507331848,79,DMC,Manchester City,Brighton,2,2,2025-03-15,26889,2024,713029,0,0,1,0,0.3015349507331848,0.7043560743331909,0.4028211236000061
0,0,0,19,Sub,Brighton,Fulham,2,1,2025-03-08,26873,2024,711330,0,0,0,0,0,0,0
0,1,0.039593134075403214,76,DMC,Brighton,Bournemouth,2,1,2025-02-25,26863,2024,709062,0.3502911925315857,0,1,0,0.039593134075403214,0.44395172595977783,0.09366051107645035
0,0,0,21,Sub,Southampton,Brighton,0,4,2025-02-22,26861,2024,707882,0.7600372433662415,0,1,0,0,2.131805658340454,2.131805658340454
0,0,0,12,Sub,Brighton,Chelsea,3,0,2025-02-14,26843,2024,705885,0,0,0,0,0,0.6816762089729309,0.6816762089729309
0,0,0,40,Sub,Nottingham Forest,Brighton,7,0,2025-02-01,26840,2024,702756,0,0,0,0,0,0,0
0,0,0,1,Sub,Manchester United,Brighton,1,3,2025-01-19,26818,2024,700496,0,0,0,0,0,0,0
