goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,16,Sub,Brighton,Chelsea,3,0,2026-04-21,29110,2025,784413,0,0,0,0,0,0.01631888374686241,0.01631888374686241
0,0,0,7,Sub,Chelsea,Manchester City,0,3,2026-04-12,29095,2025,782470,0,0,0,0,0,0.41531437635421753,0.41531437635421753
0,0,0,72,DMC,Espanyol,Las Palmas,2,0,2025-05-24,27352,2024,729739,0,0,0,0,0,0.024778729304671288,0.024778729304671288
0,0,0,78,MC,Las Palmas,Leganes,0,1,2025-05-18,27350,2024,728786,0.11130768805742264,0,2,0,0,0.11130768805742264,0
0,1,0.0115298330783844,36,Sub,Sevilla,Las Palmas,1,0,2025-05-13,27340,2024,727247,0,0,0,0,0.0115298330783844,0.030230991542339325,0.018701158463954926
0,1,0.021603049710392952,57,MC,Las Palmas,Rayo Vallecano,0,1,2025-05-09,27329,2024,725398,0,0,0,0,0.021603049710392952,0.021603049710392952,0
0,0,0,62,DMC,Las Palmas,Valencia,2,3,2025-05-03,27313,2024,724325,0,0,0,0,0,0,0
0,1,0.031862933188676834,90,DMC,Athletic Club,Las Palmas,1,0,2025-04-23,27303,2024,721983,0,0,0,0,0.031862933188676834,0.031862933188676834,0
0,2,0.0331815630197525,79,MC,Las Palmas,Atletico Madrid,1,0,2025-04-19,27295,2024,720796,0.04755022004246712,0,1,0,0.0331815630197525,0.08073177933692932,0
0,1,0.011482230387628078,50,MC,Getafe,Las Palmas,1,3,2025-04-12,27286,2024,718736,0,0,0,0,0.011482230387628078,0.3677302300930023,0.35624799132347107
0,1,0.012448026798665524,73,MC,Las Palmas,Real Sociedad,1,3,2025-04-06,27274,2024,717361,0,0,0,0,0.012448026798665524,0.12295631319284439,0.11050828546285629
0,1,0.020438887178897858,39,Sub,Celta Vigo,Las Palmas,1,1,2025-03-31,27263,2024,715938,0,0,0,0,0.020438887178897858,0,0
0,0,0,62,MC,Real Betis,Las Palmas,1,0,2025-03-09,27245,2024,712291,0.011936982162296772,0,1,0,0,0.11472511291503906,0.10278812795877457
0,1,0.11503443866968155,90,DMC,Real Valladolid,Las Palmas,1,1,2025-02-28,27239,2024,709470,0,0,0,0,0.11503443866968155,0.012588792480528355,0.012588792480528355
0,1,0.04195510968565941,67,DMC,Las Palmas,Barcelona,0,2,2025-02-22,27226,2024,708200,0,0,0,0,0.04195510968565941,0.07966172695159912,0.03770661726593971
0,0,0,72,DMC,Las Palmas,Osasuna,1,1,2025-01-24,27185,2024,701162,0.11257728934288025,0,2,0,0,0.07853677868843079,0.0341535247862339
0,0,0,81,DMC,Las Palmas,Getafe,1,2,2025-01-12,27170,2024,698537,0,0,0,0,0,0.09124856442213058,0.09124856442213058
0,1,0.05677955225110054,47,MC,Las Palmas,Espanyol,1,0,2024-12-22,27152,2024,695938,0.014899997040629387,0,1,0,0.05677955225110054,0.07167954742908478,0.014899997040629387
0,1,0.015081184916198254,90,MC,Real Sociedad,Las Palmas,0,0,2024-12-15,27151,2024,694578,0.011121390387415886,0,1,0,0.015081184916198254,0.026202576234936714,0
0,1,0.03031972236931324,60,DMC,Las Palmas,Real Valladolid,2,1,2024-12-07,27138,2024,691884,0,0,0,0,0.03031972236931324,0.03031972236931324,0
1,2,0.020533064380288124,90,DMC,Las Palmas,Mallorca,2,3,2024-11-23,27115,2024,688640,0.048059917986392975,0,2,1,0.020533064380288124,0.16721120476722717,0.09861822426319122
0,1,0.046830665320158005,84,MC,Rayo Vallecano,Las Palmas,1,3,2024-11-08,27110,2024,686313,0,0,0,0,0.046830665320158005,0.14044421911239624,0.09361355006694794
0,0,0,90,MC,Atletico Madrid,Las Palmas,2,0,2024-11-03,27093,2024,685502,0,0,0,0,0,0,0
0,0,0,90,DMC,Las Palmas,Girona,1,0,2024-10-26,27087,2024,683179,0.027735384181141853,0,1,0,0,0.18967829644680023,0.18967829644680023
0,1,0.018444932997226715,90,MC,Valencia,Las Palmas,2,3,2024-10-21,27081,2024,682487,0,0,0,0,0.018444932997226715,0.5281744003295898,0.5097294449806213
0,3,0.10750642418861389,90,DMC,Las Palmas,Celta Vigo,0,1,2024-10-05,27069,2024,679761,0.025540649890899658,0,1,0,0.10750642418861389,0.365884006023407,0.31902429461479187
0,0,0,88,MC,Villarreal,Las Palmas,3,1,2024-09-30,27058,2024,678975,0.020942972972989082,0,1,0,0,0.042322639375925064,0.021379666402935982
0,1,0.01765367202460766,77,MC,Las Palmas,Real Betis,1,1,2024-09-26,27049,2024,677126,0,0,0,0,0.01765367202460766,1.051087498664856,1.051087498664856
0,2,0.03444540873169899,81,MC,Osasuna,Las Palmas,2,1,2024-09-21,27040,2024,675829,0,0,0,0,0.03444540873169899,0.6845033764839172,0.6702447533607483
