goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,83,DL,Burnley,West Ham,0,2,2026-02-07,29021,2025,768670,0.4490009844303131,1,2,0,0,0.48770737648010254,0.42218074202537537
0,0,0,86,DL,Chelsea,West Ham,3,2,2026-01-31,29009,2025,767340,0.1281338632106781,0,1,0,0,0.30418047308921814,0.17604660987854004
0,0,0,16,Sub,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765361,0,0,0,0,0,0,0
0,2,0.05648060142993927,90,DL,West Ham,Aston Villa,2,3,2025-12-14,28937,2025,758174,0,0,0,0,0.05648060142993927,0.14363591372966766,0.14363591372966766
0,2,0.046467117965221405,84,ML,Brighton,West Ham,1,1,2025-12-07,28920,2025,756614,0,0,0,0,0.046467117965221405,0.046467117965221405,0.036621563136577606
0,1,0.046028848737478256,90,DL,Manchester United,West Ham,1,1,2025-12-04,28915,2025,755376,0,0,0,0,0.046028848737478256,0.055793363600969315,0.055793363600969315
0,0,0,90,DL,West Ham,Liverpool,0,2,2025-11-30,28907,2025,754309,0.014192120172083378,0,1,0,0,0.014192120172083378,0
0,0,0,90,DML,Bournemouth,West Ham,2,2,2025-11-22,28888,2025,751980,0,0,0,0,0,0,0
0,0,0,90,DL,West Ham,Burnley,3,2,2025-11-08,28887,2025,750197,0,0,0,0,0,0,0
0,0,0,90,DL,West Ham,Newcastle United,3,1,2025-11-02,28877,2025,748989,0,0,0,0,0,0.05905497819185257,0.05905497819185257
0,2,0.08868608623743057,90,DML,Leeds,West Ham,2,1,2025-10-24,28864,2025,745571,0,0,0,0,0.08868608623743057,0.1101057156920433,0.09133035689592361
0,0,0,35,Sub,West Ham,Brentford,0,2,2025-10-20,28857,2025,745351,0,0,0,0,0,0.08533937484025955,0.08533937484025955
0,0,0,90,DL,Arsenal,West Ham,2,0,2025-10-04,28839,2025,742418,0.03380563482642174,0,1,0,0,0.03380563482642174,0.03380563482642174
0,1,0.017835404723882675,90,DL,Everton,West Ham,1,1,2025-09-29,28837,2025,741892,0,0,0,0,0.017835404723882675,0.06523264199495316,0.06523264199495316
0,0,0,90,DL,West Ham,Crystal Palace,1,2,2025-09-20,28819,2025,738559,0.15901072323322296,1,2,0,0,0.07509332150220871,0.035743195563554764
0,1,0.03183525800704956,90,DL,West Ham,Tottenham,0,3,2025-09-13,28814,2025,737149,0,0,0,0,0.03183525800704956,0.18072697520256042,0.18072697520256042
0,0,0,90,DL,Nottingham Forest,West Ham,0,3,2025-08-31,28804,2025,735673,0.31998011469841003,1,1,0,0,0.4163472354412079,0.09636712819337845
0,0,0,90,ML,West Ham,Chelsea,1,5,2025-08-22,28788,2025,732895,0.015151547268033028,1,1,0,0,0.10988844186067581,0.09473689645528793
0,3,0.12190280109643936,90,ML,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731806,0.14266341924667358,0,2,0,0.12190280109643936,0.23339001834392548,0
