goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,78,FW,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765372,0,0,0,0,0,0.318635493516922,0.318635493516922
0,1,0.13176771998405457,4,Sub,Sunderland,Crystal Palace,2,1,2026-01-17,28995,2025,764199,0,0,0,0,0.13176771998405457,0.13176771998405457,0
0,0,0,38,Sub,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762254,0,0,0,0,0,0,0
0,1,0.03537650406360626,85,FW,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761587,0.06356275826692581,0,1,0,0.03537650406360626,0.09893926233053207,0
0,3,0.24820701777935028,90,AMR,Sunderland,Manchester City,0,0,2026-01-01,28966,2025,760770,0,0,0,0,0.24820701777935028,0.3211231827735901,0.1413237750530243
0,1,0.09753860533237457,17,Sub,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760327,0,0,0,0,0.09753860533237457,0.09753860533237457,0
0,0,0,1,Sub,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752048,0,0,0,0,0,0,0
0,0,0,1,Sub,Sunderland,Arsenal,2,2,2025-11-08,28885,2025,750393,0,0,0,0,0,0,0
0,0,0,10,Sub,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744263,0,0,0,0,0,0,0
0,1,0.0658116266131401,26,Sub,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742458,0.2839544713497162,0,1,0,0.0658116266131401,0.3497660756111145,0
0,0,0,7,Sub,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739259,0,0,0,0,0,0,0
0,0,0,67,FW,Sunderland,Brentford,2,1,2025-08-30,28801,2025,735077,0,0,0,0,0,0,0
0,1,0.5299577713012695,67,FW,Burnley,Sunderland,2,0,2025-08-23,28791,2025,733284,0,0,0,0,0.5299577713012695,0,0
1,2,0.12669655680656433,76,FW,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731793,0.30460771918296814,0,1,1,0.12669655680656433,0.3412873148918152,0
