goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,4,1.1078287363052368,76,AMR,Crystal Palace,Chelsea,1,3,2026-01-25,29002,2025,766108,0.412984699010849,1,1,1,1.1078287363052368,1.6158274412155151,0.09501395374536514
0,1,0.10105033218860626,48,AMR,Manchester City,Chelsea,1,1,2026-01-04,28977,2025,761856,0,0,0,0,0.10105033218860626,0.10105033218860626,0
0,4,0.23842249810695648,90,AMR,Chelsea,Bournemouth,2,2,2025-12-30,28961,2025,760534,0.1058826893568039,0,2,0,0.23842249810695648,0.8741523027420044,0.556884229183197
0,0,0,16,Sub,Chelsea,Aston Villa,1,2,2025-12-27,28951,2025,760234,0,0,0,0,0,0,0
0,0,0,6,Sub,Chelsea,Everton,2,0,2025-12-13,28931,2025,757627,0,0,0,0,0,0.07762165367603302,0.07762165367603302
0,0,0,9,Sub,Bournemouth,Chelsea,0,0,2025-12-06,28918,2025,755936,0,0,0,0,0,0,0
0,2,0.0872369036078453,49,AMR,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755256,0.01677068881690502,0,1,0,0.0872369036078453,0.1705436408519745,0.10903366655111313
0,2,0.11320547759532928,51,AMR,Chelsea,Arsenal,1,1,2025-11-30,28900,2025,754402,0.21281671524047852,0,3,0,0.11320547759532928,0.3260221779346466,0
0,0,0,22,Sub,Chelsea,Wolverhampton Wanderers,3,0,2025-11-08,28880,2025,750545,0.7328388094902039,0,2,0,0,0.7612666487693787,0.028427863493561745
0,0,0,1,Sub,Tottenham,Chelsea,0,1,2025-11-01,28876,2025,748611,0,0,0,0,0,1.0379542112350464,1.0379542112350464
0,1,0.0656525194644928,29,Sub,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745911,0.0282236747443676,0,1,0,0.0656525194644928,0.0938761904835701,0
0,2,0.1135912612080574,11,Sub,Nottingham Forest,Chelsea,0,3,2025-10-18,28854,2025,743849,0,0,0,0,0.1135912612080574,0.1135912612080574,0
1,2,0.6501432657241821,13,Sub,Chelsea,Liverpool,2,1,2025-10-04,28842,2025,742601,0.36315488815307617,0,2,1,0.6501432657241821,1.0132981538772583,0.04020346701145172
0,3,0.2881825864315033,66,FWR,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740603,0,0,0,0,0.2881825864315033,0.33632346987724304,0.04814089834690094
0,0,0,5,AMR,Manchester United,Chelsea,2,1,2025-09-20,28824,2025,738856,0,0,0,0,0,0,0
0,1,0.2655908167362213,78,AMR,Chelsea,Fulham,2,0,2025-08-30,28798,2025,734824,0.1092817634344101,0,1,0,0.2655908167362213,0.3748725950717926,0.1092817634344101
0,1,0.47674334049224854,83,AMR,West Ham,Chelsea,1,5,2025-08-22,28788,2025,732909,0.7091479897499084,1,1,0,0.47674334049224854,1.7544519901275635,1.277708649635315
0,1,0.09882759302854538,33,Sub,Chelsea,Crystal Palace,0,0,2025-08-17,28784,2025,732234,0,0,0,0,0.09882759302854538,0.18522928655147552,0.08640170097351074
