goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.28025099635124207,90,DR,Fulham,Brighton,2,1,2026-01-24,29004,2025,765640,0,0,0,0,0.28025099635124207,1.1864337921142578,0.9061827659606934
0,2,0.03307998552918434,90,DL,Brighton,Bournemouth,1,1,2026-01-19,28989,2025,765138,0.08216697722673416,0,2,0,0.03307998552918434,0.1416383534669876,0.1304820477962494
0,1,0.2925170063972473,90,AMR,Manchester City,Brighton,1,1,2026-01-07,28985,2025,762281,0,0,0,0,0.2925170063972473,0.2925170063972473,0
0,0,0,90,DL,Brighton,Burnley,2,0,2026-01-03,28973,2025,761074,0.17707574367523193,0,3,0,0,0.5155541896820068,0.5155541896820068
0,2,0.09437301754951477,90,DL,West Ham,Brighton,2,2,2025-12-30,28967,2025,760604,0.15694014728069305,0,3,0,0.09437301754951477,0.45302876830101013,0.29511988162994385
0,0,0,90,DMR,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760060,0.08914365619421005,0,1,0,0,0.0567394495010376,0.0567394495010376
0,1,0.06467685848474503,90,DL,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759061,0.04809064045548439,0,1,0,0.06467685848474503,0.28254544734954834,0.16977794468402863
0,1,0.045571744441986084,90,DL,Liverpool,Brighton,2,0,2025-12-13,28933,2025,757662,0.06593327224254608,0,1,0,0.045571744441986084,1.0627667903900146,1.0171949863433838
0,0,0,84,AML,Brighton,West Ham,1,1,2025-12-07,28920,2025,756601,0,0,0,0,0,1.0067284107208252,1.0067284107208252
0,0,0,75,DL,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755174,0,0,0,0,0,0.04820546507835388,0.04820546507835388
0,2,0.12779474258422852,90,DL,Nottingham Forest,Brighton,0,2,2025-11-30,28904,2025,754474,0,0,0,0,0.12779474258422852,0.6355426907539368,0.5410236120223999
0,1,0.03992073982954025,90,DL,Brighton,Brentford,2,1,2025-11-22,28890,2025,751993,0,0,0,0,0.03992073982954025,0.2123064249753952,0.17238569259643555
0,0,0,90,DL,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750922,0,0,0,0,0,0.07189954072237015,0.07189954072237015
0,0,0,90,DL,Brighton,Leeds,3,0,2025-11-01,28868,2025,748278,0,0,0,0,0,0.14707046747207642,0.14707046747207642
0,2,0.041878245770931244,90,AMR,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746107,0,0,0,0,0.041878245770931244,0.12761303782463074,0.11767510324716568
0,0,0,90,DL,Brighton,Newcastle United,2,1,2025-10-18,28848,2025,744190,0,0,0,0,0,0.19795194268226624,0.19795194268226624
0,1,0.10398753732442856,90,DL,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743129,0,0,0,0,0.10398753732442856,0.251417338848114,0.14742980897426605
0,0,0,90,DL,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740614,0.11290231347084045,0,1,0,0,0.46309441328048706,0.46309441328048706
0,1,0.07813909649848938,88,DL,Brighton,Tottenham,2,2,2025-09-20,28821,2025,738619,0.21523454785346985,0,1,0,0.07813909649848938,0.33467817306518555,0.041304536163806915
0,0,0,67,Sub,Bournemouth,Brighton,2,1,2025-09-13,28810,2025,736934,0,0,0,0,0,0,0
0,0,0,21,Sub,Everton,Brighton,2,0,2025-08-24,28795,2025,733852,0,0,0,0,0,0.02659415453672409,0.02659415453672409
0,0,0,20,Sub,Brighton,Fulham,1,1,2025-08-16,28780,2025,732715,0,0,0,0,0,0,0
1,2,0.19001935422420502,89,MR,Liverpool,Brighton,2,1,2024-11-02,26696,2024,685042,0.022468512877821922,0,1,1,0.19001935422420502,0.3483261168003082,0.2089863121509552
0,0,0,76,MR,Brighton,Wolverhampton Wanderers,2,2,2024-10-26,26686,2024,683026,0,0,0,0,0,0.4066689908504486,0.4066689908504486
0,1,0.3732757270336151,90,DL,Newcastle United,Brighton,0,1,2024-10-19,26676,2024,681369,0,0,0,0,0.3732757270336151,0.7098008990287781,0.3365251421928406
0,0,0,48,DL,Brighton,Tottenham,3,2,2024-10-06,26671,2024,680422,0.01566069945693016,0,1,0,0,0.4771517813205719,0.46149107813835144
0,0,0,79,DR,Chelsea,Brighton,4,2,2024-09-28,26657,2024,677909,0.012161851860582829,0,1,0,0,0.13211382925510406,0.13211382925510406
0,1,0.03909818083047867,19,Sub,Brighton,Ipswich,0,0,2024-09-14,26633,2024,673654,0.11426883190870285,0,2,0,0.03909818083047867,0.11426883190870285,0
