goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Manchester City,Liverpool,3,0,2025-11-09,28883,2025,751166,0,0,0,0,0,0.08758003264665604,0.08758003264665604
0,0,0,90,GK,Liverpool,Aston Villa,2,0,2025-11-01,28872,2025,748736,0,0,0,0,0,0.118683822453022,0.118683822453022
0,0,0,90,GK,Brentford,Liverpool,3,2,2025-10-25,28861,2025,746286,0,0,0,0,0,0.48075342178344727,0.48075342178344727
0,0,0,90,GK,Liverpool,Manchester United,1,2,2025-10-19,28852,2025,745057,0,0,0,0,0,0.5878995060920715,0.5878995060920715
0,0,0,90,GK,Chelsea,Liverpool,2,1,2025-10-04,28842,2025,742602,0,0,0,0,0,0.6094638705253601,0.6094638705253601
0,0,0,90,GK,Real Betis,Valencia,1,1,2025-05-23,27354,2024,729422,0,0,0,0,0,0.01752220280468464,0.01752220280468464
0,0,0,90,GK,Valencia,Athletic Club,0,1,2025-05-18,27345,2024,728811,0,0,0,0,0,0,0
0,0,0,90,GK,Alaves,Valencia,1,0,2025-05-14,27333,2024,727268,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Getafe,3,0,2025-05-10,27330,2024,725486,0,0,0,0,0,0,0
0,0,0,90,GK,Las Palmas,Valencia,2,3,2025-05-03,27313,2024,724336,0,0,0,0,0,0.02272065542638302,0.02272065542638302
0,0,0,90,GK,Valencia,Espanyol,1,1,2025-04-22,27302,2024,721742,0,0,0,0,0,0.034438490867614746,0.034438490867614746
0,0,0,90,GK,Rayo Vallecano,Valencia,1,1,2025-04-19,27293,2024,720093,0,0,0,0,0,0.03109751082956791,0.03109751082956791
0,0,0,90,GK,Valencia,Sevilla,1,0,2025-04-11,27291,2024,718253,0,0,0,0,0,0,0
0,0,0,90,GK,Real Madrid,Valencia,1,2,2025-04-05,27273,2024,716905,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Mallorca,1,0,2025-03-30,27267,2024,715656,0,0,0,0,0,0,0
0,0,0,90,GK,Girona,Valencia,1,1,2025-03-15,27253,2024,713394,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Real Valladolid,2,1,2025-03-08,27248,2024,711598,0,0,0,0,0,0.2127157300710678,0.2127157300710678
0,0,0,90,GK,Osasuna,Valencia,3,3,2025-03-02,27234,2024,710739,0,0,0,0,0,0.12546560168266296,0.12546560168266296
0,0,0,90,GK,Valencia,Atletico Madrid,0,3,2025-02-22,27225,2024,708007,0,0,0,0,0,0,0
0,0,0,90,GK,Villarreal,Valencia,1,1,2025-02-15,27216,2024,706561,0,0,0,0,0,0.044418737292289734,0.044418737292289734
0,0,0,90,GK,Valencia,Leganes,2,0,2025-02-09,27208,2024,705118,0,0,0,0,0,0.06637797504663467,0.06637797504663467
0,0,0,90,GK,Valencia,Celta Vigo,2,1,2025-02-02,27199,2024,704068,0,0,0,0,0,0.04717196896672249,0.04717196896672249
0,0,0,90,GK,Barcelona,Valencia,7,1,2025-01-26,27184,2024,702433,0,0,0,0,0,0.07155713438987732,0.07155713438987732
