goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,3,0.28398293256759644,75,FW,Brentford,Nottingham Forest,0,2,2026-01-25,29000,2025,766081,0,0,0,1,0.28398293256759644,0.3119299113750458,0.027946971356868744
0,0,0,79,FW,Nottingham Forest,Arsenal,0,0,2026-01-17,28994,2025,764407,0,0,0,0,0,0.06276681274175644,0.06276681274175644
0,1,0.04394711181521416,90,FW,West Ham,Nottingham Forest,1,2,2026-01-06,28987,2025,762106,0,0,0,0,0.04394711181521416,0.1717861145734787,0.12783901393413544
0,1,0.01518043503165245,86,FW,Aston Villa,Nottingham Forest,3,1,2026-01-03,28972,2025,760943,0,0,0,0,0.01518043503165245,0.398087739944458,0.38290730118751526
0,3,0.18711939454078674,63,FW,Nottingham Forest,Everton,0,2,2025-12-30,28965,2025,760567,0,0,0,0,0.18711939454078674,0.20596669614315033,0.018847305327653885
0,2,0.11861574649810791,90,FW,Nottingham Forest,Manchester City,1,2,2025-12-27,28955,2025,759963,0.3647443950176239,1,1,0,0.11861574649810791,0.4833601415157318,0
0,4,0.27718472480773926,79,FW,Fulham,Nottingham Forest,1,0,2025-12-22,28942,2025,759852,0,0,0,0,0.27718472480773926,0.2933012843132019,0.016116561368107796
0,2,0.14723661541938782,87,FW,Nottingham Forest,Tottenham,3,0,2025-12-14,28935,2025,758121,0.5688505172729492,0,1,0,0.14723661541938782,0.8632684350013733,0.14718128740787506
0,2,0.05575089529156685,90,FW,Everton,Nottingham Forest,3,0,2025-12-06,28921,2025,755961,0.08227058500051498,0,1,0,0.05575089529156685,0.13802148401737213,0
1,4,0.6140756607055664,90,FW,Wolverhampton Wanderers,Nottingham Forest,0,1,2025-12-03,28917,2025,755166,0,0,0,1,0.6140756607055664,0.6053171157836914,0.04806521534919739
0,5,0.23667821288108826,77,FW,Nottingham Forest,Brighton,0,2,2025-11-30,28904,2025,754464,0.02971617318689823,0,1,0,0.23667821288108826,0.2523144781589508,0.08463036268949509
0,2,0.042430754750967026,90,FW,Liverpool,Nottingham Forest,0,3,2025-11-22,28894,2025,752168,0,0,0,0,0.042430754750967026,0,0
0,5,0.4071047604084015,63,FW,Nottingham Forest,Leeds,3,1,2025-11-09,28884,2025,750852,0,0,0,0,0.4071047604084015,0.2729228436946869,0.08310680836439133
0,3,0.21845462918281555,81,FW,Nottingham Forest,Manchester United,2,2,2025-11-01,28874,2025,748410,0,0,0,0,0.21845462918281555,0.2459927648305893,0.027538128197193146
0,0,0,48,FW,Bournemouth,Nottingham Forest,2,0,2025-10-26,28858,2025,746453,0.021245932206511497,0,1,0,0,0.021245932206511497,0
0,1,0.6059059500694275,43,Sub,Nottingham Forest,Chelsea,0,3,2025-10-18,28854,2025,743830,0,0,0,0,0.6059059500694275,0.6393595933914185,0.03345363214612007
0,0,0,24,Sub,Newcastle United,Nottingham Forest,2,0,2025-10-05,28846,2025,743105,0,0,0,0,0,0,0
0,2,0.12188959121704102,28,Sub,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740882,0,0,0,0,0.12188959121704102,0.14637842774391174,0.024488838389515877
0,1,0.03826466575264931,14,Sub,Burnley,Nottingham Forest,1,1,2025-09-20,28822,2025,738670,0.07473224401473999,0,1,0,0.03826466575264931,0.03826466575264931,0
0,0,0,16,Sub,Nottingham Forest,West Ham,0,3,2025-08-31,28804,2025,735665,0,0,0,0,0,0,0
0,1,0.10780687630176544,1,Sub,Crystal Palace,Nottingham Forest,1,1,2025-08-24,28794,2025,733819,0,0,0,0,0.10780687630176544,0.19534532725811005,0.0875384509563446
0,0,0,7,Sub,Nottingham Forest,Brentford,3,1,2025-08-17,28785,2025,732259,0,0,0,0,0,0,0
