goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.06369604170322418,90,DC,Newcastle United,Leeds,4,3,2026-01-07,28986,2025,762490,0,0,0,0,0.06369604170322418,0.4421880841255188,0.4421880841255188
0,0,0,90,DC,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761411,0.11269532144069672,0,1,0,0,0.11269532144069672,0
0,1,0.02791367843747139,90,DC,Liverpool,Leeds,0,0,2026-01-01,28963,2025,760725,0,0,0,0,0.02791367843747139,0,0
0,2,0.10023479908704758,90,DC,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760331,0,0,0,0,0.10023479908704758,1.5272257328033447,1.5272257328033447
0,0,0,90,DC,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759392,0.546509861946106,1,1,0,0,0.6046233773231506,0.05811354145407677
0,0,0,76,DC,Brentford,Leeds,1,1,2025-12-14,28929,2025,758463,0,0,0,0,0,0.1266680806875229,0.1266680806875229
0,0,0,68,DC,Leeds,Liverpool,3,3,2025-12-06,28923,2025,756217,0,0,0,0,0,0.12077176570892334,0.12077176570892334
1,1,0.0743255764245987,90,DC,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755235,0,0,0,1,0.0743255764245987,0,0
0,1,0.12515965104103088,41,Sub,Manchester City,Leeds,3,2,2025-11-29,28903,2025,753683,0,0,0,0,0.12515965104103088,0,0
0,0,0,86,DC,Nottingham Forest,Leeds,3,1,2025-11-09,28884,2025,750859,0,0,0,0,0,0.021056337282061577,0.021056337282061577
0,0,0,90,DC,Brighton,Leeds,3,0,2025-11-01,28868,2025,748292,0,0,0,0,0,0,0
0,0,0,90,DC,Leeds,West Ham,2,1,2025-10-24,28864,2025,745552,0.12537430226802826,0,1,0,0,0.7753614187240601,0.6499871015548706
0,0,0,38,DC,Udinese,Fiorentina,2,3,2025-05-25,27741,2024,730314,0.09268097579479218,0,1,0,0,0.09268097579479218,0
0,0,0,46,DC,Udinese,Monza,1,2,2025-05-11,27720,2024,726418,0,0,0,0,0,0.009859896264970303,0.009859896264970303
0,0,0,90,DC,Cagliari,Udinese,1,2,2025-05-03,27703,2024,723878,0,0,0,0,0,0.1925675868988037,0.1925675868988037
0,0,0,90,DC,Torino,Udinese,2,0,2025-04-23,27691,2024,721918,0.013140160590410233,0,1,0,0,0.13300162553787231,0.13300162553787231
0,0,0,90,DC,Udinese,AC Milan,0,4,2025-04-11,27681,2024,718190,0,0,0,0,0,0.2685789167881012,0.2685789167881012
0,0,0,90,DC,Genoa,Udinese,1,0,2025-04-04,27667,2024,716376,0,0,0,0,0,0,0
0,0,0,90,DC,Inter,Udinese,2,1,2025-03-30,27655,2024,715609,0.07931118458509445,0,1,0,0,0.3979819416999817,0.31867074966430664
0,0,0,90,DC,Udinese,Verona,0,1,2025-03-15,27650,2024,712771,0,0,0,0,0,0.07575280219316483,0.07575280219316483
0,0,0,90,DC,Lazio,Udinese,1,1,2025-03-10,27638,2024,712443,0,0,0,0,0,0.10615064203739166,0.10615064203739166
0,0,0,90,DC,Udinese,Parma Calcio 1913,1,0,2025-03-01,27631,2024,710013,0,0,0,0,0,0.21604247391223907,0.21604247391223907
0,1,0.021491488441824913,90,DC,Lecce,Udinese,0,1,2025-02-21,27615,2024,707438,0,0,0,0,0.021491488441824913,0,0
0,1,0.4361138641834259,90,DC,Udinese,Empoli,3,0,2025-02-16,27604,2024,706770,0.13611678779125214,0,1,0,0.4361138641834259,0.6636867523193359,0.5275700092315674
0,2,0.5136008858680725,90,DC,Napoli,Udinese,1,1,2025-02-09,27598,2024,705672,0,0,0,0,0.5136008858680725,0.5891684293746948,0.5891684293746948
0,1,0.03500097244977951,90,DC,Udinese,Venezia,3,2,2025-02-01,27583,2024,702919,0,0,0,0,0.03500097244977951,0.4100005626678467,0.4100005626678467
0,1,0.09655947983264923,90,DC,Udinese,Roma,1,2,2025-01-26,27579,2024,701987,0,0,0,0,0.09655947983264923,0,0
0,0,0,90,DC,Como,Udinese,4,1,2025-01-20,27564,2024,700987,0,0,0,0,0,0.6510483622550964,0.6510483622550964
0,1,0.4471918046474457,90,DC,Udinese,Atalanta,0,0,2025-01-11,27561,2024,698042,0,0,0,0,0.4471918046474457,0.1279459148645401,0.1279459148645401
0,0,0,90,DC,Verona,Udinese,0,0,2025-01-04,27545,2024,697444,0.03239608556032181,0,1,0,0,0.19961564242839813,0.19961564242839813
0,1,0.038036491721868515,90,DC,Udinese,Torino,2,2,2024-12-29,27541,2024,696553,0,0,0,0,0.038036491721868515,0.043269358575344086,0.043269358575344086
0,0,0,90,DC,Udinese,Napoli,1,3,2024-12-14,27521,2024,693848,0,0,0,0,0,0.07113555073738098,0.07113555073738098
1,2,0.22826458513736725,90,DC,Monza,Udinese,1,2,2024-12-09,27508,2024,693250,0,0,0,1,0.22826458513736725,0.3006923794746399,0.15519845485687256
0,1,0.07796650379896164,90,DC,Empoli,Udinese,1,1,2024-11-25,27483,2024,689505,0.07286664098501205,0,1,0,0.07796650379896164,0.2267230600118637,0.14875656366348267
0,0,0,90,DC,Atalanta,Udinese,2,1,2024-11-10,27481,2024,687111,0,0,0,0,0,0,0
0,1,0.10100503265857697,90,DC,Udinese,Juventus,0,2,2024-11-02,27466,2024,685205,0.0519295372068882,0,1,0,0.10100503265857697,0.0519295372068882,0
0,1,0.021485906094312668,90,DC,Venezia,Udinese,3,2,2024-10-30,27461,2024,684333,0,0,0,0,0.021485906094312668,0.057815682142972946,0.057815682142972946
0,0,0,90,DC,Udinese,Cagliari,2,0,2024-10-25,27451,2024,682499,0,0,0,0,0,0.16360649466514587,0.16360649466514587
0,2,0.025637028738856316,90,DC,AC Milan,Udinese,1,0,2024-10-19,27440,2024,681549,0.12209469825029373,0,3,0,0.025637028738856316,0.10544101148843765,0.025637028738856316
0,2,0.02822965197265148,90,DC,Udinese,Lecce,1,0,2024-10-05,27431,2024,679235,0.06308779120445251,0,1,0,0.02822965197265148,0.025527697056531906,0.025527697056531906
0,0,0,90,DC,Udinese,Inter,2,3,2024-09-28,27413,2024,677556,0.010413584299385548,0,1,0,0,0.4104849696159363,0.400071382522583
0,0,0,90,DC,Roma,Udinese,3,0,2024-09-22,27410,2024,676665,0,0,0,0,0,0.015997761860489845,0.015997761860489845
0,0,0,90,DC,Parma Calcio 1913,Udinese,2,3,2024-09-16,27400,2024,674914,0,0,0,0,0,0.9628404378890991,0.9628404378890991
0,2,0.06960682570934296,90,DC,Udinese,Como,1,0,2024-09-01,27391,2024,672953,0,0,0,0,0.06960682570934296,0.6925930976867676,0.6925930976867676
0,0,0,90,DC,Udinese,Lazio,2,1,2024-08-24,27373,2024,674275,0,0,0,0,0,0.021822025999426842,0.021822025999426842
0,0,0,90,DC,Bologna,Udinese,1,1,2024-08-18,27367,2024,667056,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,Udinese,0,1,2024-05-26,22678,2023,664855,0,0,0,0,0,0.014587011188268661,0.014587011188268661
0,1,0.5100085139274597,90,DC,Udinese,Empoli,1,1,2024-05-19,22670,2023,663427,0,0,0,0,0.5100085139274597,0,0
0,1,0.017440157011151314,90,DC,Lecce,Udinese,0,2,2024-05-13,22661,2023,661762,0,0,0,0,0.017440157011151314,0.2654631733894348,0.2654631733894348
0,1,0.06893330067396164,90,DC,Udinese,Napoli,1,1,2024-05-06,22654,2023,660010,0,0,0,0,0.06893330067396164,0.03383975476026535,0.03383975476026535
