goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,67,DC,Crystal Palace,Chelsea,1,3,2026-01-25,29002,2025,766088,0,0,0,0,0,0,0
0,0,0,90,DC,Crystal Palace,Aston Villa,0,0,2026-01-07,28983,2025,762356,0,0,0,0,0,0.1631501168012619,0.1631501168012619
0,0,0,53,Sub,Newcastle United,Crystal Palace,2,0,2026-01-04,28968,2025,761559,0,0,0,0,0,0,0
0,0,0,29,Sub,Crystal Palace,Fulham,1,1,2026-01-01,28962,2025,760690,0,0,0,0,0,0,0
0,0,0,11,Sub,Fulham,Crystal Palace,1,2,2025-12-07,28922,2025,756902,0,0,0,0,0,0.2945574223995209,0.2945574223995209
0,0,0,1,Sub,Burnley,Crystal Palace,0,1,2025-12-03,28911,2025,755139,0,0,0,0,0,0,0
0,0,0,6,Sub,Wolverhampton Wanderers,Crystal Palace,0,2,2025-11-22,28897,2025,752080,0,0,0,0,0,0,0
0,1,0.0723661407828331,90,DC,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750908,0,0,0,0,0.0723661407828331,0.2280120998620987,0.2280120998620987
0,0,0,1,Sub,Crystal Palace,Brentford,2,0,2025-11-01,28870,2025,748351,0,0,0,0,0,0,0
0,0,0,90,DC,Toulouse,Brest,2,0,2025-08-24,29554,2025,734044,0,0,0,0,0,0,0
0,2,0.10035194456577301,90,MC,Nice,Toulouse,0,1,2025-08-16,29541,2025,732086,0,0,0,0,0.10035194456577301,0.1547568142414093,0.05440486967563629
0,0,0,90,DC,Saint-Etienne,Toulouse,2,3,2025-05-17,28352,2024,728078,0.30309176445007324,0,1,0,0,1.4682966470718384,1.1652048826217651
0,1,0.08118709176778793,90,DC,Toulouse,Lens,1,1,2025-05-10,28342,2024,726273,0,0,0,0,0.08118709176778793,0.07278075814247131,0.07278075814247131
0,1,0.015511973761022091,90,DC,Toulouse,Rennes,2,1,2025-05-03,28327,2024,724355,0,0,0,0,0.015511973761022091,0.10059638321399689,0.10059638321399689
0,0,0,90,DC,Nantes,Toulouse,0,0,2025-04-27,28320,2024,723195,0,0,0,0,0,0,0
0,0,0,13,Sub,Marseille,Toulouse,3,2,2025-04-06,28291,2024,718002,0,0,0,0,0,0.04008902236819267,0.04008902236819267
0,0,0,1,Sub,Toulouse,Brest,2,4,2025-03-30,28286,2024,715386,0,0,0,0,0,0,0
0,0,0,76,MC,Toulouse,Monaco,1,1,2025-03-07,28267,2024,710922,0,0,0,0,0,0,0
0,0,0,12,Sub,Angers,Toulouse,0,4,2025-03-02,28263,2024,710505,0,0,0,0,0,0.12747544050216675,0.12747544050216675
0,0,0,20,Sub,Le Havre,Toulouse,1,4,2025-02-23,28247,2024,708532,0,0,0,0,0,0.5031989812850952,0.5031989812850952
0,0,0,90,DC,Toulouse,Paris Saint Germain,0,1,2025-02-15,28237,2024,706580,0,0,0,0,0,0,0
0,0,0,90,MC,Auxerre,Toulouse,2,2,2025-02-09,28228,2024,705234,0,0,0,0,0,0.785714328289032,0.785714328289032
0,0,0,85,MC,Toulouse,Nice,1,1,2025-02-02,28225,2024,703951,0.05242331698536873,0,1,0,0,0.05242331698536873,0.05242331698536873
0,0,0,88,DC,Toulouse,Montpellier,1,2,2025-01-26,28212,2024,702112,0,0,0,0,0,0.2230764627456665,0.2230764627456665
0,0,0,90,DC,Lyon,Toulouse,0,0,2025-01-18,28204,2024,700368,0,0,0,0,0,0.12533637881278992,0.12533637881278992
0,1,0.037522297352552414,90,MC,Toulouse,Strasbourg,1,2,2025-01-12,28192,2024,698723,0.08556126803159714,0,2,0,0.037522297352552414,0.15101177990436554,0.09370893239974976
0,2,0.10752179473638535,85,MC,Lens,Toulouse,0,1,2025-01-05,28185,2024,697605,0,0,0,0,0.10752179473638535,0.07182762026786804,0.07182762026786804
0,0,0,1,Sub,Paris Saint Germain,Toulouse,3,0,2024-11-22,28147,2024,688013,0,0,0,0,0,0,0
0,0,0,1,Sub,Brest,Toulouse,2,0,2024-09-22,28087,2024,676487,0,0,0,0,0,0,0
