goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Wolfsburg,Freiburg,3,4,2025-12-20,30358,2025,758902,0,0,0,0,0,0.10242651402950287,0.10242651402950287
0,0,0,90,DC,Borussia M.Gladbach,Wolfsburg,1,3,2025-12-13,30343,2025,757601,0,0,0,0,0,0.5934403538703918,0.5934403538703918
0,0,0,90,DC,Wolfsburg,Union Berlin,3,1,2025-12-06,30333,2025,755847,0,0,0,0,0,0.13512247800827026,0.13512247800827026
0,0,0,90,DC,Eintracht Frankfurt,Wolfsburg,1,1,2025-11-30,30326,2025,754441,0,0,0,0,0,0.5053234696388245,0.5053234696388245
0,1,0.07729019969701767,48,DC,Wolfsburg,Bayer Leverkusen,1,3,2025-11-22,30322,2025,751804,0,0,0,0,0.07729019969701767,0,0
0,0,0,90,DC,Werder Bremen,Wolfsburg,2,1,2025-11-07,30313,2025,749718,0,0,0,0,0,0.03328504413366318,0.03328504413366318
0,1,0.030273381620645523,90,DC,Wolfsburg,Hoffenheim,2,3,2025-11-02,30304,2025,749330,0,0,0,0,0.030273381620645523,0.3968375027179718,0.3968375027179718
0,0,0,90,DC,Hamburger SV,Wolfsburg,0,1,2025-10-25,30292,2025,745788,0,0,0,0,0,0.013053412549197674,0.013053412549197674
0,0,0,3,Sub,Wolfsburg,FC Cologne,3,3,2025-09-13,30246,2025,736855,0,0,0,0,0,0.07586653530597687,0.07586653530597687
0,0,0,82,Sub,Burnley,Sunderland,2,0,2025-08-23,28791,2025,733288,0,0,0,0,0,0,0
0,0,0,53,DC,Sunderland,West Ham,3,0,2025-08-16,28781,2025,731786,0,0,0,0,0,0.30460771918296814,0.30460771918296814
