goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Everton,Leeds,1,1,2026-01-26,29003,2025,766661,0,0,0,0,0,0.7686384916305542,0.7686384916305542
0,0,0,90,DC,Leeds,Fulham,1,0,2026-01-17,28991,2025,764215,0,0,0,0,0,0.4395431876182556,0.4395431876182556
0,0,0,90,DC,Newcastle United,Leeds,4,3,2026-01-07,28986,2025,762491,0,0,0,0,0,0.4421880841255188,0.4421880841255188
0,0,0,30,DC,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760332,0,0,0,0,0,0,0
0,4,0.26817959547042847,90,DC,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759393,0,0,0,0,0.26817959547042847,0.14018294215202332,0
0,0,0,90,DC,Brentford,Leeds,1,1,2025-12-14,28929,2025,758464,0,0,0,0,0,0.16706939041614532,0.16706939041614532
0,0,0,90,DC,Leeds,Liverpool,3,3,2025-12-06,28923,2025,756218,0,0,0,0,0,0.17123201489448547,0.17123201489448547
0,0,0,90,DC,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755236,0,0,0,0,0,0.44862058758735657,0.44862058758735657
0,0,0,90,DC,Manchester City,Leeds,3,2,2025-11-29,28903,2025,753675,0,0,0,0,0,0.07404980808496475,0.07404980808496475
0,0,0,90,DC,Leeds,Aston Villa,1,2,2025-11-23,28893,2025,752580,0.13975417613983154,0,2,0,0,0.2830124497413635,0.2830124497413635
0,0,0,90,DC,Nottingham Forest,Leeds,3,1,2025-11-09,28884,2025,750860,0,0,0,0,0,0.021056337282061577,0.021056337282061577
0,0,0,90,DC,Brighton,Leeds,3,0,2025-11-01,28868,2025,748293,0,0,0,0,0,0,0
1,1,0.49435392022132874,90,DC,Leeds,West Ham,2,1,2025-10-24,28864,2025,745553,0.10983096808195114,0,1,1,0.49435392022132874,0.8077266812324524,0.6978957653045654
0,1,0.04194533824920654,90,DC,Burnley,Leeds,2,0,2025-10-18,28849,2025,744146,0.018941394984722137,0,1,0,0.04194533824920654,0.4657401144504547,0.4657401144504547
0,2,0.24017663300037384,90,DC,Leeds,Tottenham,1,2,2025-10-04,28844,2025,742125,0,0,0,0,0.24017663300037384,0.03436124697327614,0.03436124697327614
1,4,0.2673572599887848,90,DC,Leeds,Bournemouth,2,2,2025-09-27,28832,2025,740660,0,0,0,1,0.2673572599887848,0,0
0,0,0,90,DC,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738602,0,0,0,0,0,0,0
0,0,0,90,DC,Fulham,Leeds,1,0,2025-09-13,28813,2025,737009,0,0,0,0,0,0,0
0,0,0,90,DC,Leeds,Newcastle United,0,0,2025-08-30,28803,2025,735224,0,0,0,0,0,0.16522054374217987,0.16522054374217987
0,0,0,90,DC,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733404,0,0,0,0,0,0,0
0,0,0,90,DC,Leeds,Everton,1,0,2025-08-18,28787,2025,732646,0,0,0,0,0,0.1224658265709877,0.1224658265709877
0,0,0,90,DC,Brest,Rennes,1,2,2023-06-03,20025,2022,602095,0,0,0,0,0,0.03460686653852463,0.03460686653852463
0,0,0,90,DC,Ajaccio,Rennes,0,5,2023-05-21,19998,2022,598622,0,0,0,0,0,1.1195043325424194,1.1195043325424194
0,0,0,71,DC,Toulouse,Rennes,3,1,2023-02-12,19877,2022,575258,0,0,0,0,0,0.049229398369789124,0.049229398369789124
0,0,0,90,DC,Rennes,Lille,1,3,2023-02-04,19866,2022,573618,0,0,0,0,0,0.08090429753065109,0.08090429753065109
0,0,0,90,DC,Rennes,Strasbourg,3,0,2023-02-01,19855,2022,572809,0,0,0,0,0,0.23058299720287323,0.23058299720287323
0,0,0,90,DC,Lorient,Rennes,2,1,2023-01-27,19841,2022,571414,0.021876400336623192,0,1,0,0,0.3001349866390228,0.2782590091228485
0,0,0,90,DC,Rennes,Paris Saint Germain,1,0,2023-01-15,19835,2022,569693,0,0,0,0,0,0.6412919759750366,0.6412919759750366
0,1,0.11160799860954285,90,DC,Rennes,Nantes,3,0,2022-10-09,19746,2022,555020,0,0,0,0,0.11160799860954285,0.042317699640989304,0.042317699640989304
0,0,0,90,DC,Strasbourg,Rennes,1,3,2022-10-01,19735,2022,552469,0,0,0,0,0,0.0874733030796051,0.0874733030796051
0,1,0.10949400067329407,90,DC,Marseille,Rennes,1,1,2022-09-18,19725,2022,551244,0,0,0,0,0.10949400067329407,0.04582260176539421,0.04582260176539421
0,0,0,90,DC,Rennes,Auxerre,5,0,2022-09-11,19716,2022,549869,0,0,0,0,0,0.12255299836397171,0.12255299836397171
0,2,0.0753272995352745,90,DC,Troyes,Rennes,1,1,2022-09-04,19707,2022,548076,0,0,0,0,0.0753272995352745,0.29927998781204224,0.29927998781204224
1,2,0.11286800354719162,90,DC,Rennes,Brest,3,1,2022-08-31,19696,2022,546554,0,0,0,1,0.11286800354719162,0.05838650092482567,0.05838650092482567
0,0,0,90,DC,Lens,Rennes,2,1,2022-08-27,19684,2022,544909,0,0,0,0,0,0.4390279948711395,0.4390279948711395
0,0,0,90,DC,Monaco,Rennes,1,1,2022-08-13,19659,2022,540750,0,0,0,0,0,0.2682879865169525,0.2682879865169525
0,1,0.06607910245656967,90,DC,Rennes,Lorient,0,1,2022-08-07,19656,2022,540035,0,0,0,0,0.06607910245656967,0.2078610062599182,0.2078610062599182
0,0,0,1,Sub,Tottenham,Burnley,1,0,2022-05-15,16739,2021,536011,0,0,0,0,0,0,0
0,0,0,6,Sub,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535021,0,0,0,0,0,0,0
0,0,0,79,Sub,Crystal Palace,Tottenham,3,0,2021-09-11,16406,2021,480046,0,0,0,0,0,0,0
0,0,0,1,Sub,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473362,0,0,0,0,0,0,0
0,0,0,90,DC,Everton,Tottenham,2,2,2021-04-16,14748,2020,462575,0,0,0,0,0,0.022408200427889824,0.022408200427889824
0,0,0,90,DC,Tottenham,Manchester United,1,3,2021-04-11,14742,2020,462054,0,0,0,0,0,0.41477900743484497,0.41477900743484497
0,0,0,90,DC,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460251,0,0,0,0,0,0.36636099219322205,0.36636099219322205
0,1,0.018329400569200516,90,DC,Aston Villa,Tottenham,0,2,2021-03-21,14606,2020,458958,0,0,0,0,0.018329400569200516,0,0
0,0,0,90,DC,Brighton,Tottenham,1,0,2021-01-31,14636,2020,446547,0,0,0,0,0,0.10718200355768204,0.10718200355768204
0,0,0,90,DC,Tottenham,Liverpool,1,3,2021-01-28,14633,2020,445231,0,0,0,0,0,0.029252799227833748,0.029252799227833748
0,0,0,90,DC,Sheffield United,Tottenham,1,3,2021-01-17,14622,2020,442758,0,0,0,0,0,0.45095399022102356,0.45095399022102356
0,0,0,1,Sub,Tottenham,Arsenal,2,0,2020-12-06,14542,2020,432186,0,0,0,0,0,0,0
0,0,0,90,DC,Chelsea,Tottenham,0,0,2020-11-29,14529,2020,430525,0,0,0,0,0,0.02872290089726448,0.02872290089726448
0,0,0,7,Sub,Tottenham,Manchester City,2,0,2020-11-21,14523,2020,428157,0,0,0,0,0,0,0
0,0,0,1,Sub,Burnley,Tottenham,0,1,2020-10-26,14488,2020,424069,0,0,0,0,0,0,0
