goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DL,Liverpool,Chelsea,1,1,2026-05-09,29132,2025,788574,0,0,0,0,0,0.03702098876237869,0.03702098876237869
0,0,0,90,DL,Brighton,Chelsea,3,0,2026-04-21,29110,2025,784405,0,0,0,0,0,0.16618874669075012,0.16618874669075012
0,0,0,90,DC,Chelsea,Manchester United,0,1,2026-04-18,29100,2025,783557,0,0,0,0,0,0.3244248926639557,0.3244248926639557
0,0,0,90,DC,Chelsea,Manchester City,0,3,2026-04-12,29095,2025,782460,0,0,0,0,0,0.5607001185417175,0.5607001185417175
0,0,0,90,DC,Everton,Chelsea,3,0,2026-03-21,29081,2025,778658,0.07743435353040695,0,2,0,0,0.0778152123093605,0.0778152123093605
0,0,0,4,Sub,Chelsea,Newcastle United,0,1,2026-03-14,29071,2025,776980,0,0,0,0,0,0.363776296377182,0.363776296377182
0,1,0.07121910154819489,90,DL,Aston Villa,Chelsea,1,4,2026-03-04,29059,2025,774715,0,0,0,0,0.07121910154819489,1.4639548063278198,1.3927357196807861
0,0,0,79,DL,Arsenal,Chelsea,2,1,2026-03-01,29049,2025,774159,0.10143724083900452,0,1,0,0,0.18991439044475555,0.08847715705633163
0,1,0.07085926085710526,8,Sub,Chelsea,Burnley,1,1,2026-02-21,29040,2025,771636,0,0,0,0,0.07085926085710526,0.14253640174865723,0.07167714089155197
0,0,0,41,Sub,Chelsea,Leeds,2,2,2026-02-10,29030,2025,769711,0.2997611463069916,0,1,0,0,0,0
0,0,0,1,Sub,Wolverhampton Wanderers,Chelsea,1,3,2026-02-07,29027,2025,768739,0,0,0,0,0,0.41050297021865845,0.41050297021865845
0,0,0,51,DL,Chelsea,West Ham,3,2,2026-01-31,29009,2025,767324,0.06709256768226624,0,1,0,0,0.06709256768226624,0
0,0,0,7,Sub,Crystal Palace,Chelsea,1,3,2026-01-25,29002,2025,766114,0,0,0,0,0,0,0
0,0,0,2,Sub,Chelsea,Brentford,2,0,2026-01-17,28990,2025,764287,0,0,0,0,0,0,0
0,2,0.19623085856437683,63,Sub,Fulham,Chelsea,2,1,2026-01-07,28984,2025,762409,0,0,0,0,0.19623085856437683,0.5248499512672424,0.5248499512672424
0,0,0,26,Sub,Manchester City,Chelsea,1,1,2026-01-04,28977,2025,761861,0.12434785068035126,0,2,0,0,0.19389869272708893,0.1492362916469574
0,0,0,20,Sub,Chelsea,Liverpool,2,1,2025-10-04,28842,2025,742598,0,0,0,0,0,0.9753668308258057,0.9753668308258057
0,0,0,81,DC,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740597,0,0,0,0,0,0.04814089834690094,0.04814089834690094
0,0,0,47,DL,Brentford,Chelsea,2,2,2025-09-13,28815,2025,737292,0,0,0,0,0,0.08069711178541183,0.08069711178541183
0,0,0,15,Sub,West Ham,Chelsea,1,5,2025-08-22,28788,2025,732915,0,0,0,0,0,0.052929092198610306,0.052929092198610306
