goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,2,Sub,Chelsea,Brentford,2,0,2026-01-17,28990,2025,764289,0,0,0,0,0,0,0
0,0,0,7,Sub,Fulham,Chelsea,2,1,2026-01-07,28984,2025,762411,0.06628944724798203,0,1,0,0,0.06628944724798203,0.06628944724798203
0,0,0,64,DR,Manchester City,Chelsea,1,1,2026-01-04,28977,2025,761850,0,0,0,0,0,0,0
0,0,0,54,DR,Chelsea,Bournemouth,2,2,2025-12-30,28961,2025,760528,0,0,0,0,0,0.1636323630809784,0.1636323630809784
0,0,0,79,DC,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745899,0,0,0,0,0,0.22968417406082153,0.22968417406082153
1,2,0.5724816918373108,82,DC,Nottingham Forest,Chelsea,0,3,2025-10-18,28854,2025,743836,0,0,0,1,0.5724816918373108,0.5020677447319031,0.5020677447319031
0,0,0,70,DC,Chelsea,Liverpool,2,1,2025-10-04,28842,2025,742589,0,0,0,0,0,0.03168066218495369,0.03168066218495369
0,0,0,34,Sub,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740609,0,0,0,0,0,0,0
0,1,0.08144471794366837,90,DC,Chelsea,Crystal Palace,0,0,2025-08-17,28784,2025,732223,0,0,0,0,0.08144471794366837,0.44635459780693054,0.44635459780693054
0,0,0,1,Sub,Chelsea,Leicester,1,0,2025-03-09,26874,2024,711979,0,0,0,0,0,0,0
0,0,0,5,Sub,Chelsea,Southampton,4,0,2025-02-25,26869,2024,709009,0,0,0,0,0,0,0
0,1,0.036728695034980774,76,DC,Chelsea,Bournemouth,2,2,2025-01-14,26809,2024,699113,0,0,0,0,0.036728695034980774,0.3551866412162781,0.3551866412162781
0,1,0.13148696720600128,90,DC,Crystal Palace,Chelsea,1,1,2025-01-04,26795,2024,697177,0,0,0,0,0.13148696720600128,0.3087906539440155,0.3087906539440155
0,0,0,1,Sub,Chelsea,Tottenham,2,0,2024-05-02,22149,2023,658386,0,0,0,0,0,0,0
