goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.1252090185880661,2,Sub,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761422,0,0,0,0,0.1252090185880661,0.07385092973709106,0
0,0,0,1,Sub,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759404,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Liverpool,3,3,2025-12-06,28923,2025,756229,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755246,0,0,0,0,0,0,0
0,1,0.01777118444442749,4,Sub,Leeds,Aston Villa,1,2,2025-11-23,28893,2025,752590,0,0,0,0,0.01777118444442749,0.03671398013830185,0.03671398013830185
0,0,0,12,Sub,Nottingham Forest,Leeds,3,1,2025-11-09,28884,2025,750869,0,0,0,0,0,0.021056337282061577,0.021056337282061577
0,2,0.14811818301677704,16,Sub,Burnley,Leeds,2,0,2025-10-18,28849,2025,744156,0,0,0,0,0.14811818301677704,0.16506358981132507,0.016945406794548035
0,1,0.058323636651039124,7,Sub,Leeds,Tottenham,1,2,2025-10-04,28844,2025,742135,0,0,0,0,0.058323636651039124,0.058323636651039124,0
0,0,0,61,FW,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733410,0,0,0,0,0,0.024242989718914032,0.024242989718914032
0,3,0.5239394903182983,78,FW,Leeds,Everton,1,0,2025-08-18,28787,2025,732652,0,0,0,0,0.5239394903182983,0.5561109185218811,0.03217145800590515
