goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DMR,Sunderland,Crystal Palace,2,1,2026-01-17,28995,2025,764205,0,0,0,0,0,0.4467370808124542,0.4467370808124542
0,1,0.38289982080459595,90,DMR,Crystal Palace,Aston Villa,0,0,2026-01-07,28983,2025,762357,0.05797696113586426,0,1,0,0.38289982080459595,0.768361508846283,0.32748472690582275
0,0,0,33,Sub,Newcastle United,Crystal Palace,2,0,2026-01-04,28968,2025,761558,0,0,0,0,0,0,0
0,1,0.14745424687862396,86,AMC,Crystal Palace,Fulham,1,1,2026-01-01,28962,2025,760685,0.06362196058034897,0,1,0,0.14745424687862396,0.21107621490955353,0.14745424687862396
0,3,0.22090604901313782,89,AMC,Crystal Palace,Tottenham,0,1,2025-12-28,28952,2025,760384,0.0972713977098465,0,3,0,0.22090604901313782,0.3181774318218231,0
1,2,1.1365617513656616,9,Sub,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759420,0,0,0,0,0.3753929138183594,0.3753929138183594,0
0,0,0,1,Sub,Fulham,Crystal Palace,1,2,2025-12-07,28922,2025,756901,0,0,0,0,0,0,0
0,0,0,24,Sub,Burnley,Crystal Palace,0,1,2025-12-03,28911,2025,755138,0,0,0,0,0,0,0
0,1,0.0680367723107338,1,Sub,Crystal Palace,Manchester United,1,2,2025-11-30,28901,2025,755310,0,0,0,0,0.0680367723107338,0,0
0,0,0,8,Sub,Wolverhampton Wanderers,Crystal Palace,0,2,2025-11-22,28897,2025,752079,0,0,0,0,0,0,0
0,0,0,11,Sub,Crystal Palace,Brentford,2,0,2025-11-01,28870,2025,748350,0,0,0,0,0,0,0
0,2,0.1709403246641159,1,Sub,Everton,Crystal Palace,2,1,2025-10-05,28843,2025,743013,0,0,0,0,0.1709403246641159,0.11750244349241257,0
0,0,0,1,Sub,Crystal Palace,Liverpool,2,1,2025-09-27,28830,2025,740640,0,0,0,0,0,0,0
0,2,0.07111238688230515,42,Sub,West Ham,Crystal Palace,1,2,2025-09-20,28819,2025,738582,0,0,0,0,0.07111238688230515,0.16561469435691833,0.09450230747461319
0,0,0,17,Sub,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736947,0.11360841244459152,0,2,0,0,0.11360841244459152,0
0,0,0,1,Sub,Aston Villa,Crystal Palace,0,3,2025-08-31,28807,2025,736209,0,0,0,0,0,0,0
0,1,0.04736410826444626,67,FWL,Crystal Palace,Nottingham Forest,1,1,2025-08-24,28794,2025,733804,0,0,0,0,0.04736410826444626,0.2520069479942322,0.20464284718036652
0,0,0,3,Sub,Chelsea,Crystal Palace,0,0,2025-08-17,28784,2025,732247,0,0,0,0,0,0,0
0,1,0.05965951085090637,27,Sub,Liverpool,Crystal Palace,1,1,2025-05-25,26975,2024,730185,0,0,0,0,0.05965951085090637,0.1838909387588501,0.12423142790794373
0,1,0.03928132355213165,41,Sub,Crystal Palace,Wolverhampton Wanderers,4,2,2025-05-20,26967,2024,729294,0.140699565410614,1,1,0,0.03928132355213165,0.35400450229644775,0.3147231936454773
0,0,0,1,Sub,Tottenham,Crystal Palace,0,2,2025-05-11,26960,2024,726661,0,0,0,0,0,0,0
0,1,0.3315882980823517,82,AMC,Arsenal,Crystal Palace,2,2,2025-04-23,26933,2024,722017,0,0,0,0,0.3315882980823517,0.3315882980823517,0
0,0,0,1,Sub,Crystal Palace,Bournemouth,0,0,2025-04-19,26924,2024,720376,0,0,0,0,0,0,0
0,0,0,1,Sub,Newcastle United,Crystal Palace,5,0,2025-04-16,26890,2024,719952,0,0,0,0,0,0,0
0,0,0,7,Sub,Manchester City,Crystal Palace,5,2,2025-04-12,26917,2024,718347,0.04523341357707977,0,1,0,0,0.04523341357707977,0
0,1,0.01916135475039482,7,Sub,Crystal Palace,Brighton,2,1,2025-04-05,26904,2024,716839,0,0,0,0,0.01916135475039482,0.01916135475039482,0
0,0,0,3,Sub,Southampton,Crystal Palace,1,1,2025-04-02,26900,2024,716234,0,0,0,0,0,0,0
0,0,0,1,Sub,Crystal Palace,Ipswich,1,0,2025-03-08,26875,2024,711362,0,0,0,0,0,0,0
0,0,0,1,Sub,Fulham,Crystal Palace,0,2,2025-02-22,26856,2024,707851,0,0,0,0,0,0,0
0,1,0.02292310632765293,50,AMC,Crystal Palace,Everton,1,2,2025-02-15,26844,2024,706401,0,0,0,0,0.02292310632765293,0.038762591779232025,0.015839485451579094
0,0,0,1,Sub,Manchester United,Crystal Palace,0,2,2025-02-02,26838,2024,704005,0,0,0,0,0,0,0
0,1,0.019895857200026512,21,Sub,West Ham,Crystal Palace,0,2,2025-01-18,26821,2024,700081,0,0,0,0,0.019895857200026512,0.11419371515512466,0.094297856092453
0,0,0,8,Sub,Leicester,Crystal Palace,0,2,2025-01-15,26806,2024,699314,0,0,0,0,0,0,0
0,0,0,1,Sub,Bournemouth,Crystal Palace,0,0,2024-12-26,26772,2024,696177,0,0,0,0,0,0,0
0,0,0,16,Sub,Crystal Palace,Arsenal,1,5,2024-12-21,26765,2024,695493,0.05891111493110657,0,1,0,0,0.0849413350224495,0.026030216366052628
0,0,0,1,Sub,Brighton,Crystal Palace,1,3,2024-12-15,26756,2024,694218,0,0,0,0,0,0,0
0,1,0.09306420385837555,15,Sub,Crystal Palace,Manchester City,2,2,2024-12-07,26747,2024,692203,0.01718139462172985,0,1,0,0.09306420385837555,0.09306420385837555,0
0,0,0,11,Sub,Ipswich,Crystal Palace,0,1,2024-12-03,26737,2024,691352,0,0,0,0,0,0,0
0,0,0,20,Sub,Crystal Palace,Newcastle United,1,1,2024-11-30,26725,2024,690095,0.08338551223278046,0,1,0,0,0.23062993586063385,0.23062993586063385
1,2,0.5174762010574341,79,AMC,Aston Villa,Crystal Palace,2,2,2024-11-23,26716,2024,688447,0,0,0,1,0.5174762010574341,0.45421501994132996,0
0,1,0.04416843503713608,77,MC,Crystal Palace,Fulham,0,2,2024-11-09,26706,2024,686609,0.28808486461639404,0,2,0,0.04416843503713608,0.1572875678539276,0.09672978520393372
