goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,14,Sub,Fulham,Everton,1,2,2026-02-07,29022,2025,768696,0,0,0,0,0,0.016763836145401,0.016763836145401
1,1,0.021478034555912018,16,Sub,Manchester United,Fulham,3,2,2026-02-01,29012,2025,767632,0,0,0,1,0.021478034555912018,0.021478034555912018,0
0,2,0.08117886632680893,59,AML,Fulham,Brighton,2,1,2026-01-24,29004,2025,765633,0.11579343676567078,0,1,0,0.08117886632680893,0.1969723105430603,0
0,0,0,24,Sub,Leeds,Fulham,1,0,2026-01-17,28991,2025,764242,0,0,0,0,0,0,0
0,2,0.07204179465770721,37,Sub,Fulham,Chelsea,2,1,2026-01-07,28984,2025,762396,0,0,0,0,0.07204179465770721,0.37482911348342896,0.30278730392456055
0,1,0.0784989669919014,14,Sub,Fulham,Liverpool,2,2,2026-01-04,28975,2025,761635,0.02200053632259369,1,1,0,0.0784989669919014,0.10049950331449509,0
0,1,0.014605926349759102,89,AML,Crystal Palace,Fulham,1,1,2026-01-01,28962,2025,760700,0.19685257971286774,0,2,0,0.014605926349759102,0.45168066024780273,0.24022215604782104
0,1,0.10933955013751984,69,AML,West Ham,Fulham,0,1,2025-12-27,28957,2025,760184,0,0,0,0,0.10933955013751984,0.15286505222320557,0.04352549836039543
0,3,0.1512635350227356,85,AML,Fulham,Nottingham Forest,1,0,2025-12-22,28942,2025,759835,0.06726016849279404,0,1,0,0.1512635350227356,0.26953041553497314,0.11826687306165695
0,1,0.04945114254951477,20,Sub,Fulham,Crystal Palace,1,2,2025-12-07,28922,2025,756887,0,0,0,0,0.04945114254951477,0.04945114254951477,0
0,0,0,5,Sub,Fulham,Manchester City,4,5,2025-12-02,28912,2025,754938,0.41357192397117615,0,1,0,0,0.41357192397117615,0.41357192397117615
0,1,0.09848829358816147,6,Sub,Tottenham,Fulham,1,2,2025-11-29,28906,2025,753996,0,0,0,0,0.09848829358816147,0.09848829358816147,0
0,3,0.38338926434516907,66,AML,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752029,0.030924687162041664,0,1,0,0.38338926434516907,0.4731318950653076,0.07937938719987869
0,2,0.027736209332942963,90,AML,Everton,Fulham,2,0,2025-11-08,28882,2025,750186,0,0,0,0,0.027736209332942963,0.05440518260002136,0.043159447610378265
0,0,0,77,AML,Fulham,Wolverhampton Wanderers,3,0,2025-11-01,28871,2025,748377,0,0,0,0,0,0.1710338592529297,0.1710338592529297
0,0,0,43,Sub,Newcastle United,Fulham,2,1,2025-10-25,28866,2025,745957,0.17364248633384705,0,2,0,0,0.7043497562408447,0.5307072997093201
0,0,0,21,Sub,Fulham,Arsenal,0,1,2025-10-18,28851,2025,744480,0.037051696330308914,0,1,0,0,0,0
0,1,0.04249051958322525,19,Sub,Bournemouth,Fulham,3,1,2025-10-03,28838,2025,742061,0,0,0,0,0.04249051958322525,0.04249051958322525,0
0,0,0,17,Sub,Aston Villa,Fulham,3,1,2025-09-28,28831,2025,741344,0,0,0,0,0,0,0
0,0,0,18,Sub,Fulham,Brentford,3,1,2025-09-20,28825,2025,739007,0,0,0,0,0,0,0
0,1,0.020808398723602295,14,Sub,Fulham,Leeds,1,0,2025-09-13,28813,2025,737005,0.03330588713288307,0,1,0,0.020808398723602295,0.6529123187065125,0.6196064352989197
