goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Wolverhampton Wanderers,Newcastle United,0,0,2026-01-18,28997,2025,764673,0,0,0,0,0,0.06348366290330887,0.06348366290330887
0,0,0,69,DC,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762186,0,0,0,0,0,0.04976575821638107,0.04976575821638107
0,1,0.011257002130150795,90,DC,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761044,0,0,0,0,0.011257002130150795,0.6346337795257568,0.623376727104187
1,3,0.15828360617160797,90,DC,Manchester United,Wolverhampton Wanderers,1,1,2025-12-30,28964,2025,760664,0,0,0,1,0.15828360617160797,0.16346804797649384,0.0486481711268425
0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,2,1,2025-12-27,28953,2025,760148,0.07662124931812286,0,1,0,0,0.09349954128265381,0.016878293827176094
0,0,0,90,DC,Wolverhampton Wanderers,Brentford,0,2,2025-12-20,28947,2025,759119,0,0,0,0,0,0,0
0,0,0,84,MC,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757950,0,0,0,0,0,0,0
0,2,0.058566901832818985,90,MC,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757184,0.016396617516875267,0,1,0,0.058566901832818985,0.18599310517311096,0.11102958768606186
0,1,0.5659106373786926,76,DC,Wolverhampton Wanderers,Crystal Palace,0,2,2025-11-22,28897,2025,752052,0,0,0,0,0.5659106373786926,0,0
0,0,0,90,DC,Chelsea,Wolverhampton Wanderers,3,0,2025-11-08,28880,2025,750548,0,0,0,0,0,0,0
0,1,0.039967987686395645,90,MC,Fulham,Wolverhampton Wanderers,3,0,2025-11-01,28871,2025,748390,0,0,0,0,0.039967987686395645,0.039967987686395645,0
0,1,0.05249253287911415,90,DC,Wolverhampton Wanderers,Burnley,2,3,2025-10-26,28867,2025,746652,0.5309239029884338,1,1,0,0.05249253287911415,0.7659465670585632,0.18253016471862793
0,2,0.052270594984292984,90,DC,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744267,0.015242712572216988,0,1,0,0.052270594984292984,0.38798946142196655,0.3781767785549164
0,1,0.009331746026873589,90,DC,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743111,0,0,0,0,0.009331746026873589,0,0
0,1,0.0227481909096241,90,DC,Tottenham,Wolverhampton Wanderers,1,1,2025-09-27,28835,2025,741048,0.0792684480547905,0,1,0,0.0227481909096241,0.10151895880699158,0.02225051261484623
1,1,0.42917048931121826,90,MC,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738590,0.008202716708183289,0,1,1,0.42917048931121826,0.5759537816047668,0.1385805457830429
0,0,0,90,MC,Newcastle United,Wolverhampton Wanderers,1,0,2025-09-13,28809,2025,736895,0.07214269042015076,0,1,0,0,0.13582566380500793,0.06368297338485718
0,0,0,90,DC,Villarreal,Girona,5,0,2025-08-24,29173,2025,734251,0,0,0,0,0,0.09477070719003677,0.09477070719003677
0,1,0.12153472751379013,90,DC,Girona,Rayo Vallecano,1,3,2025-08-15,29158,2025,731603,0,0,0,0,0.12153472751379013,0.018670575693249702,0.018670575693249702
0,0,0,90,DC,Girona,Atletico Madrid,0,4,2025-05-25,27358,2024,729909,0,0,0,0,0,0,0
0,0,0,90,DC,Real Sociedad,Girona,3,2,2025-05-18,27347,2024,728765,0,0,0,0,0,0.2956903278827667,0.2956903278827667
0,1,0.05176602676510811,90,DC,Girona,Villarreal,0,1,2025-05-10,27327,2024,725929,0,0,0,0,0.05176602676510811,0.05176602676510811,0
0,1,0.027971846982836723,90,DC,Girona,Mallorca,1,0,2025-05-05,27312,2024,725334,0.08579949289560318,0,2,0,0.027971846982836723,0.3018546998500824,0.2820320129394531
