goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Bournemouth,Aston Villa,1,1,2026-02-07,29018,2025,768615,0,0,0,0,0,0,0
0,0,0,50,DMC,Aston Villa,Brentford,0,1,2026-02-01,29008,2025,767697,0,0,0,0,0,0.22133225202560425,0.22133225202560425
0,0,0,12,Sub,Newcastle United,Aston Villa,0,2,2026-01-25,29006,2025,766145,0,0,0,0,0,0,0
0,0,0,76,DMC,Aston Villa,Everton,0,1,2026-01-18,28988,2025,764831,0,0,0,0,0,0.16203589737415314,0.16203589737415314
0,0,0,7,Sub,Crystal Palace,Aston Villa,0,0,2026-01-07,28983,2025,762379,0,0,0,0,0,0.0941997766494751,0.0941997766494751
0,0,0,5,Sub,Aston Villa,Nottingham Forest,3,1,2026-01-03,28972,2025,760930,0,0,0,0,0,0,0
0,0,0,90,DR,Arsenal,Aston Villa,4,1,2025-12-30,28958,2025,760633,0,0,0,0,0,0.5111455321311951,0.5111455321311951
0,0,0,5,Sub,Chelsea,Aston Villa,1,2,2025-12-27,28951,2025,760248,0,0,0,0,0,0,0
0,0,0,1,Sub,Aston Villa,Manchester United,2,1,2025-12-21,28939,2025,759652,0,0,0,0,0,0,0
0,0,0,14,Sub,Aston Villa,Arsenal,2,1,2025-12-06,28919,2025,755639,0,0,0,0,0,0,0
0,0,0,1,Sub,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755200,0,0,0,0,0,0,0
0,0,0,1,Sub,Aston Villa,Wolverhampton Wanderers,1,0,2025-11-30,28898,2025,754286,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Aston Villa,1,2,2025-11-23,28893,2025,752605,0,0,0,0,0,0,0
0,0,0,2,Sub,Aston Villa,Bournemouth,4,0,2025-11-09,28878,2025,750729,0,0,0,0,0,0,0
0,0,0,90,DMC,Aston Villa,Burnley,2,1,2025-10-05,28840,2025,743020,0.01621449738740921,0,1,0,0,0.6144837737083435,0.5982692837715149
0,0,0,90,DMC,Aston Villa,Fulham,3,1,2025-09-28,28831,2025,741318,0.024937927722930908,0,1,0,0,0.024937927722930908,0
0,0,0,5,Sub,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739274,0,0,0,0,0,0,0
0,0,0,85,DMC,Everton,Aston Villa,0,0,2025-09-13,28812,2025,736981,0,0,0,0,0,0,0
0,0,0,2,Sub,Aston Villa,Crystal Palace,0,3,2025-08-31,28807,2025,736192,0,0,0,0,0,0,0
0,0,0,8,Sub,Brentford,Aston Villa,1,0,2025-08-23,28790,2025,733258,0,0,0,0,0,0,0
0,0,0,90,DC,Crystal Palace,Aston Villa,4,1,2025-02-25,26868,2024,709103,0,0,0,0,0,0,0
0,0,0,24,Sub,Aston Villa,Chelsea,2,1,2025-02-22,26854,2024,708084,0,0,0,0,0,0,0
0,0,0,1,Sub,Aston Villa,Liverpool,2,2,2025-02-19,26884,2024,707339,0,0,0,0,0,0,0
0,0,0,87,DMC,Wolverhampton Wanderers,Aston Villa,2,0,2025-02-01,26841,2024,703655,0,0,0,0,0,0.012536419555544853,0.012536419555544853
0,1,0.06506926566362381,54,Sub,Arsenal,Aston Villa,2,2,2025-01-18,26812,2024,700200,0.021921955049037933,0,1,0,0.06506926566362381,0.08699122071266174,0
0,0,0,51,DR,Aston Villa,Crystal Palace,2,2,2024-11-23,26716,2024,688423,0,0,0,0,0,0,0
0,0,0,90,DR,Aston Villa,Everton,3,2,2024-09-14,26638,2024,673922,0.15340229868888855,0,1,0,0,1.6649593114852905,1.5115569829940796
0,0,0,81,DR,Leicester,Aston Villa,1,2,2024-08-31,26626,2024,671828,0,0,0,0,0,0.049788426607847214,0.049788426607847214
