goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,13,Sub,Leeds,Nottingham Forest,3,1,2026-02-06,29023,2025,768330,0,0,0,0,0,1.065639853477478,1.065639853477478
0,0,0,90,DL,Werder Bremen,Borussia M.Gladbach,1,1,2026-01-31,30403,2025,766967,0.37674152851104736,0,1,0,0,0.37674152851104736,0
0,2,0.03837163746356964,90,DML,Hamburger SV,Borussia M.Gladbach,0,0,2026-01-17,30380,2025,764053,0,0,0,0,0.03837163746356964,0,0
0,0,0,1,Sub,Hoffenheim,Borussia M.Gladbach,5,1,2026-01-14,30372,2025,763594,0,0,0,0,0,0,0
0,0,0,90,DML,Borussia M.Gladbach,Augsburg,4,0,2026-01-11,30361,2025,763100,1.2656848430633545,1,2,0,0,1.037526249885559,1.037526249885559
0,0,0,90,DML,Borussia Dortmund,Borussia M.Gladbach,2,0,2025-12-19,30351,2025,758771,0.027241423726081848,0,1,0,0,0.025254113599658012,0.025254113599658012
0,0,0,74,DML,Borussia M.Gladbach,Wolfsburg,1,3,2025-12-13,30343,2025,757588,0,0,0,0,0,0.01167235616594553,0.01167235616594553
0,0,0,90,DML,Mainz 05,Borussia M.Gladbach,0,1,2025-12-05,30339,2025,755499,0.08222080022096634,0,1,0,0,0.1425950527191162,0.1425950527191162
0,0,0,90,DL,Borussia M.Gladbach,RasenBallsport Leipzig,0,0,2025-11-28,30325,2025,753229,0,0,0,0,0,0,0
0,0,0,90,DL,FC Heidenheim,Borussia M.Gladbach,0,3,2025-11-22,30318,2025,751854,0,0,0,0,0,1.6800786256790161,1.6800786256790161
0,0,0,80,DL,Borussia M.Gladbach,Bayern Munich,0,3,2025-10-25,30289,2025,745869,0,0,0,0,0,0,0
0,0,0,86,DL,Borussia M.Gladbach,Freiburg,0,0,2025-10-05,30270,2025,743546,0.22517456114292145,0,2,0,0,0.2429087609052658,0.12250778824090958
0,0,0,25,Sub,Borussia M.Gladbach,Eintracht Frankfurt,4,6,2025-09-27,30265,2025,740948,0.45528122782707214,1,3,0,0,0.16373224556446075,0.16373224556446075
0,0,0,28,Sub,Borussia M.Gladbach,Werder Bremen,0,4,2025-09-14,30250,2025,737850,0,0,0,0,0,0,0
0,0,0,1,Sub,VfB Stuttgart,Borussia M.Gladbach,1,0,2025-08-30,30237,2025,734908,0,0,0,0,0,0,0
0,0,0,12,Sub,Borussia M.Gladbach,Hamburger SV,0,0,2025-08-24,30232,2025,734117,0,0,0,0,0,0.12198963761329651,0.12198963761329651
0,0,0,6,Sub,Borussia M.Gladbach,Hoffenheim,4,4,2025-05-03,28027,2024,723998,0,0,0,0,0,0.4778245985507965,0.4778245985507965
0,0,0,5,Sub,Holstein Kiel,Borussia M.Gladbach,4,3,2025-04-26,28020,2024,722553,0,0,0,0,0,0,0
0,0,0,16,Sub,Borussia Dortmund,Borussia M.Gladbach,3,2,2025-04-20,28004,2024,721337,0,0,0,0,0,0,0
0,0,0,67,DL,Borussia M.Gladbach,Freiburg,1,2,2025-04-12,28000,2024,718506,0,0,0,0,0,0,0
0,0,0,28,Sub,St. Pauli,Borussia M.Gladbach,1,1,2025-04-06,27993,2024,717665,0,0,0,0,0,0.11443834751844406,0.11443834751844406
0,0,0,24,Sub,Borussia M.Gladbach,RasenBallsport Leipzig,1,0,2025-03-29,27980,2024,714850,0,0,0,0,0,0,0
0,0,0,18,Sub,Werder Bremen,Borussia M.Gladbach,2,4,2025-03-15,27970,2024,712914,0,0,0,0,0,0.6055383682250977,0.6055383682250977
0,0,0,13,Sub,Borussia M.Gladbach,Mainz 05,1,3,2025-03-07,27965,2024,710865,0.14849503338336945,0,2,0,0,0.14849503338336945,0
0,0,0,43,Sub,FC Heidenheim,Borussia M.Gladbach,0,3,2025-03-01,27952,2024,709733,0.18140065670013428,1,3,0,0,0.18140065670013428,0.10738661140203476
0,0,0,8,Sub,Borussia M.Gladbach,Augsburg,0,3,2025-02-22,27947,2024,707682,0.018436407670378685,0,1,0,0,0.018436407670378685,0.018436407670378685
0,0,0,17,Sub,Borussia M.Gladbach,Eintracht Frankfurt,1,1,2025-02-08,27929,2024,704949,0,0,0,0,0,0,0
0,0,0,13,Sub,VfB Stuttgart,Borussia M.Gladbach,1,2,2025-02-01,27917,2024,703261,0,0,0,0,0,0,0
0,0,0,9,Sub,Borussia M.Gladbach,Bochum,3,0,2025-01-25,27908,2024,701688,0,0,0,0,0,0.08831126987934113,0.08831126987934113
0,0,0,13,Sub,Bayer Leverkusen,Borussia M.Gladbach,3,1,2025-01-18,27895,2024,700261,0.27712979912757874,1,1,0,0,0.33995485305786133,0.33995485305786133
0,0,0,73,DL,Wolfsburg,Borussia M.Gladbach,5,1,2025-01-14,27891,2024,699039,0.007869227789342403,0,1,0,0,0.007869227789342403,0
0,0,0,28,Sub,Borussia M.Gladbach,Bayern Munich,0,1,2025-01-11,27884,2024,698364,0,0,0,0,0,0.015879390761256218,0.015879390761256218
0,0,0,1,Sub,Hoffenheim,Borussia M.Gladbach,1,2,2024-12-21,27872,2024,695163,0,0,0,0,0,0,0
0,0,0,8,Sub,Borussia M.Gladbach,Holstein Kiel,4,1,2024-12-14,27865,2024,693675,0.07828868925571442,0,1,0,0,0,0
0,0,0,90,DL,Augsburg,Borussia M.Gladbach,2,1,2024-10-04,27790,2024,679036,0.09457684308290482,0,2,0,0,0.25638607144355774,0.1751292496919632
0,1,0.09048663079738617,90,DL,Borussia M.Gladbach,Union Berlin,1,0,2024-09-28,27782,2024,677652,0.3769250214099884,0,1,0,0.09048663079738617,0.5339279770851135,0.44344136118888855
0,1,0.08011417835950851,90,DL,Eintracht Frankfurt,Borussia M.Gladbach,2,0,2024-09-21,27774,2024,676008,0.06211768463253975,0,1,0,0.08011417835950851,0.35244783759117126,0.2102159559726715
0,0,0,90,DL,Borussia M.Gladbach,VfB Stuttgart,1,3,2024-09-14,27765,2024,673485,0,0,0,0,0,0,0
0,0,0,88,DL,Bochum,Borussia M.Gladbach,0,2,2024-08-31,27752,2024,671709,0.11272400617599487,0,2,0,0,1.3778802156448364,1.2833211421966553
0,1,0.020235935226082802,90,DL,Borussia M.Gladbach,Bayer Leverkusen,2,3,2024-08-23,27742,2024,667571,0.0327155664563179,0,1,0,0.020235935226082802,0,0
0,0,0,80,DL,VfB Stuttgart,Borussia M.Gladbach,4,0,2024-05-18,23369,2023,662699,0.08261704444885254,0,1,0,0,0.4626494348049164,0.38003239035606384
0,0,0,29,Sub,Borussia M.Gladbach,Eintracht Frankfurt,1,1,2024-05-11,23357,2023,660455,0.048478931188583374,0,1,0,0,0.048478931188583374,0
0,0,0,24,Sub,Borussia M.Gladbach,Union Berlin,0,0,2024-04-28,23340,2023,657680,0.015653511509299278,0,1,0,0,0.0968640148639679,0.08121050149202347
0,1,0.020465334877371788,90,ML,Hoffenheim,Borussia M.Gladbach,4,3,2024-04-20,23332,2023,654726,0.04458335041999817,0,1,0,0.020465334877371788,0.34997329115867615,0.28492459654808044
0,0,0,90,DML,Borussia M.Gladbach,Borussia Dortmund,1,2,2024-04-13,23321,2023,653045,0,0,0,0,0,0.36537307500839233,0.36537307500839233
0,0,0,89,DML,Wolfsburg,Borussia M.Gladbach,1,3,2024-04-07,23312,2023,652466,0.27434325218200684,1,2,0,0,0.6350618004798889,0.3795998692512512
