goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,6,Sub,Sunderland,Burnley,3,0,2026-02-02,29011,2025,768162,0.12354844063520432,0,1,0,0,0.18153506517410278,0.05798662081360817
0,2,0.035004377365112305,79,DMC,Brentford,Sunderland,3,0,2026-01-07,28981,2025,762248,0,0,0,0,0.035004377365112305,0,0
0,0,0,90,DR,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761578,0.008340106345713139,0,1,0,0,0.12951944768428802,0.12117934226989746
0,0,0,90,DMC,Sunderland,Manchester City,0,0,2026-01-01,28966,2025,760768,0,0,0,0,0,0.06921759992837906,0.06921759992837906
0,0,0,90,DMC,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760320,0,0,0,0,0,0.25419342517852783,0.25419342517852783
0,0,0,90,DMC,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759078,0.08172755688428879,0,1,0,0,0.3186623156070709,0.23693476617336273
0,0,0,90,DC,Manchester City,Sunderland,3,0,2025-12-06,28924,2025,755984,0.019344884902238846,0,1,0,0,0.07846180349588394,0.059116918593645096
0,0,0,9,Sub,Liverpool,Sunderland,1,1,2025-12-03,28914,2025,755293,0,0,0,0,0,0,0
0,0,0,1,Sub,Sunderland,Bournemouth,3,2,2025-11-29,28905,2025,753699,0,0,0,0,0,0,0
0,0,0,90,DC,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752038,0,0,0,0,0,0.04581742733716965,0.04581742733716965
0,0,0,90,DC,Sunderland,Arsenal,2,2,2025-11-08,28885,2025,750383,0.09464927017688751,0,1,0,0,0.09464927017688751,0.09464927017688751
0,1,0.03191986307501793,90,DC,Sunderland,Everton,1,1,2025-11-03,28875,2025,749589,0,0,0,0,0.03191986307501793,0.21777941286563873,0.1858595460653305
0,1,0.02701103314757347,90,DC,Chelsea,Sunderland,1,2,2025-10-25,28862,2025,745915,0,0,0,0,0.02701103314757347,0.26439169049263,0.23738065361976624
0,0,0,10,Sub,Sunderland,Wolverhampton Wanderers,2,0,2025-10-18,28855,2025,744262,0,0,0,0,0,0,0
0,0,0,5,Sub,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742456,0,0,0,0,0,0,0
0,1,0.48065900802612305,29,Sub,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740900,0,0,0,0,0.48065900802612305,0.5630049109458923,0.08234591782093048
0,0,0,6,Sub,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739258,0,0,0,0,0,0,0
0,0,0,2,Sub,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736960,0,0,0,0,0,0,0
0,0,0,90,DR,RasenBallsport Leipzig,VfB Stuttgart,2,3,2025-05-17,28039,2024,727786,0,0,0,0,0,0.8178223371505737,0.8178223371505737
0,0,0,2,Sub,RasenBallsport Leipzig,Bayern Munich,3,3,2025-05-03,28021,2024,724027,0,0,0,0,0,0,0
0,0,0,90,DC,Eintracht Frankfurt,RasenBallsport Leipzig,4,0,2025-04-26,28015,2024,722786,0,0,0,0,0,0,0
0,0,0,43,Sub,RasenBallsport Leipzig,Holstein Kiel,1,1,2025-04-19,28003,2024,720219,0.04353172704577446,0,1,0,0,0,0
0,0,0,11,Sub,Wolfsburg,RasenBallsport Leipzig,2,3,2025-04-11,27999,2024,718185,0.04731643572449684,0,1,0,0,0,0
0,0,0,90,DC,RasenBallsport Leipzig,Borussia Dortmund,2,0,2025-03-15,27968,2024,713259,0,0,0,0,0,0.7608385682106018,0.7608385682106018
0,2,0.10357139259576797,90,DR,Freiburg,RasenBallsport Leipzig,0,0,2025-03-08,27963,2024,711583,0.1468759924173355,0,1,0,0.10357139259576797,0.303096204996109,0.19952483475208282
0,0,0,63,DC,RasenBallsport Leipzig,Mainz 05,1,2,2025-03-01,27950,2024,709737,0.02270163968205452,0,1,0,0,0.1582460105419159,0.13554435968399048
0,1,0.013545465655624866,90,DC,Augsburg,RasenBallsport Leipzig,0,0,2025-02-14,27936,2024,705795,0,0,0,0,0.013545465655624866,0.6973694562911987,0.6973694562911987
0,0,0,47,DC,RasenBallsport Leipzig,St. Pauli,2,0,2025-02-09,27923,2024,705276,0,0,0,0,0,0.3975954055786133,0.3975954055786133
0,0,0,16,Sub,VfB Stuttgart,RasenBallsport Leipzig,2,1,2025-01-15,27887,2024,699503,0,0,0,0,0,0,0
0,0,0,1,Sub,RasenBallsport Leipzig,Werder Bremen,4,2,2025-01-12,27877,2024,698636,0,0,0,0,0,0.10251454263925552,0.10251454263925552
0,0,0,84,DC,Bayern Munich,RasenBallsport Leipzig,5,1,2024-12-20,27870,2024,694941,0,0,0,0,0,0,0
0,2,0.05676763132214546,90,DC,RasenBallsport Leipzig,Eintracht Frankfurt,2,1,2024-12-15,27859,2024,694651,0.14878295361995697,0,2,0,0.05676763132214546,0.1876154989004135,0.036141738295555115
0,0,0,64,DL,Holstein Kiel,RasenBallsport Leipzig,0,2,2024-12-07,27856,2024,692149,0,0,0,0,0,0.0922449380159378,0.0922449380159378
0,0,0,90,DR,RasenBallsport Leipzig,Wolfsburg,1,5,2024-11-30,27841,2024,689835,0,0,0,0,0,0.13113512098789215,0.13113512098789215
0,0,0,43,Sub,Hoffenheim,RasenBallsport Leipzig,4,3,2024-11-23,27837,2024,688229,0,0,0,0,0,0.10924509167671204,0.10924509167671204
0,0,0,90,DL,Borussia Dortmund,RasenBallsport Leipzig,2,1,2024-11-02,27816,2024,685190,0.051099758595228195,0,1,0,0,0.051099758595228195,0
1,1,0.36085379123687744,81,DR,RasenBallsport Leipzig,Freiburg,3,1,2024-10-26,27806,2024,682867,0,0,0,1,0.36085379123687744,1.019945740699768,0.6590918898582458
0,0,0,90,DMR,Mainz 05,RasenBallsport Leipzig,0,2,2024-10-19,27802,2024,681149,0,0,0,0,0,0,0
0,0,0,21,Sub,FC Heidenheim,RasenBallsport Leipzig,0,1,2024-10-06,27788,2024,680293,0,0,0,0,0,0,0
0,2,0.6972354650497437,90,DR,RasenBallsport Leipzig,Augsburg,4,0,2024-09-28,27783,2024,677617,0.07663033902645111,0,1,0,0.6972354650497437,0.12831199169158936,0.12831199169158936
0,0,0,90,DR,St. Pauli,RasenBallsport Leipzig,0,0,2024-09-22,27777,2024,676726,0,0,0,0,0,0.40800291299819946,0.40800291299819946
0,0,0,88,DC,RasenBallsport Leipzig,Union Berlin,0,0,2024-09-14,27763,2024,673548,0,0,0,0,0,0.11393984407186508,0.11393984407186508
