goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.5694634318351746,90,DC,Arsenal,Chelsea,2,1,2026-03-01,29049,2025,774157,0,0,0,0,0.5694634318351746,0.15883146226406097,0.15883146226406097
0,0,0,1,Sub,Chelsea,Burnley,1,1,2026-02-21,29040,2025,771635,0,0,0,0,0,0.07167714089155197,0.07167714089155197
0,0,0,90,DC,Strasbourg,Paris Saint Germain,1,2,2026-02-01,29716,2025,768030,0,0,0,0,0,0,0
0,0,0,90,DC,Lille,Strasbourg,1,4,2026-01-25,29703,2025,766536,0,0,0,0,0,0.660993218421936,0.660993218421936
0,0,0,46,DC,Strasbourg,Lorient,0,0,2025-12-14,29680,2025,758418,0,0,0,0,0,0,0
0,0,0,90,DC,Toulouse,Strasbourg,1,0,2025-12-06,29672,2025,756324,0,0,0,0,0,0.018155569210648537,0.018155569210648537
0,0,0,90,DC,Strasbourg,Brest,1,2,2025-11-30,29663,2025,754647,0,0,0,0,0,0.4927847981452942,0.4927847981452942
0,1,0.049718208611011505,90,DC,Lens,Strasbourg,1,0,2025-11-22,29648,2025,752128,0,0,0,0,0.049718208611011505,0.09339802712202072,0.09339802712202072
0,0,0,90,DC,Strasbourg,Lille,2,0,2025-11-09,29645,2025,751122,0,0,0,0,0,0.0225147046148777,0.0225147046148777
0,0,0,90,DC,Strasbourg,Auxerre,3,0,2025-10-29,29627,2025,747803,0,0,0,0,0,0.6061819195747375,0.6061819195747375
0,0,0,90,DC,Lyon,Strasbourg,2,1,2025-10-26,29616,2025,747167,0,0,0,0,0,0.7302272915840149,0.7302272915840149
0,0,0,90,DC,Strasbourg,Marseille,1,2,2025-09-26,29590,2025,740249,0,0,0,0,0,0.08770547062158585,0.08770547062158585
0,0,0,90,DC,Paris FC,Strasbourg,2,3,2025-09-21,29582,2025,739328,0,0,0,0,0,0.49000340700149536,0.49000340700149536
0,0,0,90,DC,Strasbourg,Le Havre,1,0,2025-09-14,29573,2025,737777,0.04029260575771332,0,1,0,0,0.4924207925796509,0.45212820172309875
0,0,0,90,DC,Monaco,Strasbourg,3,2,2025-08-31,29563,2025,735917,0,0,0,0,0,0.2719033658504486,0.2719033658504486
0,0,0,90,DC,Strasbourg,Nantes,1,0,2025-08-24,29552,2025,733979,0,0,0,0,0,0.45119708776474,0.45119708776474
0,0,0,90,DC,Metz,Strasbourg,0,1,2025-08-17,29545,2025,732441,0,0,0,0,0,0.33359575271606445,0.33359575271606445
