goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,3,0.04802052304148674,90,MC,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765354,0,0,0,1,0.04802052304148674,0.5885204076766968,0.5742261409759521
0,0,0,90,MC,Tottenham,West Ham,1,2,2026-01-17,28996,2025,764327,0.1636350452899933,1,2,0,0,0.3544347882270813,0.28717148303985596
0,1,0.015233336947858334,81,DMC,West Ham,Nottingham Forest,1,2,2026-01-06,28987,2025,762088,0,0,0,0,0.015233336947858334,0,0
0,0,0,90,AMC,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761065,0.07874836027622223,0,2,0,0,0.06989110261201859,0.06989110261201859
0,0,0,90,AMC,West Ham,Brighton,2,2,2025-12-30,28967,2025,760592,0.11760154366493225,0,1,0,0,0.11760154366493225,0
0,0,0,90,MC,West Ham,Fulham,0,1,2025-12-27,28957,2025,760167,0.022702045738697052,0,1,0,0,0.022702045738697052,0
0,1,0.034586794674396515,81,MC,Manchester City,West Ham,3,0,2025-12-20,28944,2025,759108,0,0,0,0,0.034586794674396515,0.16386361420154572,0.1292768269777298
1,2,0.32251086831092834,90,MC,West Ham,Aston Villa,2,3,2025-12-14,28937,2025,758176,0,0,0,1,0.32251086831092834,0.4332141876220703,0.13230746984481812
0,0,0,84,MC,Brighton,West Ham,1,1,2025-12-07,28920,2025,756613,0.009845554828643799,0,1,0,0,0.046467117965221405,0.036621563136577606
0,1,0.05327009782195091,90,AML,Manchester United,West Ham,1,1,2025-12-04,28915,2025,755381,0.12131205201148987,0,2,0,0.05327009782195091,0.17458215355873108,0
0,1,0.014192120172083378,90,AML,West Ham,Liverpool,0,2,2025-11-30,28907,2025,754314,0.23285605013370514,0,3,0,0.014192120172083378,0.24704816937446594,0.0500955693423748
0,0,0,77,MC,Bournemouth,West Ham,2,2,2025-11-22,28888,2025,751981,0,0,0,0,0,0.05179738998413086,0.05179738998413086
0,0,0,90,MC,West Ham,Burnley,3,2,2025-11-08,28887,2025,750199,0.1583532989025116,0,3,0,0,0.17645263671875,0.11568743735551834
0,1,0.14147116243839264,90,MC,West Ham,Newcastle United,3,1,2025-11-02,28877,2025,748992,0.09846188127994537,1,3,0,0.14147116243839264,0.17918263375759125,0
1,2,0.10794102400541306,12,Sub,Leeds,West Ham,2,1,2025-10-24,28864,2025,745578,0.01877536065876484,0,1,1,0.10794102400541306,0.12671639025211334,0.01877536065876484
0,1,0.017190052196383476,55,AML,West Ham,Brentford,0,2,2025-10-20,28857,2025,745345,0,0,0,0,0.017190052196383476,0.04625721275806427,0.029067160561680794
0,0,0,90,MC,Arsenal,West Ham,2,0,2025-10-04,28839,2025,742422,0,0,0,0,0,0.03380563482642174,0.03380563482642174
0,2,0.0701785534620285,90,MC,Everton,West Ham,1,1,2025-09-29,28837,2025,741896,0,0,0,0,0.0701785534620285,0.2197769433259964,0.1495983898639679
0,0,0,80,DMC,West Ham,Crystal Palace,1,2,2025-09-20,28819,2025,738560,0,0,0,0,0,0.047486916184425354,0.047486916184425354
0,0,0,64,AMC,West Ham,Tottenham,0,3,2025-09-13,28814,2025,737153,0.18850983679294586,0,2,0,0,0.20677770674228668,0.14904382824897766
0,0,0,83,AML,Nottingham Forest,West Ham,0,3,2025-08-31,28804,2025,735678,0.13126622140407562,0,2,0,0,0.13126622140407562,0
0,1,0.1155552938580513,90,MC,Southampton,Arsenal,1,2,2025-05-25,26977,2024,730101,0.32455381751060486,1,3,0,0.1155552938580513,0.19166475534439087,0
0,1,0.02029982954263687,90,AMC,Everton,Southampton,2,0,2025-05-18,26968,2024,728299,0,0,0,0,0.02029982954263687,0.7509797215461731,0.7509797215461731
0,1,0.10503529757261276,90,AMC,Southampton,Manchester City,0,0,2025-05-10,26959,2024,725778,0,0,0,0,0.10503529757261276,0.10503529757261276,0.10503529757261276
0,1,0.03502018377184868,69,AMC,Leicester,Southampton,2,0,2025-05-03,26951,2024,724130,0.04703003913164139,0,1,0,0.03502018377184868,0.36630842089653015,0.33128821849823
0,1,0.05491580441594124,88,AMC,Southampton,Fulham,1,2,2025-04-26,26940,2024,722625,0,0,0,0,0.05491580441594124,0.09705518186092377,0.04213937371969223
0,0,0,90,AMC,West Ham,Southampton,1,1,2025-04-19,26931,2024,720447,0.14526765048503876,0,3,0,0,0.1509227603673935,0.026997841894626617
0,1,0.014312779530882835,90,MC,Southampton,Aston Villa,0,3,2025-04-12,26921,2024,718633,0,0,0,0,0.014312779530882835,0,0
1,5,0.3782406747341156,90,AMC,Tottenham,Southampton,3,1,2025-04-06,26910,2024,717501,0.1027492880821228,0,1,1,0.3782406747341156,0.4597519636154175,0.11098899692296982
0,2,0.13364912569522858,90,AMC,Southampton,Crystal Palace,1,1,2025-04-02,26900,2024,716212,0.15816400945186615,1,1,0,0.13364912569522858,0.2918131351470947,0.15816400945186615
0,0,0,47,FW,Southampton,Wolverhampton Wanderers,1,2,2025-03-15,26891,2024,713048,0.07712586969137192,0,1,0,0,0.07712586969137192,0.07712586969137192
0,1,0.03122548572719097,90,AMC,Liverpool,Southampton,3,1,2025-03-08,26876,2024,711405,0,0,0,0,0.03122548572719097,0.376681923866272,0.376681923866272
0,1,0.012813430279493332,90,MR,Chelsea,Southampton,4,0,2025-02-25,26869,2024,709016,0,0,0,0,0.012813430279493332,0.5062543153762817,0.4934408962726593
0,2,0.044336121529340744,90,MC,Southampton,Brighton,0,4,2025-02-22,26861,2024,707859,0.015376565046608448,0,1,0,0.044336121529340744,0.06071198359131813,0.06071198359131813
0,0,0,90,AMC,Southampton,Bournemouth,1,3,2025-02-15,26849,2024,706252,0.02805487811565399,0,1,0,0,0.09598229825496674,0.06792742013931274
0,0,0,90,AMC,Ipswich,Southampton,1,2,2025-02-01,26837,2024,703377,0.12295422703027725,0,2,0,0,0.07535431534051895,0.07535431534051895
0,3,0.13654407858848572,90,AMC,Southampton,Newcastle United,1,3,2025-01-25,26829,2024,701472,0.04492805525660515,0,1,0,0.13654407858848572,0.30704155564308167,0.1255694329738617
0,1,0.12321560829877853,90,AMC,Nottingham Forest,Southampton,3,2,2025-01-19,26820,2024,700522,0.9140997529029846,1,3,0,0.12321560829877853,0.17288483679294586,0.049669232219457626
0,3,0.7004184126853943,74,AMC,Manchester United,Southampton,3,1,2025-01-16,26811,2024,699589,0.03127143532037735,0,1,0,0.7004184126853943,0.87867271900177,0.2124398797750473
0,1,0.12393573671579361,90,MC,Crystal Palace,Southampton,2,1,2024-12-29,26784,2024,696661,0,0,0,0,0.12393573671579361,0.12393573671579361,0
0,2,0.4447695016860962,83,AMC,Southampton,West Ham,0,1,2024-12-26,26780,2024,696277,0.14802655577659607,0,4,0,0.4447695016860962,1.166661262512207,0.966387152671814
0,1,0.05112668499350548,90,AMC,Fulham,Southampton,0,0,2024-12-22,26763,2024,695653,0.04328426718711853,0,1,0,0.05112668499350548,0.07891258597373962,0.07891258597373962
0,0,0,90,MC,Southampton,Tottenham,0,5,2024-12-15,26759,2024,694623,0.011917664669454098,0,1,0,0,0.07960528880357742,0.06768762320280075
0,1,0.10010764747858047,90,MC,Aston Villa,Southampton,1,0,2024-12-07,26742,2024,692182,0,0,0,0,0.10010764747858047,0.1431475281715393,0.04303988441824913
0,2,0.724107027053833,84,MC,Southampton,Chelsea,1,5,2024-12-04,26741,2024,691453,0,0,0,0,0.724107027053833,1.0508568286895752,0.6804705262184143
0,2,0.06895818561315536,90,MC,Brighton,Southampton,1,1,2024-11-29,26723,2024,689636,0,0,0,0,0.06895818561315536,0.18863040208816528,0.15769211947917938
1,2,0.473122239112854,90,MC,Southampton,Liverpool,2,3,2024-11-24,26721,2024,689133,0.07051766663789749,0,1,1,0.473122239112854,0.473122239112854,0
0,3,0.19103574752807617,90,ML,Wolverhampton Wanderers,Southampton,2,0,2024-11-09,26711,2024,686685,0.4635378122329712,0,2,0,0.19103574752807617,0.2025081366300583,0
0,0,0,90,ML,Southampton,Everton,1,0,2024-11-02,26699,2024,685121,0,0,0,0,0,0.16759756207466125,0.16759756207466125
0,0,0,90,ML,Manchester City,Southampton,1,0,2024-10-26,26683,2024,682952,0.06081664562225342,0,1,0,0,0.3150709867477417,0.3150709867477417
0,0,0,70,MC,Southampton,Leicester,2,3,2024-10-19,26678,2024,681388,0,0,0,0,0,0.5896167755126953,0.5896167755126953
0,1,0.4313855469226837,77,ML,Arsenal,Southampton,3,1,2024-10-05,26666,2024,679539,0.11512861400842667,1,1,0,0.4313855469226837,0.6919888854026794,0.14547474682331085
0,0,0,73,AMC,Bournemouth,Southampton,3,1,2024-09-30,26661,2024,678945,0.03739216923713684,0,1,0,0,0.1676461100578308,0.13025394082069397
0,1,0.13153265416622162,90,AMC,Southampton,Ipswich,1,1,2024-09-21,26643,2024,675632,0.885139524936676,0,3,0,0.13153265416622162,1.4956210851669312,0.4789488911628723
0,0,0,85,AMC,Southampton,Manchester United,0,3,2024-09-14,26632,2024,673364,0,0,0,0,0,0,0
0,2,0.36493006348609924,41,Sub,Brentford,Southampton,3,1,2024-08-31,26623,2024,671747,0,0,0,0,0.36493006348609924,0.4555194675922394,0.09058938920497894
0,0,0,13,Sub,Southampton,Nottingham Forest,0,1,2024-08-24,26616,2024,668049,0,0,0,0,0,0,0
