goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.07339484989643097,68,AMC,Brighton,Wolverhampton Wanderers,3,0,2026-05-09,29128,2025,788795,0.08775711804628372,0,1,0,0.07339484989643097,0.07339484989643097,0
0,2,0.059880901128053665,90,AMC,Wolverhampton Wanderers,Sunderland,1,1,2026-05-02,29127,2025,787195,0.06171122565865517,0,2,0,0.059880901128053665,0.6557775139808655,0.6325896978378296
0,2,0.10975630581378937,90,AMC,Wolverhampton Wanderers,Tottenham,0,1,2026-04-25,29117,2025,785571,0.3724685609340668,0,3,0,0.10975630581378937,0.40907996892929077,0
0,1,0.07848309725522995,53,Sub,Leeds,Wolverhampton Wanderers,3,0,2026-04-18,29103,2025,783300,0.03581976890563965,0,1,0,0.07848309725522995,0.114302858710289,0
0,0,0,28,Sub,West Ham,Wolverhampton Wanderers,4,0,2026-04-10,29091,2025,781272,0,0,0,0,0,0.006913136225193739,0.006913136225193739
0,1,0.019258780404925346,49,AMC,Brentford,Wolverhampton Wanderers,2,2,2026-03-16,29069,2025,777983,0.008908318355679512,0,1,0,0.019258780404925346,0.165192112326622,0.1459333300590515
0,0,0,72,MC,Wolverhampton Wanderers,Liverpool,2,1,2026-03-03,29067,2025,774608,0,0,0,0,0,0,0
0,2,0.12183625996112823,90,AMC,Wolverhampton Wanderers,Aston Villa,2,0,2026-02-27,29057,2025,772918,0.10344856977462769,0,1,0,0.12183625996112823,0.25948524475097656,0.07327080518007278
0,0,0,90,AMC,Crystal Palace,Wolverhampton Wanderers,1,0,2026-02-22,29041,2025,772206,0.1293879896402359,0,2,0,0,0.14534474909305573,0.015956755727529526
0,0,0,90,AMC,Wolverhampton Wanderers,Arsenal,2,2,2026-02-18,29087,2025,771229,0,0,0,0,0,0,0
0,3,0.14895157516002655,90,AMC,Nottingham Forest,Wolverhampton Wanderers,0,0,2026-02-11,29034,2025,769903,0,0,0,0,0.14895157516002655,0.14895157516002655,0
0,3,0.15082065761089325,90,AML,Wolverhampton Wanderers,Chelsea,1,3,2026-02-07,29027,2025,768721,0.016652850434184074,0,1,0,0.15082065761089325,0.19972510635852814,0.12319788336753845
0,4,0.14320878684520721,90,MC,Wolverhampton Wanderers,Bournemouth,0,2,2026-01-31,29017,2025,767171,0.49458375573158264,0,2,0,0.14320878684520721,0.0880139023065567,0
0,4,0.09809303283691406,90,MC,Manchester City,Wolverhampton Wanderers,2,0,2026-01-24,29005,2025,765677,0.20364274084568024,0,2,0,0.09809303283691406,0.07620114833116531,0
0,1,0.09474729001522064,90,MC,Wolverhampton Wanderers,Newcastle United,0,0,2026-01-18,28997,2025,764679,0,0,0,0,0.09474729001522064,0.1582309454679489,0.06348366290330887
1,3,0.3373715579509735,90,MC,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762192,0.04897218197584152,0,1,1,0.3373715579509735,0.30492299795150757,0.03417327627539635
1,2,0.0895615816116333,90,MC,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761050,0,0,0,1,0.0895615816116333,0.6591290831565857,0.5695675015449524
0,1,0.02410147525370121,90,MC,Manchester United,Wolverhampton Wanderers,1,1,2025-12-30,28964,2025,760670,0,0,0,0,0.02410147525370121,0.23646670579910278,0.21236523985862732
0,4,0.07848230004310608,90,AMC,Liverpool,Wolverhampton Wanderers,2,1,2025-12-27,28953,2025,760154,0,0,0,0,0.07848230004310608,0.06213713064789772,0
0,0,0,24,Sub,Wolverhampton Wanderers,Brentford,0,2,2025-12-20,28947,2025,759132,0.05268053710460663,0,2,0,0,0.08391603827476501,0.031235501170158386
0,0,0,1,Sub,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757957,0.05268159508705139,1,1,0,0,0.05268159508705139,0
0,0,0,18,Sub,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757192,0,0,0,0,0,0.03783735632896423,0.03783735632896423
0,0,0,4,Sub,Wolverhampton Wanderers,Nottingham Forest,0,1,2025-12-03,28917,2025,755154,0,0,0,0,0,0,0
0,1,0.018569640815258026,11,Sub,Aston Villa,Wolverhampton Wanderers,1,0,2025-11-30,28898,2025,754304,0,0,0,0,0.018569640815258026,0.018569640815258026,0
0,0,0,16,Sub,Chelsea,Wolverhampton Wanderers,3,0,2025-11-08,28880,2025,750558,0.07563845068216324,0,1,0,0,0.07563845068216324,0
0,0,0,1,Sub,Wolverhampton Wanderers,Brighton,0,2,2025-05-10,26961,2024,725816,0,0,0,0,0,0,0
