goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.39852845668792725,75,DL,Brighton,Crystal Palace,0,1,2026-02-08,29020,2025,769148,0,0,0,0,0.39852845668792725,0.5678876638412476,0.1693592071533203
0,0,0,71,DL,Brighton,Everton,1,1,2026-01-31,29010,2025,767104,0.46837347745895386,0,1,0,0,0.03152604028582573,0.03152604028582573
0,0,0,2,Sub,Fulham,Brighton,2,1,2026-01-24,29004,2025,765650,0,0,0,0,0,0,0
0,0,0,90,DL,Manchester City,Brighton,1,1,2026-01-07,28985,2025,762278,0.011319472454488277,0,1,0,0,0.13406027853488922,0.13406027853488922
0,1,0.070567786693573,18,Sub,Brighton,Burnley,2,0,2026-01-03,28973,2025,761081,0,0,0,0,0.070567786693573,0,0
0,1,0.04047789424657822,66,AML,West Ham,Brighton,2,2,2025-12-30,28967,2025,760609,0.16358213126659393,0,1,0,0.04047789424657822,0.22224722802639008,0.018187202513217926
0,0,0,48,DML,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760061,0,0,0,0,0,0,0
0,1,0.04560001194477081,67,AML,Brighton,Sunderland,0,0,2025-12-20,28940,2025,759066,0.015240908600389957,0,1,0,0.04560001194477081,0.1837083399295807,0.1228674128651619
0,0,0,73,DL,Brighton,West Ham,1,1,2025-12-07,28920,2025,756596,0.6532506346702576,0,3,0,0,0.6953878402709961,0.647565484046936
0,1,0.047958407551050186,90,AML,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755179,0.09484602510929108,0,2,0,0.047958407551050186,0.09484602510929108,0.046640556305646896
1,1,0.4040120840072632,86,AML,Nottingham Forest,Brighton,0,2,2025-11-30,28904,2025,754479,0.6967329978942871,0,4,1,0.4040120840072632,1.0567985773086548,0.3109813928604126
0,0,0,40,Sub,Brighton,Brentford,2,1,2025-11-22,28890,2025,752000,0.06215159222483635,0,1,0,0,0.13635332882404327,0.07420173287391663
0,0,0,3,Sub,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750929,0,0,0,0,0,0,0
0,1,0.027252256870269775,60,DL,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746104,0.13732095062732697,0,2,0,0.027252256870269775,0.18884120881557465,0.16158895194530487
0,1,0.04740219935774803,55,Sub,Brighton,Newcastle United,2,1,2025-10-18,28848,2025,744197,0,0,0,0,0.04740219935774803,0.08453693240880966,0.03713472932577133
0,1,0.022477824240922928,18,Sub,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743136,0.1297849416732788,0,1,0,0.022477824240922928,0.07251077890396118,0.07251077890396118
1,1,0.4856862723827362,3,Sub,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740621,0,0,0,1,0.4856862723827362,0,0
0,0,0,23,DL,Bournemouth,Brighton,2,1,2025-09-13,28810,2025,736923,0,0,0,0,0,0,0
0,0,0,90,DL,Brighton,Manchester City,2,1,2025-08-31,28805,2025,735687,0,0,0,0,0,0.07301545888185501,0.07301545888185501
0,0,0,69,DL,Everton,Brighton,2,0,2025-08-24,28795,2025,733843,0,0,0,0,0,0.8316545486450195,0.8316545486450195
0,0,0,90,DL,Brighton,Fulham,1,1,2025-08-16,28780,2025,732706,0.035241179168224335,0,2,0,0,0.10298558324575424,0.08075278252363205
