goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,4,0.18874724209308624,90,AMC,Aston Villa,Brentford,0,1,2026-02-01,29008,2025,767699,0.5314502120018005,0,2,0,0.18874724209308624,0.9549383521080017,0.25393933057785034
0,2,0.0883570984005928,90,AMC,Newcastle United,Aston Villa,0,2,2026-01-25,29006,2025,766140,0.0426097996532917,1,2,0,0.0883570984005928,0.2491508424282074,0.2112550288438797
0,6,0.42033401131629944,90,AMC,Aston Villa,Everton,0,1,2026-01-18,28988,2025,764833,0.033171702176332474,0,2,0,0.42033401131629944,0.561830461025238,0.1490125060081482
0,3,0.16746939718723297,90,AML,Crystal Palace,Aston Villa,0,0,2026-01-07,28983,2025,762374,0.4403553307056427,0,2,0,0.16746939718723297,0.6736900806427002,0.06586536765098572
0,2,0.21929536759853363,90,AMC,Aston Villa,Nottingham Forest,3,1,2026-01-03,28972,2025,760925,0.5146124958992004,1,2,0,0.21929536759853363,0.7339078783988953,0
0,2,0.07574845105409622,85,AMC,Arsenal,Aston Villa,4,1,2025-12-30,28958,2025,760640,0,0,0,0,0.07574845105409622,0.05721356347203255,0
0,2,0.0555231086909771,90,FW,Chelsea,Aston Villa,1,2,2025-12-27,28951,2025,760245,0.7729170322418213,0,3,0,0.0555231086909771,0.7866806983947754,0.27015745639801025
2,7,1.0583226680755615,90,AML,Aston Villa,Manchester United,2,1,2025-12-21,28939,2025,759646,0,0,0,2,1.0583226680755615,0.2074345052242279,0
2,5,0.5501942038536072,90,AML,West Ham,Aston Villa,2,3,2025-12-14,28937,2025,758194,0,0,0,2,0.5501942038536072,0.5855756402015686,0.03538145497441292
0,1,0.06446762382984161,90,AML,Aston Villa,Arsenal,2,1,2025-12-06,28919,2025,755635,0.16696259379386902,0,2,0,0.06446762382984161,0.9569829702377319,0.7255527377128601
0,0,0,90,AML,Brighton,Aston Villa,3,4,2025-12-03,28910,2025,755194,0.41801559925079346,1,3,0,0,0.6246308088302612,0.20661523938179016
0,3,0.09212514758110046,90,AMC,Aston Villa,Wolverhampton Wanderers,1,0,2025-11-30,28898,2025,754282,0,0,0,0,0.09212514758110046,0.1274958699941635,0.03537072613835335
