goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,31,Sub,Arsenal,Liverpool,0,0,2026-01-08,28980,2025,762581,0.02788679674267769,0,1,0,0,0.02788679674267769,0
0,0,0,10,Sub,Arsenal,Aston Villa,4,1,2025-12-30,28958,2025,760631,0,0,0,0,0,0.0966545045375824,0.0966545045375824
0,0,0,73,DL,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760046,0,0,0,0,0,0.3818894028663635,0.3818894028663635
0,1,0.06967075169086456,60,Sub,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757941,0.09440299868583679,0,2,0,0.06967075169086456,0.345897376537323,0.21489566564559937
0,0,0,3,Sub,Aston Villa,Arsenal,2,1,2025-12-06,28919,2025,755657,0,0,0,0,0,0.03522443771362305,0.03522443771362305
0,0,0,39,Sub,Chelsea,Arsenal,1,1,2025-11-30,28900,2025,754421,0,0,0,0,0,0.1759442687034607,0.1759442687034607
0,0,0,1,Sub,Arsenal,Tottenham,4,1,2025-11-23,28889,2025,752866,0,0,0,0,0,0,0
0,0,0,1,Sub,Burnley,Arsenal,0,2,2025-11-01,28869,2025,748336,0,0,0,0,0,0,0
0,0,0,1,Sub,Arsenal,Crystal Palace,1,0,2025-10-26,28859,2025,746601,0,0,0,0,0,0,0
0,0,0,10,Sub,Arsenal,West Ham,2,0,2025-10-04,28839,2025,742413,0,0,0,0,0,0,0
0,0,0,1,Sub,Newcastle United,Arsenal,1,2,2025-09-28,28836,2025,741593,0,0,0,0,0,0,0
0,0,0,15,Sub,Arsenal,Nottingham Forest,3,0,2025-09-13,28808,2025,736540,0,0,0,0,0,0,0
0,0,0,23,Sub,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733399,0,0,0,0,0,0.06878400593996048,0.06878400593996048
0,0,0,17,Sub,Manchester United,Arsenal,0,1,2025-08-17,28786,2025,732483,0,0,0,0,0,0,0
0,0,0,19,Sub,Southampton,Arsenal,1,2,2025-05-25,26977,2024,730122,0,0,0,0,0,0,0
0,1,0.060054875910282135,90,DL,Arsenal,Newcastle United,1,0,2025-05-18,26962,2024,728562,0.10401644557714462,0,1,0,0.060054875910282135,0.22938397526741028,0.22938397526741028
0,0,0,90,DL,Liverpool,Arsenal,2,2,2025-05-11,26952,2024,726774,0,0,0,0,0,0.9230507612228394,0.9230507612228394
0,0,0,90,DL,Arsenal,Bournemouth,1,2,2025-05-03,26945,2024,724234,0.07811080664396286,0,1,0,0,0.25639766454696655,0.25639766454696655
0,0,0,88,DL,Arsenal,Crystal Palace,2,2,2025-04-23,26933,2024,721998,0.0682733878493309,0,1,0,0,0.0682733878493309,0
0,1,0.10135837644338608,28,Sub,Ipswich,Arsenal,0,4,2025-04-20,26927,2024,721001,0,0,0,0,0.10135837644338608,0.20999696850776672,0.10863859951496124
0,0,0,26,Sub,Arsenal,Brentford,1,1,2025-04-12,26913,2024,718793,0,0,0,0,0,0.08239462226629257,0.08239462226629257
0,0,0,81,DL,Everton,Arsenal,1,1,2025-04-05,26905,2024,716503,0.05122268572449684,0,1,0,0,0.38437768816947937,0.3331550061702728
0,0,0,90,DL,Arsenal,Fulham,2,1,2025-04-01,26892,2024,715945,0,0,0,0,0,0.32009467482566833,0.32009467482566833
0,0,0,90,DL,Arsenal,Chelsea,1,0,2025-03-16,26883,2024,713658,0.041374336928129196,0,1,0,0,0.22242604196071625,0.18105171620845795
0,0,0,28,Sub,Manchester United,Arsenal,1,1,2025-03-09,26877,2024,712207,0,0,0,0,0,0.09963754564523697,0.09963754564523697
0,0,0,17,Sub,Arsenal,West Ham,0,1,2025-02-22,26853,2024,707773,0,0,0,0,0,0.05982104316353798,0.05982104316353798
0,0,0,80,DL,Leicester,Arsenal,0,2,2025-02-15,26846,2024,705954,0,0,0,0,0,0.08973504602909088,0.08973504602909088
1,1,0.09304013848304749,90,DL,Arsenal,Manchester City,5,1,2025-02-02,26833,2024,704194,0,0,0,1,0.09304013848304749,0.18771211802959442,0.09467197209596634
0,0,0,42,DL,Wolverhampton Wanderers,Arsenal,0,1,2025-01-25,26831,2024,701455,0,0,0,0,0,0,0
0,0,0,90,DL,Arsenal,Aston Villa,2,2,2025-01-18,26812,2024,700178,0,0,0,0,0,1.119463562965393,1.119463562965393
0,0,0,90,DL,Arsenal,Tottenham,2,1,2025-01-15,26802,2024,699509,0,0,0,0,0,0.19008009135723114,0.19008009135723114
0,0,0,8,Sub,Brentford,Arsenal,1,3,2025-01-01,26783,2024,697041,0,0,0,0,0,0,0
0,0,0,90,DL,Arsenal,Ipswich,1,0,2024-12-27,26773,2024,696400,0.10090659558773041,0,2,0,0,0.22063575685024261,0.18485309183597565
0,0,0,63,DL,Crystal Palace,Arsenal,1,5,2024-12-21,26765,2024,695499,0,0,0,0,0,0.03331608697772026,0.03331608697772026
0,0,0,70,DL,Arsenal,Everton,0,0,2024-12-14,26755,2024,693728,0.055262621492147446,0,1,0,0,0.673399806022644,0.673399806022644
0,0,0,10,Sub,Arsenal,Liverpool,2,2,2024-10-27,26691,2024,683709,0,0,0,0,0,0.09494198858737946,0.09494198858737946
0,0,0,1,Sub,Manchester City,Arsenal,2,2,2024-09-22,26651,2024,676612,0,0,0,0,0,0,0
