goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,3,1.2342952489852905,83,AMC,Leeds,Nottingham Forest,3,1,2026-02-06,29023,2025,768313,0,0,0,1,1.2342952489852905,0.999071478843689,0.30487021803855896
0,0,0,42,Sub,Leeds,Arsenal,0,4,2026-01-31,29015,2025,767145,0,0,0,0,0,0,0
0,0,0,3,Sub,Everton,Leeds,1,1,2026-01-26,29003,2025,766671,0.11307061463594437,0,2,0,0,0.11307061463594437,0.04432953521609306
0,2,0.11379864811897278,71,FW,Leeds,Fulham,1,0,2026-01-17,28991,2025,764221,0.06455535441637039,0,1,0,0.11379864811897278,0.17835400998592377,0
0,0,0,4,Sub,Newcastle United,Leeds,4,3,2026-01-07,28986,2025,762503,0,0,0,0,0,0,0
0,1,0.11269532144069672,76,FW,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761417,0,0,0,0,0.11269532144069672,0.24797987937927246,0.13528455793857574
0,0,0,18,Sub,Liverpool,Leeds,0,0,2026-01-01,28963,2025,760734,0,0,0,0,0,0,0
0,3,0.14649654924869537,78,FW,Sunderland,Leeds,1,1,2025-12-28,28956,2025,760338,0.10231159627437592,0,2,0,0.14649654924869537,1.2684972286224365,1.1509525775909424
0,0,0,81,FW,Leeds,Crystal Palace,4,1,2025-12-20,28943,2025,759399,0.08206940442323685,0,1,0,0,0.08206940442323685,0
0,4,0.6970149278640747,90,FW,Brentford,Leeds,1,1,2025-12-14,28929,2025,758470,0.044944971799850464,0,1,0,0.6970149278640747,0.9411693811416626,0.19920945167541504
0,2,0.14240151643753052,68,FW,Leeds,Liverpool,3,3,2025-12-06,28923,2025,756224,0,0,0,0,0.14240151643753052,0.19370540976524353,0.05130389332771301
0,2,0.15506170690059662,20,Sub,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755247,0.12843962013721466,0,1,0,0.15506170690059662,0.2835013270378113,0
0,0,0,5,Sub,Manchester City,Leeds,3,2,2025-11-29,28903,2025,753685,0,0,0,0,0,0,0
0,0,0,86,FWL,Leeds,Aston Villa,1,2,2025-11-23,28893,2025,752587,0,0,0,0,0,0,0
0,0,0,90,ML,Nottingham Forest,Leeds,3,1,2025-11-09,28884,2025,750866,0.058847472071647644,0,1,0,0,0.10596384108066559,0.047116369009017944
0,0,0,78,ML,Brighton,Leeds,3,0,2025-11-01,28868,2025,748299,0,0,0,0,0,0,0
0,2,0.49289563298225403,59,FWL,Leeds,West Ham,2,1,2025-10-24,28864,2025,745560,0,0,0,0,0.49289563298225403,0.7722511291503906,0.2793554663658142
1,1,0.6810007095336914,83,FWL,Leeds,Tottenham,1,2,2025-10-04,28844,2025,742132,0.1580076813697815,0,2,1,0.6810007095336914,0.8390083909034729,0
0,2,0.04934623837471008,69,FWL,Leeds,Bournemouth,2,2,2025-09-27,28832,2025,740667,0.5234494209289551,0,1,0,0.04934623837471008,0.575863778591156,0.05241433158516884
1,1,0.2599199414253235,73,FWL,Wolverhampton Wanderers,Leeds,1,3,2025-09-20,28820,2025,738609,0,0,0,1,0.2599199414253235,0.30389779806137085,0.043977849185466766
0,2,0.17076076567173004,68,FWL,Fulham,Leeds,1,0,2025-09-13,28813,2025,737016,0.03432764112949371,0,1,0,0.17076076567173004,0.5930864810943604,0.3879980444908142
0,0,0,21,Sub,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733413,0,0,0,0,0,0,0
0,0,0,11,Sub,Venezia,Napoli,0,0,2025-03-16,27651,2024,713497,0.38266557455062866,0,2,0,0,0.38266557455062866,0.021049901843070984
0,0,0,9,Sub,Napoli,Inter,1,1,2025-03-01,27629,2024,709900,0,0,0,0,0,0,0
0,0,0,5,Sub,Como,Napoli,2,1,2025-02-23,27620,2024,708288,0.03130672499537468,0,1,0,0,0.03130672499537468,0
0,1,0.03875735029578209,2,Sub,Napoli,Udinese,1,1,2025-02-09,27598,2024,705667,0,0,0,0,0.03875735029578209,0.03875735029578209,0
0,0,0,13,Sub,AC Milan,Genoa,0,0,2024-12-15,27520,2024,694721,0,0,0,0,0,0,0
0,1,0.08209073543548584,2,Sub,Cagliari,AC Milan,3,3,2024-11-09,27478,2024,686843,0,0,0,0,0.08209073543548584,0.08209073543548584,0
0,2,0.6286405324935913,64,AML,Monza,AC Milan,0,1,2024-11-02,27465,2024,685379,0,0,0,0,0.6286405324935913,0.7543166279792786,0.12567609548568726
0,1,0.06058165431022644,63,FWL,AC Milan,Napoli,0,2,2024-10-29,27459,2024,684263,0.019848182797431946,0,1,0,0.06058165431022644,0.09599829465150833,0.015568461269140244
0,1,0.03839786723256111,50,AML,AC Milan,Udinese,1,0,2024-10-19,27440,2024,681541,0.19463326036930084,0,2,0,0.03839786723256111,0.3200325071811676,0.08700136840343475
0,0,0,15,Sub,Fiorentina,AC Milan,2,1,2024-10-06,27426,2024,680662,0.1356809437274933,0,1,0,0,0.21296583116054535,0.07728489488363266
0,2,0.5733517408370972,11,Sub,Inter,AC Milan,1,2,2024-09-22,27406,2024,676770,0,0,0,0,0.5733517408370972,0.5733517408370972,0
0,1,0.03125343099236488,25,Sub,AC Milan,Venezia,4,0,2024-09-14,27398,2024,674066,0,0,0,0,0.03125343099236488,0.17796854674816132,0.14671511948108673
0,1,0.059702515602111816,73,FW,Lazio,AC Milan,2,2,2024-08-31,27387,2024,672299,0,0,0,0,0.059702515602111816,0.23524296283721924,0.17554044723510742
0,2,0.4109113812446594,89,FW,Parma Calcio 1913,AC Milan,2,1,2024-08-24,27372,2024,668254,0,0,0,0,0.4109113812446594,0.4109113812446594,0
1,1,0.3063787817955017,3,Sub,AC Milan,Torino,2,2,2024-08-17,27365,2024,666681,0,0,0,1,0.3063787817955017,0.3063787817955017,0
0,2,0.11699779331684113,62,FWL,Torino,AC Milan,3,1,2024-05-18,22674,2023,662859,0.06298667192459106,0,1,0,0.11699779331684113,0.2989806532859802,0.11899620294570923
0,0,0,43,Sub,AC Milan,Cagliari,5,1,2024-05-11,22663,2023,660942,0.11409975588321686,1,1,0,0,0.11409975588321686,0.11409975588321686
0,0,0,21,Sub,AC Milan,Genoa,3,3,2024-05-05,22650,2023,659651,0.3682606518268585,0,1,0,0,0.3682606518268585,0
0,0,0,17,Sub,Juventus,AC Milan,0,0,2024-04-27,22638,2023,657211,0,0,0,0,0,0,0
0,1,0.5939184427261353,12,Sub,AC Milan,Inter,1,2,2024-04-22,22633,2023,655980,0,0,0,0,0.5939184427261353,0.5939184427261353,0
1,1,0.35502177476882935,4,Sub,Sassuolo,AC Milan,3,3,2024-04-14,22620,2023,653901,0,0,0,1,0.35502177476882935,0,0
0,0,0,28,Sub,Fiorentina,AC Milan,1,2,2024-03-30,22601,2023,650136,0,0,0,0,0,0,0
0,5,0.401837021112442,76,FW,Verona,AC Milan,1,3,2024-03-17,22588,2023,648794,0.0209620650857687,0,1,0,0.401837021112442,0.37286514043807983,0
0,1,0.021667510271072388,90,AML,AC Milan,Empoli,1,0,2024-03-10,22579,2023,647372,0.5052322745323181,1,3,0,0.021667510271072388,0.5268998146057129,0.11487706005573273
1,2,0.17018702626228333,18,Sub,Lazio,AC Milan,0,1,2024-03-01,22568,2023,644479,0,0,0,1,0.17018702626228333,0.17018702626228333,0
0,0,0,1,Sub,AC Milan,Atalanta,1,1,2024-02-25,22560,2023,644088,0,0,0,0,0,0,0
0,0,0,55,AML,Monza,AC Milan,4,2,2024-02-18,22548,2023,642711,0,0,0,0,0,0.09397978335618973,0.09397978335618973
0,0,0,25,Sub,Frosinone,AC Milan,2,3,2024-02-03,22531,2023,638725,0,0,0,0,0,0,0
0,0,0,1,Sub,AC Milan,Bologna,2,2,2024-01-27,22518,2023,637092,0,0,0,0,0,0,0
1,1,0.5915363430976868,16,Sub,Udinese,AC Milan,2,3,2024-01-20,22513,2023,636058,0,0,0,1,0.5915363430976868,0,0
0,0,0,11,Sub,AC Milan,Roma,3,1,2024-01-14,22500,2023,635555,0,0,0,0,0,0,0
1,2,0.5547471046447754,13,Sub,AC Milan,Monza,3,0,2023-12-17,22459,2023,630679,0,0,0,1,0.5547471046447754,0.5547471046447754,0
0,1,0.3324117064476013,81,Sub,Lecce,AC Milan,2,2,2023-11-11,22417,2023,623105,0.07513589411973953,0,1,0,0.3324117064476013,1.2882647514343262,0.8807171583175659
0,0,0,43,Sub,AC Milan,Udinese,0,1,2023-11-04,22410,2023,621838,0,0,0,0,0,0.34943684935569763,0.34943684935569763
0,0,0,4,Sub,Napoli,AC Milan,2,2,2023-10-29,22404,2023,620932,0,0,0,0,0,0.03954147547483444,0.03954147547483444
0,0,0,47,FWL,Genoa,AC Milan,0,1,2023-10-07,22378,2023,616727,0,0,0,0,0,0,0
1,1,0.6135601997375488,19,Sub,AC Milan,Lazio,2,0,2023-09-30,22373,2023,614882,0,0,0,1,0.6135601997375488,0.6135601997375488,0
1,5,0.8138784766197205,90,FW,Cagliari,AC Milan,1,3,2023-09-27,22355,2023,613566,0,0,0,1,0.8138784766197205,0.9047061800956726,0.09082774072885513
0,0,0,8,Sub,AC Milan,Verona,1,0,2023-09-23,22352,2023,611913,0,0,0,0,0,0.08022799342870712,0.08022799342870712
0,0,0,11,Sub,Inter,AC Milan,5,1,2023-09-16,22336,2023,610583,0,0,0,0,0,0,0
0,0,0,10,Sub,Roma,AC Milan,1,2,2023-09-01,22326,2023,608245,0,0,0,0,0,0,0
0,0,0,18,Sub,AC Milan,Torino,4,1,2023-08-26,22317,2023,607298,0,0,0,0,0,0,0
0,0,0,13,Sub,Bologna,AC Milan,0,2,2023-08-21,22314,2023,606368,0,0,0,0,0,0,0
