goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,7,Sub,Burnley,West Ham,0,2,2026-02-07,29021,2025,768680,0,0,0,0,0,0,0
0,0,0,4,Sub,Chelsea,West Ham,3,2,2026-01-31,29009,2025,767349,0,0,0,0,0,0,0
0,0,0,74,DL,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765351,0,0,0,0,0,0.1270272135734558,0.1270272135734558
0,0,0,90,DL,Tottenham,West Ham,1,2,2026-01-17,28996,2025,764324,0.019362695515155792,0,1,0,0,0.20390470325946808,0.20390470325946808
0,0,0,64,DL,West Ham,Nottingham Forest,1,2,2026-01-06,28987,2025,762086,0,0,0,0,0,0.027078736573457718,0.027078736573457718
0,0,0,90,DL,Wolverhampton Wanderers,West Ham,3,0,2026-01-03,28970,2025,761061,0,0,0,0,0,0.06989110261201859,0.06989110261201859
0,2,0.21575582027435303,90,DL,West Ham,Brighton,2,2,2025-12-30,28967,2025,760588,0.6409353017807007,0,2,0,0.21575582027435303,0.7712197303771973,0.19945010542869568
0,1,0.02299439162015915,90,DL,West Ham,Fulham,0,1,2025-12-27,28957,2025,760165,0,0,0,0,0.02299439162015915,0.0456964373588562,0.022702045738697052
0,0,0,66,DL,Manchester City,West Ham,3,0,2025-12-20,28944,2025,759106,0,0,0,0,0,0,0
0,0,0,24,DMR,Leeds,West Ham,2,1,2025-10-24,28864,2025,745570,0,0,0,0,0,0,0
0,0,0,55,DR,West Ham,Brentford,0,2,2025-10-20,28857,2025,745337,0,0,0,0,0,0.029067160561680794,0.029067160561680794
0,0,0,74,ML,Ipswich,West Ham,1,3,2025-05-25,26980,2024,730023,0.03423907980322838,0,1,0,0,0.12098965793848038,0.0867505818605423
0,0,0,9,Sub,West Ham,Southampton,1,1,2025-04-19,26931,2024,720437,0,0,0,0,0,0,0
0,0,0,58,DML,Liverpool,West Ham,2,1,2025-04-13,26916,2024,719264,0,0,0,0,0,0,0
0,0,0,48,DL,West Ham,Bournemouth,2,2,2025-04-05,26911,2024,716861,0,0,0,0,0,0.02821093238890171,0.02821093238890171
0,0,0,80,DML,Wolverhampton Wanderers,West Ham,1,0,2025-04-01,26895,2024,715990,0,0,0,0,0,0.07003439217805862,0.07003439217805862
0,0,0,90,DML,West Ham,Newcastle United,0,1,2025-03-10,26880,2024,712461,0.018032509833574295,0,1,0,0,0.11415724456310272,0.09612473100423813
0,1,0.030363930389285088,67,DML,West Ham,Leicester,2,0,2025-02-27,26866,2024,709303,0,0,0,0,0.030363930389285088,0.08486546576023102,0.05450153350830078
0,0,0,90,DL,Arsenal,West Ham,0,1,2025-02-22,26853,2024,707780,0,0,0,0,0,0,0
0,2,0.10697297006845474,40,Sub,West Ham,Brentford,0,1,2025-02-15,26851,2024,706289,0,0,0,0,0.10697297006845474,0.17503462731838226,0.17503462731838226
0,0,0,16,Sub,Chelsea,West Ham,2,1,2025-02-03,26835,2024,704465,0,0,0,0,0,0.01715340092778206,0.01715340092778206
0,0,0,6,Sub,Aston Villa,West Ham,1,1,2025-01-26,26823,2024,702201,0,0,0,0,0,0,0
0,0,0,33,Sub,West Ham,Crystal Palace,0,2,2025-01-18,26821,2024,700065,0,0,0,0,0,0.060374483466148376,0.060374483466148376
0,0,0,5,Sub,West Ham,Fulham,3,2,2025-01-14,26808,2024,699151,0.06383352726697922,0,1,0,0,0.06383352726697922,0
0,0,0,15,Sub,West Ham,Brighton,1,1,2024-12-21,26767,2024,695305,0,0,0,0,0,0,0
0,0,0,13,Sub,Bournemouth,West Ham,1,1,2024-12-16,26754,2024,694827,0,0,0,0,0,0,0
