goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,22,Sub,Brentford,Nottingham Forest,0,2,2026-01-25,29000,2025,766083,0,0,0,0,0,0,0
0,0,0,1,Sub,Nottingham Forest,Arsenal,0,0,2026-01-17,28994,2025,764409,0,0,0,0,0,0,0
0,0,0,47,AMR,West Ham,Nottingham Forest,1,2,2026-01-06,28987,2025,762103,0,0,0,0,0,0.025098120793700218,0.025098120793700218
0,1,0.05890972539782524,90,MR,Aston Villa,Nottingham Forest,3,1,2026-01-03,28972,2025,760938,0.38290730118751526,0,1,0,0.05890972539782524,0.4418170154094696,0
0,1,0.01811918243765831,90,AMR,Nottingham Forest,Everton,0,2,2025-12-30,28965,2025,760564,0.11441405117511749,0,2,0,0.01811918243765831,0.41639918088912964,0.30198511481285095
1,1,0.3647443950176239,90,AMR,Nottingham Forest,Manchester City,1,2,2025-12-27,28955,2025,759960,0,0,0,1,0.3647443950176239,0.40170252323150635,0.036958154290914536
0,1,0.03454666957259178,90,AMR,Fulham,Nottingham Forest,1,0,2025-12-22,28942,2025,759849,0.09371372312307358,0,2,0,0.03454666957259178,0.2844373285770416,0.15617695450782776
0,3,0.20259661972522736,90,AMR,Nottingham Forest,Tottenham,3,0,2025-12-14,28935,2025,758118,0,0,0,0,0.20259661972522736,1.033619999885559,0.8773316144943237
0,0,0,90,AMR,Everton,Nottingham Forest,3,0,2025-12-06,28921,2025,755958,0,0,0,0,0,0.06134267523884773,0.06134267523884773
0,2,0.11743003129959106,90,AMR,Wolverhampton Wanderers,Nottingham Forest,0,1,2025-12-03,28917,2025,755163,0.7193838357925415,1,3,0,0.11743003129959106,0.5000239610671997,0.41022640466690063
0,1,0.02971617318689823,42,Sub,Nottingham Forest,Brighton,0,2,2025-11-30,28904,2025,754467,0.23549559712409973,0,4,0,0.02971617318689823,0.27769923210144043,0.012487474828958511
0,3,0.2221461534500122,24,Sub,Liverpool,Nottingham Forest,0,3,2025-11-22,28894,2025,752169,0,0,0,0,0.2221461534500122,0.15812425315380096,0.12335573881864548
0,1,0.11490415781736374,27,Sub,Nottingham Forest,Leeds,3,1,2025-11-09,28884,2025,750854,0.5530205965042114,1,1,0,0.11490415781736374,0.6679247617721558,0
0,0,0,42,Sub,Bournemouth,Nottingham Forest,2,0,2025-10-26,28858,2025,746458,0.034106139093637466,0,1,0,0,0.034106139093637466,0
0,0,0,23,Sub,Newcastle United,Nottingham Forest,2,0,2025-10-05,28846,2025,743107,0,0,0,0,0,0,0
0,2,0.1159401684999466,16,Sub,Nottingham Forest,Sunderland,0,1,2025-09-27,28834,2025,740886,0.5611154437065125,0,4,0,0.1159401684999466,0.6770555973052979,0.3272562325000763
0,0,0,1,Sub,Nottingham Forest,West Ham,0,3,2025-08-31,28804,2025,735668,0,0,0,0,0,0,0
0,2,0.5778230428695679,7,Sub,Crystal Palace,Nottingham Forest,1,1,2025-08-24,28794,2025,733823,0,0,0,0,0.5778230428695679,0.5778230428695679,0
0,4,0.448005735874176,90,AMR,Ipswich,West Ham,1,3,2025-05-25,26980,2024,730006,0,0,0,0,0.448005735874176,0.4060036242008209,0
0,3,0.22644582390785217,90,AMR,Leicester,Ipswich,2,0,2025-05-18,26969,2024,728549,0.17980480194091797,0,3,0,0.22644582390785217,0.7470822334289551,0.43248075246810913
0,1,0.04498355835676193,90,AMR,Ipswich,Brentford,0,1,2025-05-10,26954,2024,725748,0.45685046911239624,0,3,0,0.04498355835676193,0.5496422648429871,0.10532040894031525
0,1,0.020382706075906754,90,AMR,Everton,Ipswich,2,2,2025-05-03,26950,2024,724096,0.21498917043209076,0,2,0,0.020382706075906754,0.2488417625427246,0.01346988882869482
0,3,0.09707995504140854,90,AMC,Ipswich,Nottingham Forest,2,4,2025-03-15,26887,2024,712985,0,0,0,0,0.09707995504140854,0.14109070599079132,0.14109070599079132
0,0,0,21,Sub,Crystal Palace,Ipswich,1,0,2025-03-08,26875,2024,711375,0,0,0,0,0,0.3597332537174225,0.3597332537174225
0,0,0,70,AMC,Manchester United,Ipswich,3,2,2025-02-26,26871,2024,709228,0,0,0,0,0,0.14057262241840363,0.14057262241840363
1,4,0.4951326549053192,90,AMC,Ipswich,Tottenham,1,4,2025-02-22,26857,2024,707797,0.16242459416389465,0,3,1,0.4951326549053192,0.6471145749092102,0.10477151721715927
0,0,0,90,AMC,Aston Villa,Ipswich,1,1,2025-02-15,26842,2024,706174,0.1171131357550621,1,1,0,0,0.1171131357550621,0
0,1,0.10396813601255417,90,AMR,Ipswich,Southampton,1,2,2025-02-01,26837,2024,703360,0.07360954582691193,0,1,0,0.10396813601255417,0.33998382091522217,0.16240613162517548
0,1,0.017323633655905724,86,AMC,Liverpool,Ipswich,4,1,2025-01-25,26827,2024,701519,0,0,0,0,0.017323633655905724,0,0
0,2,0.09653035551309586,74,MR,Ipswich,Manchester City,0,6,2025-01-19,26816,2024,700757,0.07737509161233902,0,1,0,0.09653035551309586,0.09684164077043533,0.019466543570160866
0,2,0.08980491757392883,90,AMC,Ipswich,Brighton,0,2,2025-01-16,26805,2024,699542,0,0,0,0,0.08980491757392883,0.08980491757392883,0
1,1,0.10792902112007141,90,AMC,Ipswich,Chelsea,2,0,2024-12-30,26787,2024,696896,0.2166997343301773,0,2,1,0.10792902112007141,0.44644126296043396,0.12181250005960464
0,0,0,90,MR,Arsenal,Ipswich,1,0,2024-12-27,26773,2024,696415,0.04833465814590454,0,1,0,0,0.04833465814590454,0
0,1,0.016024306416511536,51,AMC,Ipswich,Newcastle United,0,4,2024-12-21,26771,2024,695330,0,0,0,0,0.016024306416511536,0.016024306416511536,0
0,2,0.7329931259155273,90,AML,Wolverhampton Wanderers,Ipswich,1,2,2024-12-14,26758,2024,693623,0.19480086863040924,0,2,0,0.7329931259155273,1.5455701351165771,0.6447991132736206
0,1,0.029094910249114037,90,AMR,Ipswich,Bournemouth,1,2,2024-12-08,26750,2024,692748,0.08913636952638626,0,1,0,0.029094910249114037,0.2475496530532837,0.2184547334909439
0,0,0,90,AMC,Ipswich,Crystal Palace,0,1,2024-12-03,26737,2024,691331,0,0,0,0,0,0,0
