goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,20,Sub,West Ham,Arsenal,0,1,2026-05-10,29137,2025,789462,0.5919939875602722,0,1,0,0,0.5919939875602722,0
0,2,0.12871865928173065,90,AMC,Brentford,West Ham,3,0,2026-05-02,29121,2025,787149,0.1349169909954071,0,3,0,0.12871865928173065,0.27255019545555115,0.00891453493386507
0,0,0,82,AMC,West Ham,Everton,2,1,2026-04-25,29116,2025,785543,0,0,0,0,0,0.3834547698497772,0.3834547698497772
0,1,0.040409740060567856,79,AMC,Crystal Palace,West Ham,0,0,2026-04-20,29101,2025,784258,0,0,0,0,0.040409740060567856,0.040409740060567856,0
0,1,0.08502291142940521,79,AMC,West Ham,Wolverhampton Wanderers,4,0,2026-04-10,29091,2025,781252,0.14063432812690735,1,1,0,0.08502291142940521,0.3194386661052704,0.09378143399953842
0,2,0.1331634372472763,90,FWL,Aston Villa,West Ham,2,0,2026-03-22,29079,2025,779260,0.0951927974820137,0,1,0,0.1331634372472763,0.2517923414707184,0.02343611605465412
0,0,0,66,AMC,West Ham,Manchester City,1,1,2026-03-14,29077,2025,777133,0,0,0,0,0,0,0
0,0,0,7,Sub,Burnley,West Ham,0,2,2026-02-07,29021,2025,768681,0.013417728245258331,0,1,0,0,0.013417728245258331,0.013417728245258331
0,0,0,72,AMC,Chelsea,West Ham,3,2,2026-01-31,29009,2025,767345,0.0895962193608284,0,1,0,0,0.0895962193608284,0
0,1,0.30207619071006775,74,AMC,West Ham,Sunderland,3,1,2026-01-24,29007,2025,765356,0,0,0,0,0.30207619071006775,0.4124322831630707,0.11035607010126114
0,2,0.21070313453674316,87,AMC,Tottenham,West Ham,1,2,2026-01-17,28996,2025,764329,0.07448837161064148,0,1,0,0.21070313453674316,0.44882655143737793,0.1636350452899933
0,1,0.06192529946565628,26,Sub,West Ham,Nottingham Forest,1,2,2026-01-06,28987,2025,762095,0.05871548131108284,0,1,0,0.06192529946565628,0.12064077705144882,0
