goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,68,DMR,Brighton,Wolverhampton Wanderers,3,0,2026-05-09,29128,2025,788791,0,0,0,0,0,0,0
0,0,0,50,DMR,Wolverhampton Wanderers,Sunderland,1,1,2026-05-02,29127,2025,787191,0.12605345249176025,0,2,0,0,0.17952771484851837,0.1250518411397934
0,1,0.015366338193416595,90,DMR,Wolverhampton Wanderers,Tottenham,0,1,2026-04-25,29117,2025,785566,0.090581014752388,0,1,0,0.015366338193416595,0.090581014752388,0
0,1,0.03581976890563965,41,Sub,Leeds,Wolverhampton Wanderers,3,0,2026-04-18,29103,2025,783298,0,0,0,0,0.03581976890563965,0.114302858710289,0.07848309725522995
0,0,0,1,Sub,Wolverhampton Wanderers,Chelsea,1,3,2026-02-07,29027,2025,768723,0,0,0,0,0,0,0
0,0,0,1,Sub,Wolverhampton Wanderers,Bournemouth,0,2,2026-01-31,29017,2025,767174,0,0,0,0,0,0,0
0,0,0,1,Sub,Everton,Wolverhampton Wanderers,1,1,2026-01-07,28978,2025,762196,0,0,0,0,0,0,0
0,1,0.05142717435956001,6,Sub,Bournemouth,Wolverhampton Wanderers,0,1,2025-02-22,26852,2024,707914,0,0,0,0,0.05142717435956001,0.05142717435956001,0
0,0,0,1,Sub,Liverpool,Wolverhampton Wanderers,2,1,2025-02-16,26847,2024,706734,0,0,0,0,0,0,0
0,0,0,61,DMR,Wolverhampton Wanderers,Nottingham Forest,0,3,2025-01-06,26801,2024,697802,0.07187306135892868,0,2,0,0,0.08562763035297394,0.05479290708899498
