goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,60,DL,Arsenal,Manchester United,2,3,2026-01-25,28999,2025,766398,0,0,0,0,0,0.05293828621506691,0.05293828621506691
0,0,0,59,DL,Arsenal,Liverpool,0,0,2026-01-08,28980,2025,762570,0,0,0,0,0,0.05856594443321228,0.05856594443321228
0,0,0,90,DL,Bournemouth,Arsenal,2,3,2026-01-03,28971,2025,761212,0.09917760640382767,0,1,0,0,0,0
0,0,0,90,DL,Arsenal,Aston Villa,4,1,2025-12-30,28958,2025,760620,0.1306876838207245,0,1,0,0,0.33724525570869446,0.33724525570869446
0,0,0,90,DC,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760044,0,0,0,0,0,0.5169832706451416,0.5169832706451416
0,0,0,90,DC,Everton,Arsenal,0,1,2025-12-20,28941,2025,759378,0,0,0,0,0,0.5367556214332581,0.5367556214332581
0,0,0,90,DL,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757930,0.07464353740215302,0,1,0,0,0.6576941013336182,0.6576941013336182
0,0,0,90,DC,Aston Villa,Arsenal,2,1,2025-12-06,28919,2025,755644,0,0,0,0,0,0.05685947462916374,0.05685947462916374
0,0,0,90,DC,Arsenal,Brentford,2,0,2025-12-03,28909,2025,755080,0,0,0,0,0,0.863368570804596,0.863368570804596
0,0,0,90,DC,Chelsea,Arsenal,1,1,2025-11-30,28900,2025,754410,0.15381821990013123,0,1,0,0,0.714907705783844,0.714907705783844
0,0,0,90,DC,Arsenal,Tottenham,4,1,2025-11-23,28889,2025,752855,0,0,0,0,0,0.4681205451488495,0.4681205451488495
0,0,0,16,Sub,Burnley,Arsenal,0,2,2025-11-01,28869,2025,748334,0,0,0,0,0,0,0
0,0,0,6,Sub,Arsenal,Crystal Palace,1,0,2025-10-26,28859,2025,746598,0,0,0,0,0,0,0
0,2,0.5172572731971741,90,DC,Bayer Leverkusen,Hoffenheim,1,2,2025-08-23,30226,2025,733045,0,0,0,0,0.5172572731971741,0.11583748459815979,0.056226696819067
0,0,0,90,DC,Mainz 05,Bayer Leverkusen,2,2,2025-05-17,28045,2024,727894,0.022537674754858017,0,1,0,0,0.11743947118520737,0.11743947118520737
0,1,0.033284496515989304,83,DC,Bayer Leverkusen,Borussia Dortmund,2,4,2025-05-11,28030,2024,726693,0.031208118423819542,0,1,0,0.033284496515989304,0.2614690065383911,0.19697637856006622
0,1,0.07573099434375763,90,DC,Freiburg,Bayer Leverkusen,2,2,2025-05-04,28024,2024,724949,0,0,0,0,0.07573099434375763,0.08182662725448608,0.08182662725448608
0,0,0,23,Sub,Bayer Leverkusen,Augsburg,2,0,2025-04-26,28012,2024,722437,0,0,0,0,0,0,0
