goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,FW,Tottenham,West Ham,1,2,2026-01-17,28996,2025,764315,0.11097367852926254,0,2,0,0,0.07913047820329666,0.02762422524392605
0,0,0,71,FW,Bournemouth,Tottenham,3,2,2026-01-07,28979,2025,762224,0.046447835862636566,0,1,0,0,0.08745724707841873,0.041009411215782166
0,1,0.19773046672344208,72,Sub,Tottenham,Sunderland,1,1,2026-01-04,28969,2025,761572,0.10751840472221375,0,1,0,0.19773046672344208,0.3805996775627136,0.0753508061170578
0,0,0,22,Sub,Brentford,Tottenham,0,0,2026-01-01,28959,2025,760761,0.12813599407672882,0,1,0,0,0.12813599407672882,0
0,0,0,67,AML,Crystal Palace,Tottenham,0,1,2025-12-28,28952,2025,760398,0.10788459330797195,0,1,0,0,0,0
0,4,0.5853182077407837,85,FW,Tottenham,Liverpool,1,2,2025-12-20,28946,2025,759309,0.02164538949728012,0,1,0,0.5853182077407837,0.606963574886322,0.03766310214996338
0,0,0,82,AML,Nottingham Forest,Tottenham,3,0,2025-12-14,28935,2025,758133,0.04859108477830887,0,1,0,0,0.1607043594121933,0.1607043594121933
0,1,0.2679367661476135,77,AML,Tottenham,Brentford,2,0,2025-12-06,28926,2025,756039,0.0387662798166275,0,1,0,0.2679367661476135,0.0387662798166275,0
0,0,0,79,FW,Newcastle United,Tottenham,2,2,2025-12-02,28916,2025,755008,0.03786790743470192,0,1,0,0,0.03786790743470192,0.03786790743470192
0,4,0.7311602234840393,90,FW,Tottenham,Fulham,1,2,2025-11-29,28906,2025,753976,0,0,0,0,0.7311602234840393,0.800783097743988,0.12268674373626709
0,0,0,21,Sub,Arsenal,Tottenham,4,1,2025-11-23,28889,2025,752879,0,0,0,0,0,0,0
0,0,0,47,FW,Tottenham,Manchester United,2,2,2025-11-08,28886,2025,749863,0,0,0,0,0,0,0
0,0,0,80,FW,Tottenham,Chelsea,0,1,2025-11-01,28876,2025,748590,0.02562577649950981,0,1,0,0,0.07602548599243164,0.05039970949292183
0,0,0,70,FW,Everton,Tottenham,0,3,2025-10-26,28863,2025,746990,0.03265386447310448,0,1,0,0,0,0
0,1,0.06208477169275284,6,Sub,Tottenham,Aston Villa,1,2,2025-10-19,28856,2025,744757,0,0,0,0,0.06208477169275284,0,0
1,2,0.15150251984596252,79,FW,Venezia,Juventus,2,3,2025-05-25,27732,2024,730305,0.2341938614845276,0,3,1,0.15150251984596252,0.42768242955207825,0.16768459975719452
0,2,0.5448483824729919,75,FW,Juventus,Udinese,2,0,2025-05-18,27731,2024,729008,0,0,0,0,0.5448483824729919,0.5448483824729919,0
1,3,0.7349396347999573,76,FW,Lazio,Juventus,1,1,2025-05-10,27716,2024,725890,0,0,0,1,0.7349396347999573,0.6756498217582703,0
0,0,0,89,FW,Bologna,Juventus,1,1,2025-05-04,27702,2024,725145,0,0,0,0,0,0,0
1,3,0.5079113245010376,90,FW,Juventus,Monza,2,0,2025-04-27,27692,2024,723369,0.434772253036499,0,2,1,0.5079113245010376,1.0294185876846313,0.08673505485057831
0,2,0.09681772440671921,90,AMC,Parma Calcio 1913,Juventus,1,0,2025-04-23,27689,2024,721860,0.09847640246152878,0,2,0,0.09681772440671921,0.19529412686824799,0.04940519854426384
0,0,0,21,Sub,Juventus,Lecce,2,1,2025-04-12,27673,2024,718974,0,0,0,0,0,0.03663560748100281,0.03663560748100281
0,0,0,21,Sub,Roma,Juventus,1,1,2025-04-06,27662,2024,717968,0,0,0,0,0,0.0339764766395092,0.0339764766395092
0,2,0.20819830894470215,90,FW,Fiorentina,Juventus,3,0,2025-03-16,27644,2024,714171,0.043783098459243774,0,1,0,0.20819830894470215,0.2781652510166168,0.0261838436126709
0,0,0,77,FW,Juventus,Atalanta,0,4,2025-03-09,27637,2024,712340,0,0,0,0,0,0.08020377159118652,0.08020377159118652
0,3,0.15946508944034576,85,FW,Juventus,Verona,2,0,2025-03-03,27626,2024,710765,0.260990172624588,0,4,0,0.15946508944034576,0.4229418635368347,0.24625806510448456
0,0,0,28,Sub,Cagliari,Juventus,0,1,2025-02-23,27621,2024,708867,0.08847308903932571,0,1,0,0,0.13860493898391724,0.13860493898391724
0,3,0.2344426065683365,90,FW,Juventus,Inter,1,0,2025-02-16,27610,2024,707179,0.15511004626750946,1,2,0,0.2344426065683365,0.2274685800075531,0
2,2,1.0573371648788452,90,FW,Como,Juventus,1,2,2025-02-07,27592,2024,705330,0,0,0,1,0.29603835940361023,0.3462795615196228,0.050241224467754364
2,3,0.6375422477722168,90,FW,Juventus,Empoli,4,1,2025-02-02,27582,2024,703864,0.07416775822639465,0,1,2,0.6375422477722168,1.1589819192886353,0.4472719728946686
1,1,0.4743541479110718,84,FW,Napoli,Juventus,2,1,2025-01-25,27577,2024,701643,0.03299344703555107,0,1,1,0.4743541479110718,0.507347583770752,0
0,3,0.6254687309265137,27,Sub,Auxerre,Paris Saint Germain,0,0,2024-12-06,28166,2024,691846,0.42437058687210083,0,2,0,0.6254687309265137,1.0380514860153198,0.06709127128124237
0,0,0,8,Sub,Paris Saint Germain,Toulouse,3,0,2024-11-22,28147,2024,687994,0.46450066566467285,1,1,0,0,0.46450066566467285,0
0,2,0.7276133894920349,20,Sub,Angers,Paris Saint Germain,2,4,2024-11-09,28142,2024,687028,0,0,0,0,0.7276133894920349,1.2462573051452637,0.5186439752578735
0,1,0.09255165606737137,48,FW,Nice,Paris Saint Germain,1,1,2024-10-06,28104,2024,680688,0,0,0,0,0.09255165606737137,0.1043795719742775,0.1043795719742775
0,1,0.14195020496845245,20,Sub,Paris Saint Germain,Rennes,3,1,2024-09-27,28094,2024,677383,0.029868654906749725,0,1,0,0.14195020496845245,0.17181885242462158,0
0,1,0.022208567708730698,90,FWR,Reims,Paris Saint Germain,1,1,2024-09-21,28086,2024,676105,0.11318547278642654,0,1,0,0.022208567708730698,0.48113226890563965,0.48113226890563965
0,1,0.15293166041374207,17,Sub,Paris Saint Germain,Brest,3,1,2024-09-14,28079,2024,674097,0,0,0,0,0.15293166041374207,0.25393110513687134,0.10099942982196808
1,1,0.3759807348251343,12,Sub,Lille,Paris Saint Germain,1,3,2024-09-01,28074,2024,673010,0,0,0,1,0.3759807348251343,0.3759807348251343,0
0,2,0.8405566215515137,25,Sub,Paris Saint Germain,Montpellier,6,0,2024-08-23,28057,2024,667610,0,0,0,0,0.8405566215515137,0.9619920253753662,0.12143540382385254
1,4,1.3812536001205444,71,Sub,Le Havre,Paris Saint Germain,1,4,2024-08-16,28048,2024,666167,0,0,0,0,0.6211584210395813,0.6746097803115845,0.10557940602302551
0,0,0,24,Sub,Metz,Paris Saint Germain,0,2,2024-05-19,23668,2023,663796,0.4325811266899109,0,1,0,0,0.4325811266899109,0
0,0,0,65,FW,Paris Saint Germain,Le Havre,3,3,2024-04-27,23641,2023,657222,0,0,0,0,0,0,0
0,1,0.1405089944601059,25,Sub,Lorient,Paris Saint Germain,1,4,2024-04-24,23624,2023,656150,0.19793204963207245,1,3,0,0.1405089944601059,0.38735872507095337,0.04891768842935562
0,2,0.27360743284225464,90,AMR,Paris Saint Germain,Lyon,4,1,2024-04-21,23632,2023,655909,0,0,0,0,0.27360743284225464,0.41248399019241333,0.1388765573501587
0,2,0.18810465931892395,75,FWR,Paris Saint Germain,Clermont Foot,1,1,2024-04-06,23614,2023,652026,0.017849016934633255,0,1,0,0.18810465931892395,0.09879469126462936,0.017849016934633255
0,1,0.3334684669971466,48,FW,Marseille,Paris Saint Germain,0,2,2024-03-31,23606,2023,650751,0,0,0,0,0.3334684669971466,0.3334684669971466,0
0,1,0.1371527761220932,67,FW,Montpellier,Paris Saint Germain,2,6,2024-03-17,23603,2023,649173,0.18425485491752625,2,2,0,0.1371527761220932,0.3459097445011139,0.024502111598849297
0,0,0,18,Sub,Paris Saint Germain,Reims,2,2,2024-03-10,23587,2023,647102,0.04377075657248497,0,1,0,0,0.10369658470153809,0.059925831854343414
