goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,2,0.05740704387426376,86,AMR,Fulham,Bournemouth,0,1,2026-05-09,29131,2025,788826,0.018561355769634247,0,1,1,0.05740704387426376,0.21908384561538696,0.1861838400363922
1,5,0.7240800857543945,90,AMR,Bournemouth,Crystal Palace,3,0,2026-05-03,29118,2025,787597,0,0,0,1,0.7240800857543945,0.6832115054130554,0.14757774770259857
1,2,0.3886309266090393,22,Sub,Bournemouth,Leeds,2,2,2026-04-22,29108,2025,784714,0,0,0,1,0.3886309266090393,0.03374062851071358,0
0,1,0.032793618738651276,80,AMR,Newcastle United,Bournemouth,1,2,2026-04-18,29105,2025,783325,0.9545249938964844,1,1,0,0.032793618738651276,1.0428199768066406,0.05550142005085945
0,0,0,72,AMR,Arsenal,Bournemouth,1,2,2026-04-11,29092,2025,781389,0.10906276851892471,0,1,0,0,0.10906276851892471,0
0,3,0.14538776874542236,88,AMR,Bournemouth,Manchester United,2,2,2026-03-20,29078,2025,778186,0.4539889395236969,0,1,0,0.14538776874542236,0.6753989458084106,0.5300111770629883
0,1,0.01613164320588112,88,AML,Burnley,Bournemouth,0,0,2026-03-14,29070,2025,776744,0,0,0,0,0.01613164320588112,0.11101455986499786,0.09488291293382645
0,0,0,76,AMR,Bournemouth,Brentford,0,0,2026-03-03,29058,2025,774517,0,0,0,0,0,0.023574737831950188,0.023574737831950188
0,2,0.060989174991846085,90,AMR,Bournemouth,Sunderland,1,1,2026-02-28,29048,2025,773008,0.28189197182655334,0,3,0,0.060989174991846085,0.46511635184288025,0.12223521620035172
0,3,0.2587631642818451,90,AMR,West Ham,Bournemouth,0,0,2026-02-21,29047,2025,771800,0.017792649567127228,0,1,0,0.2587631642818451,0.3474106788635254,0.07085487991571426
1,3,0.6402538418769836,90,AMR,Everton,Bournemouth,1,2,2026-02-10,29032,2025,769749,0.04160388931632042,0,2,1,0.6402538418769836,0.6818577647209167,0
1,3,0.12994062900543213,90,AMR,Bournemouth,Aston Villa,1,1,2026-02-07,29018,2025,768595,0.01706838048994541,0,1,1,0.12994062900543213,0.532775342464447,0.4320753216743469
0,0,0,21,Sub,Wolverhampton Wanderers,Bournemouth,0,2,2026-01-31,29017,2025,767194,0.802830159664154,1,2,0,0,0.802830159664154,0.7032387256622314
