goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.116816446185112,16,Sub,Everton,Liverpool,1,2,2026-04-19,29102,2025,783735,0,0,0,0,0.116816446185112,0.13659797608852386,0.019781529903411865
1,2,0.13702930510044098,71,AML,Liverpool,Fulham,2,0,2026-04-11,29097,2025,781781,0.6469231843948364,0,2,1,0.13702930510044098,1.3892978429794312,0.6053453683853149
0,0,0,22,Sub,Brighton,Liverpool,2,1,2026-03-21,29080,2025,778270,0,0,0,0,0,0,0
0,3,0.20105451345443726,66,AML,Liverpool,Tottenham,1,1,2026-03-15,29073,2025,777719,0,0,0,0,0.20105451345443726,0.24008312821388245,0.06771177053451538
0,1,0.05309484526515007,23,Sub,Wolverhampton Wanderers,Liverpool,2,1,2026-03-03,29067,2025,774630,0.49085497856140137,0,2,0,0.05309484526515007,0.5770004391670227,0.03305059298872948
0,1,0.09962478280067444,10,Sub,Liverpool,West Ham,5,2,2026-02-28,29054,2025,773285,0.022780345752835274,0,1,0,0.09962478280067444,0.12240512669086456,0
0,0,0,10,Sub,Nottingham Forest,Liverpool,0,1,2026-02-22,29044,2025,772240,0.610538125038147,0,1,0,0,0.610538125038147,0
0,0,0,13,Sub,Bournemouth,Liverpool,3,2,2026-01-24,28998,2025,765805,0,0,0,0,0,0.07116084545850754,0.07116084545850754
0,0,0,10,Sub,Liverpool,Burnley,1,1,2026-01-17,28992,2025,764170,0,0,0,0,0,0,0
0,0,0,4,Sub,Liverpool,Leeds,0,0,2026-01-01,28963,2025,760721,0.033282358199357986,0,2,0,0,0.033282358199357986,0
0,0,0,7,Sub,Liverpool,Nottingham Forest,0,3,2025-11-22,28894,2025,752156,0.035932354629039764,0,1,0,0,0.21333995461463928,0.17740760743618011
0,0,0,15,Sub,Brentford,Liverpool,3,2,2025-10-25,28861,2025,746300,0.015734096989035606,0,1,0,0,0.029772348701953888,0.014038250781595707
0,0,0,1,Sub,Crystal Palace,Liverpool,2,1,2025-09-27,28830,2025,740656,0,0,0,0,0,0,0
0,0,0,1,Sub,Burnley,Liverpool,0,1,2025-09-14,28816,2025,737492,0.0795217901468277,0,1,0,0,0.13729748129844666,0.05777569115161896
1,1,0.3935171365737915,1,Sub,Newcastle United,Liverpool,2,3,2025-08-25,28797,2025,734545,0,0,0,1,0.3935171365737915,0.3935171365737915,0
