goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Leeds,Fulham,1,0,2026-01-17,28991,2025,764223,0,0,0,0,0,0,0
0,0,0,1,Sub,Newcastle United,Leeds,4,3,2026-01-07,28986,2025,762499,0,0,0,0,0,0,0
0,0,0,81,DC,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761409,0,0,0,0,0,0,0
0,0,0,85,DC,Liverpool,Leeds,0,0,2026-01-01,28963,2025,760723,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Liverpool,3,3,2025-12-06,28923,2025,756226,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Chelsea,3,1,2025-12-03,28913,2025,755244,0,0,0,0,0,0,0
0,0,0,1,Sub,Borussia M.Gladbach,Wolfsburg,0,1,2025-05-17,28046,2024,727653,0,0,0,0,0,0,0
0,0,0,90,DC,Wolfsburg,FC Heidenheim,0,1,2025-03-29,27981,2024,714776,0,0,0,0,0,0.0731397196650505,0.0731397196650505
0,1,0.7295262217521667,31,Sub,Wolfsburg,Bochum,1,1,2025-02-22,27945,2024,707740,0.7998678088188171,1,1,0,0.7295262217521667,0,0
0,0,0,1,Sub,VfB Stuttgart,Wolfsburg,1,2,2025-02-15,27932,2024,706147,0,0,0,0,0,0,0
0,0,0,1,Sub,Wolfsburg,Bayer Leverkusen,0,0,2025-02-08,27927,2024,704788,0,0,0,0,0,0,0
0,1,0.06961327791213989,18,Sub,Wolfsburg,Holstein Kiel,2,2,2025-01-24,27910,2024,701076,0,0,0,0,0.06961327791213989,0,0
0,0,0,6,Sub,Wolfsburg,Borussia M.Gladbach,5,1,2025-01-14,27891,2024,699032,0,0,0,0,0,0.8021087646484375,0.8021087646484375
0,0,0,1,Sub,Hoffenheim,Wolfsburg,0,1,2025-01-11,27879,2024,698098,0,0,0,0,0,0,0
0,1,0.12835440039634705,90,DC,Wolfsburg,Werder Bremen,2,4,2024-10-20,27801,2024,682153,0,0,0,0,0.12835440039634705,0,0
0,1,0.0454329289495945,90,DC,Bochum,Wolfsburg,1,3,2024-10-05,27792,2024,679342,0,0,0,0,0.0454329289495945,0,0
0,0,0,90,DC,Wolfsburg,VfB Stuttgart,2,2,2024-09-28,27780,2024,677744,0,0,0,0,0,0,0
1,1,0.5772251486778259,90,DC,Bayer Leverkusen,Wolfsburg,4,3,2024-09-22,27775,2024,676379,0,0,0,1,0.5772251486778259,0.03450388088822365,0.03450388088822365
0,1,0.08360980451107025,90,DC,Wolfsburg,Eintracht Frankfurt,1,2,2024-09-14,27764,2024,673515,0,0,0,0,0.08360980451107025,0.16377338767051697,0.08016357570886612
1,2,0.14667709171772003,90,DC,Holstein Kiel,Wolfsburg,0,2,2024-08-31,27754,2024,671648,0,0,0,1,0.14667709171772003,0.1111237034201622,0.1111237034201622
0,0,0,90,DC,Wolfsburg,Bayern Munich,2,3,2024-08-25,27749,2024,668766,0,0,0,0,0,0,0
0,0,0,90,DC,Wolfsburg,Mainz 05,1,3,2024-05-18,23366,2023,662617,0,0,0,0,0,0.6092554330825806,0.6092554330825806
0,0,0,90,DC,Bayern Munich,Wolfsburg,2,0,2024-05-12,23353,2023,661323,0,0,0,0,0,0,0
0,0,0,90,DC,Freiburg,Wolfsburg,1,2,2024-04-27,23337,2023,656816,0,0,0,0,0,0.07902412116527557,0.07902412116527557
0,1,0.0496583990752697,90,DC,Wolfsburg,Bochum,1,0,2024-04-20,23330,2023,654768,0,0,0,0,0.0496583990752697,0,0
0,0,0,90,DC,RasenBallsport Leipzig,Wolfsburg,3,0,2024-04-13,23318,2023,653121,0,0,0,0,0,0,0
0,1,0.05831165239214897,90,DC,Wolfsburg,Borussia M.Gladbach,1,3,2024-04-07,23312,2023,652447,0,0,0,0,0.05831165239214897,0.24323955178260803,0.18492791056632996
0,2,0.1221056580543518,90,DC,Werder Bremen,Wolfsburg,0,2,2024-03-30,23304,2023,649599,0.14798767864704132,0,1,0,0.1221056580543518,0.047672614455223083,0.047672614455223083
0,0,0,59,Sub,Bayer Leverkusen,Wolfsburg,2,0,2024-03-10,23283,2023,647672,0,0,0,0,0,0,0
0,2,0.12466099113225937,90,DC,Wolfsburg,Hoffenheim,2,2,2024-02-04,23239,2023,639227,0,0,0,0,0.12466099113225937,0.09914534538984299,0.09914534538984299
0,0,0,80,DC,FC Heidenheim,Wolfsburg,1,1,2024-01-20,23225,2023,635808,0.10162225365638733,0,2,0,0,0.10162225365638733,0.05565126612782478
0,2,0.09405109286308289,90,DC,Mainz 05,Wolfsburg,1,1,2024-01-13,23212,2023,634752,0,0,0,0,0.09405109286308289,0.14775896072387695,0.14775896072387695
0,0,0,90,DC,Wolfsburg,Bayern Munich,1,2,2023-12-20,23204,2023,631936,0,0,0,0,0,0.04925767332315445,0.04925767332315445
0,1,0.13520482182502747,90,DC,Darmstadt,Wolfsburg,0,1,2023-12-16,23199,2023,630161,0,0,0,0,0.13520482182502747,0,0
0,0,0,3,Sub,Wolfsburg,Freiburg,0,1,2023-12-09,23185,2023,628641,0,0,0,0,0,0,0
0,0,0,50,DC,Wolfsburg,RasenBallsport Leipzig,2,1,2023-11-25,23168,2023,624715,0,0,0,0,0,0.08338291943073273,0.08338291943073273
0,0,0,90,DC,Borussia M.Gladbach,Wolfsburg,4,0,2023-11-10,23158,2023,622826,0,0,0,0,0,0,0
