goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Manchester United,Fulham,3,2,2026-02-01,29012,2025,767603,0,0,0,0,0,0.05664145573973656,0.05664145573973656
0,0,0,90,GK,Arsenal,Manchester United,2,3,2026-01-25,28999,2025,766410,0,0,0,0,0,0.06790751963853836,0.06790751963853836
0,0,0,90,GK,Manchester United,Manchester City,2,0,2026-01-17,28993,2025,763908,0,0,0,0,0,0.036041006445884705,0.036041006445884705
0,0,0,90,GK,Burnley,Manchester United,2,2,2026-01-07,28982,2025,762456,0,0,0,0,0,0.4520486891269684,0.4520486891269684
0,0,0,90,GK,Leeds,Manchester United,1,1,2026-01-04,28976,2025,761423,0,0,0,0,0,0.0598631426692009,0.0598631426692009
0,0,0,90,GK,Manchester United,Wolverhampton Wanderers,1,1,2025-12-30,28964,2025,760648,0,0,0,0,0,0,0
0,0,0,90,GK,Manchester United,Newcastle United,1,0,2025-12-26,28954,2025,759890,0,0,0,0,0,0.06758102029561996,0.06758102029561996
0,0,0,90,GK,Aston Villa,Manchester United,2,1,2025-12-21,28939,2025,759653,0,0,0,0,0,0.40461334586143494,0.40461334586143494
0,0,0,90,GK,Manchester United,Bournemouth,4,4,2025-12-15,28934,2025,758659,0,0,0,0,0,0.16142064332962036,0.16142064332962036
0,0,0,90,GK,Wolverhampton Wanderers,Manchester United,1,4,2025-12-08,28927,2025,757193,0,0,0,0,0,0.037311404943466187,0.037311404943466187
0,0,0,90,GK,Manchester United,West Ham,1,1,2025-12-04,28915,2025,755356,0,0,0,0,0,0,0
0,0,0,90,GK,Crystal Palace,Manchester United,1,2,2025-11-30,28901,2025,755311,0,0,0,0,0,0,0
0,0,0,90,GK,Manchester United,Everton,0,1,2025-11-24,28895,2025,753163,0,0,0,0,0,0.8217800259590149,0.8217800259590149
0,0,0,90,GK,Tottenham,Manchester United,2,2,2025-11-08,28886,2025,749869,0,0,0,0,0,0,0
0,0,0,90,GK,Nottingham Forest,Manchester United,2,2,2025-11-01,28874,2025,748414,0,0,0,0,0,0.06851494312286377,0.06851494312286377
0,0,0,90,GK,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746084,0,0,0,0,0,0.028025293722748756,0.028025293722748756
0,0,0,90,GK,Liverpool,Manchester United,1,2,2025-10-19,28852,2025,745073,0,0,0,0,0,0.10961603373289108,0.10961603373289108
0,0,0,90,GK,Manchester United,Sunderland,2,0,2025-10-04,28845,2025,742428,0,0,0,0,0,0,0
